"Status","Year","Disability","Organisation","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","EO","55","50","25800","25160"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","110","100","35000","32830"
"In post","2023","Declared disabled","Animal and Plant Health Agency","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","London","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","AA/AO","150","140","23040","22150"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","EO","115","115","26860","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","G6/G7","30","30","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","SEO/HEO","120","115","34420","33830"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","London","AA/AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","London","EO","60","55","28890","28370"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","London","G6/G7","175","170","60730","58120"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","London","SCS level","30","30","89130","77390"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","London","SEO/HEO","145","140","39400","41410"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Outside London","AA/AO","60","55","21800","21720"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Outside London","EO","55","50","25780","24860"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Outside London","G6/G7","80","80","54100","51290"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Outside London","SEO/HEO","140","135","36180","34650"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","London","SEO/HEO","215","215","30840","30130"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Outside London","SEO/HEO","100","100","30420","30130"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","20","15","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO/HEO","30","25","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Outside London","SEO/HEO","20","15","[c]","[c]"
"In post","2023","Declared disabled","Companies House","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Outside London","AA/AO","45","40","22860","23240"
"In post","2023","Declared disabled","Companies House","Outside London","EO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Outside London","SEO/HEO","30","25","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","London","G6/G7","20","15","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","London","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Outside London","AA/AO","20","15","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Outside London","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Outside London","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Outside London","SEO/HEO","35","35","37520","40160"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Outside London","AA/AO","65","60","23820","23700"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Outside London","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Outside London","G6/G7","45","45","60050","55990"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Outside London","SEO/HEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","London","AA/AO","45","45","24040","24480"
"In post","2023","Declared disabled","Crown Prosecution Service","London","EO","45","40","29630","30560"
"In post","2023","Declared disabled","Crown Prosecution Service","London","G6/G7","105","100","64670","63500"
"In post","2023","Declared disabled","Crown Prosecution Service","London","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","London","SEO/HEO","35","35","37100","35550"
"In post","2023","Declared disabled","Crown Prosecution Service","Outside London","AA/AO","160","150","22980","22870"
"In post","2023","Declared disabled","Crown Prosecution Service","Outside London","EO","150","140","28240","28430"
"In post","2023","Declared disabled","Crown Prosecution Service","Outside London","G6/G7","275","250","57810","56450"
"In post","2023","Declared disabled","Crown Prosecution Service","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Outside London","SEO/HEO","115","110","36280","35050"
"In post","2023","Declared disabled","Crown Prosecution Service","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Outside London","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","London","AA/AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","Outside London","AA/AO","175","165","23050","22240"
"In post","2023","Declared disabled","Defence Equipment and Support","Outside London","EO","85","80","27070","26810"
"In post","2023","Declared disabled","Defence Equipment and Support","Outside London","G6/G7","170","165","57480","55500"
"In post","2023","Declared disabled","Defence Equipment and Support","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","Outside London","SEO/HEO","670","645","37890","38790"
"In post","2023","Declared disabled","Defence Equipment and Support","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Outside London","AA/AO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Outside London","EO","40","40","24800","24630"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Outside London","G6/G7","370","350","53230","49260"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Outside London","SEO/HEO","410","395","35580","39890"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","AA/AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","EO","30","30","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","G6/G7","215","210","59610","56450"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SCS level","25","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SEO/HEO","205","200","39730","41060"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","G6/G7","40","40","55890","51490"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","SEO/HEO","55","55","35910","37470"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","London","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","London","G6/G7","60","60","56760","53510"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","London","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","London","SEO/HEO","55","55","36890","35620"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","London","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","London","G6/G7","85","80","61010","59140"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","London","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","London","SEO/HEO","80","75","40970","41440"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Outside London","EO","65","60","26630","26940"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Outside London","G6/G7","155","150","55330","51640"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Outside London","SEO/HEO","275","265","35600","37590"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","EO","35","35","29600","29160"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","G6/G7","110","105","57410","55120"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","SEO/HEO","145","145","37520","40260"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","AA/AO","10","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","EO","50","50","26050","25920"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","G6/G7","185","185","53020","49810"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","SEO/HEO","300","285","34850","37300"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","London","EO","30","30","30190","29640"
"In post","2023","Declared disabled","Department for International Trade","London","G6/G7","80","80","60160","56700"
"In post","2023","Declared disabled","Department for International Trade","London","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","London","SEO/HEO","90","90","39120","36620"
"In post","2023","Declared disabled","Department for International Trade","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Outside London","SEO/HEO","35","35","37170","38050"
"In post","2023","Declared disabled","Department for International Trade","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","London","EO","35","35","29900","28850"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","London","G6/G7","100","100","59710","55300"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","London","SCS level","15","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","London","SEO/HEO","95","95","38230","36880"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","G6/G7","45","45","52520","49700"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","SEO/HEO","80","75","35650","37060"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","London","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","London","G6/G7","75","75","60110","56340"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","London","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","London","SEO/HEO","80","80","41300","43320"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Outside London","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Outside London","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Outside London","SEO/HEO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","London","AA/AO","260","225","25090","25610"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","London","EO","975","890","32300","32520"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","London","G6/G7","105","100","62160","55850"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","London","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","London","SEO/HEO","335","315","40550","39150"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Outside London","AA/AO","5070","4250","21820","21690"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Outside London","EO","8005","7005","28340","28120"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Outside London","G6/G7","380","360","56070","52440"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Outside London","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Outside London","SEO/HEO","1810","1675","35740","34170"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Unknown","AA/AO","10","10","[c]","[c]"
