"Status","Year","Organisation","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Outside London","Female","Heterosexual / straight","45","35","36030","33520"
"In post","2023","Accountant in Bankruptcy","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","Female","Unknown","35","30","28540","29100"
"In post","2023","Accountant in Bankruptcy","Outside London","Male","Heterosexual / straight","30","30","36990","33520"
"In post","2023","Accountant in Bankruptcy","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Active Travel England","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Active Travel England","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Active Travel England","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Female","Heterosexual / straight","75","70","42810","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Female","LGBO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Male","Heterosexual / straight","50","50","46160","45300"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","Female","Heterosexual / straight","355","320","32930","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","Female","LGBO","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","Female","Undeclared","45","40","32170","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","Female","Unknown","70","65","28320","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","Male","Heterosexual / straight","220","205","34600","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","Male","LGBO","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","Male","Undeclared","35","35","34600","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","Male","Unknown","60","60","28060","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Female","Heterosexual / straight","30","30","37370","33830"
"In post","2023","Animal and Plant Health Agency","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Male","Heterosexual / straight","30","30","36080","32720"
"In post","2023","Animal and Plant Health Agency","London","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Outside London","Female","Heterosexual / straight","1370","1285","30470","26850"
"In post","2023","Animal and Plant Health Agency","Outside London","Female","LGBO","90","90","28410","25920"
"In post","2023","Animal and Plant Health Agency","Outside London","Female","Undeclared","180","165","32230","30040"
"In post","2023","Animal and Plant Health Agency","Outside London","Female","Unknown","165","150","29060","25340"
"In post","2023","Animal and Plant Health Agency","Outside London","Male","Heterosexual / straight","815","795","32300","29150"
"In post","2023","Animal and Plant Health Agency","Outside London","Male","LGBO","95","95","28250","25920"
"In post","2023","Animal and Plant Health Agency","Outside London","Male","Undeclared","160","150","34620","30320"
"In post","2023","Animal and Plant Health Agency","Outside London","Male","Unknown","130","125","31670","26850"
"In post","2023","Animal and Plant Health Agency","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","Female","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Office","London","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Office","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","London","Female","Heterosexual / straight","55","55","47390","53020"
"In post","2023","Building Digital UK","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","London","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Building Digital UK","London","Male","Heterosexual / straight","50","50","53400","53030"
"In post","2023","Building Digital UK","London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","London","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Building Digital UK","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Outside London","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Building Digital UK","Outside London","Female","LGBO","5","5","[c]","[c]"
