"Status","Year","Function_of_post","Profession_of_post","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","Birmingham","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Bristol, City of","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Bristol, City of","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Bristol, City of","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Bristol, City of","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Bristol, City of","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Cardiff and Vale of Glamorgan","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Cardiff and Vale of Glamorgan","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Cardiff and Vale of Glamorgan","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Cardiff and Vale of Glamorgan","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Central Valleys","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Central Valleys","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Central Valleys","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","City of Edinburgh","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","City of Edinburgh","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","City of Edinburgh","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","City of Edinburgh","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Coventry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Coventry","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Croydon","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Croydon","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Glasgow City","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Glasgow City","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Glasgow City","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Greater Manchester South West","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Leeds","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Leeds","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Liverpool","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Liverpool","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Manchester","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Mid and East Antrim","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Monmouthshire and Newport","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Monmouthshire and Newport","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Nottingham","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Nottingham","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Sheffield","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Sheffield","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Sheffield","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Sheffield","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Suffolk CC","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Tower Hamlets","G6","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Tower Hamlets","G7","15","15","57200","55720"
"In post","2023","Analysis","Digital, Data and Technology","Tower Hamlets","HEO","15","15","35520","35410"
"In post","2023","Analysis","Digital, Data and Technology","Tower Hamlets","SEO","20","20","43640","43650"
"In post","2023","Analysis","Digital, Data and Technology","Tyneside","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Westminster","G6","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Westminster","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Westminster","HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Westminster","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Westminster","SEO","10","10","[c]","[c]"
