"Status","Year","Parent_department","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Barnet","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnet","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","20","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedford","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedford","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","Female","100","90","39820","32660"
"In post","2023","Attorney General's Departments","Berkshire","Male","35","35","46700","47450"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Birmingham","Female","385","355","39120","31490"
"In post","2023","Attorney General's Departments","Birmingham","Male","160","155","44780","49050"
"In post","2023","Attorney General's Departments","Blackburn with Darwen","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Blackburn with Darwen","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bradford","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bradford","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bridgend and Neath Port Talbot","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bridgend and Neath Port Talbot","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Brighton and Hove","Female","85","75","39860","30560"
"In post","2023","Attorney General's Departments","Brighton and Hove","Male","40","40","42870","38660"
"In post","2023","Attorney General's Departments","Bristol, City of","Female","150","140","42360","49050"
"In post","2023","Attorney General's Departments","Bristol, City of","Male","85","85","46120","50460"
"In post","2023","Attorney General's Departments","Bromley","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bromley","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Buckinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Buckinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Calderdale and Kirklees","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Calderdale and Kirklees","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cambridgeshire CC","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Cambridgeshire CC","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Camden and City of London","Female","[c]","[c]","[c]","[c]"
