"Status","Year","Ethnicity","Profession_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Corporate Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Asian","Corporate Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Asian","Corporate Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","AA/AO","Female","145","115","24170","25610"
"In post","2023","Asian","Counter Fraud","AA/AO","Male","70","65","23940","25040"
"In post","2023","Asian","Counter Fraud","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","EO","Female","245","230","30330","31280"
"In post","2023","Asian","Counter Fraud","EO","Male","200","195","29690","28120"
"In post","2023","Asian","Counter Fraud","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Asian","Counter Fraud","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","SEO/HEO","Female","85","80","37570","37520"
"In post","2023","Asian","Counter Fraud","SEO/HEO","Male","100","100","38150","39150"
"In post","2023","Asian","Counter Fraud","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","EO","Female","95","90","28770","28080"
"In post","2023","Asian","Digital, Data and Technology","EO","Male","180","175","29360","28120"
"In post","2023","Asian","Digital, Data and Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","G6/G7","Female","205","200","59920","59080"
"In post","2023","Asian","Digital, Data and Technology","G6/G7","Male","375","370","60710","59160"
"In post","2023","Asian","Digital, Data and Technology","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","SEO/HEO","Female","370","360","38980","39080"
"In post","2023","Asian","Digital, Data and Technology","SEO/HEO","Male","525","525","39480","39410"
"In post","2023","Asian","Digital, Data and Technology","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Asian","Economics","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","EO","Female","20","20","[c]","[c]"
"In post","2023","Asian","Economics","EO","Male","15","15","[c]","[c]"
"In post","2023","Asian","Economics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","G6/G7","Female","30","30","59980","59600"
"In post","2023","Asian","Economics","G6/G7","Male","50","50","60900","57140"
"In post","2023","Asian","Economics","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","SEO/HEO","Female","40","40","37330","35330"
"In post","2023","Asian","Economics","SEO/HEO","Male","70","70","37580","36340"
"In post","2023","Asian","Economics","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","AA/AO","Female","35","30","24220","23550"
"In post","2023","Asian","Finance","AA/AO","Male","40","35","24090","24280"
"In post","2023","Asian","Finance","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","EO","Female","95","90","28510","28120"
"In post","2023","Asian","Finance","EO","Male","70","70","29110","28220"
"In post","2023","Asian","Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","G6/G7","Female","100","100","60350","59330"
"In post","2023","Asian","Finance","G6/G7","Male","105","105","60620","59330"
"In post","2023","Asian","Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Asian","Finance","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Asian","Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","SEO/HEO","Female","225","215","39300","39080"
"In post","2023","Asian","Finance","SEO/HEO","Male","265","260","40130","39170"
"In post","2023","Asian","Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","AA/AO","Female","35","30","23860","22510"
"In post","2023","Asian","Human Resources","AA/AO","Male","25","20","[c]","[c]"
"In post","2023","Asian","Human Resources","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","EO","Female","110","105","28800","28450"
"In post","2023","Asian","Human Resources","EO","Male","55","55","29140","29280"
"In post","2023","Asian","Human Resources","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","G6/G7","Female","85","80","59540","56430"
"In post","2023","Asian","Human Resources","G6/G7","Male","30","30","[c]","[c]"
"In post","2023","Asian","Human Resources","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Asian","Human Resources","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","SEO/HEO","Female","240","235","38370","38010"
"In post","2023","Asian","Human Resources","SEO/HEO","Male","95","95","38250","37690"
"In post","2023","Asian","Human Resources","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","EO","Female","65","60","29620","30020"
"In post","2023","Asian","Intelligence Analysis","EO","Male","55","55","29330","30080"
"In post","2023","Asian","Intelligence Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","SEO/HEO","Female","30","30","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","G6/G7","Female","15","15","[c]","[c]"
"In post","2023","Asian","Internal Audit","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Asian","Internal Audit","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","SEO/HEO","Female","45","40","41260","42700"
"In post","2023","Asian","Internal Audit","SEO/HEO","Male","30","30","[c]","[c]"
"In post","2023","Asian","Internal Audit","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","EO","Male","5","5","[c]","[c]"
"In post","2023","Asian","International Trade","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","G6/G7","Female","30","30","59980","56330"
"In post","2023","Asian","International Trade","G6/G7","Male","20","20","[c]","[c]"
"In post","2023","Asian","International Trade","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Asian","International Trade","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","SEO/HEO","Female","50","50","39320","41550"
"In post","2023","Asian","International Trade","SEO/HEO","Male","45","45","38910","39450"
"In post","2023","Asian","International Trade","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","AA/AO","Female","15","10","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","EO","Female","25","20","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","EO","Male","10","10","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","G6/G7","Female","15","10","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","SEO/HEO","Female","45","45","37740","36080"
"In post","2023","Asian","Knowledge and Information Management","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","AA/AO","Female","10","5","[c]","[c]"
"In post","2023","Asian","Legal","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","EO","Female","75","75","29530","28200"
"In post","2023","Asian","Legal","EO","Male","50","45","30060","29320"
"In post","2023","Asian","Legal","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","G6/G7","Female","460","425","58710","55170"
"In post","2023","Asian","Legal","G6/G7","Male","200","195","58750","55710"
"In post","2023","Asian","Legal","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Asian","Legal","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Asian","Legal","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","SEO/HEO","Female","170","155","40230","39790"
"In post","2023","Asian","Legal","SEO/HEO","Male","95","95","39580","39450"
"In post","2023","Asian","Legal","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","AA/AO","Female","30","30","25720","24680"
"In post","2023","Asian","Medicine","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","EO","Female","10","5","[c]","[c]"
"In post","2023","Asian","Medicine","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","G6/G7","Female","30","25","73580","73330"
"In post","2023","Asian","Medicine","G6/G7","Male","25","25","[c]","[c]"
"In post","2023","Asian","Medicine","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","SCS level","Female","35","30","117170","117780"
"In post","2023","Asian","Medicine","SCS level","Male","20","20","[c]","[c]"
"In post","2023","Asian","Medicine","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2023","Asian","Medicine","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Delivery","AA/AO","Female","4110","3430","23410","22520"
"In post","2023","Asian","Operational Delivery","AA/AO","Male","3115","2945","24150","22520"
"In post","2023","Asian","Operational Delivery","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Delivery","EO","Female","4185","3700","29430","28130"
"In post","2023","Asian","Operational Delivery","EO","Male","3045","2960","29250","28120"
"In post","2023","Asian","Operational Delivery","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Delivery","G6/G7","Female","205","205","59660","57360"
"In post","2023","Asian","Operational Delivery","G6/G7","Male","180","180","60690","59290"
"In post","2023","Asian","Operational Delivery","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Delivery","SCS level","Female","15","15","[c]","[c]"
"In post","2023","Asian","Operational Delivery","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Asian","Operational Delivery","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Delivery","SEO/HEO","Female","1485","1425","37520","36180"
"In post","2023","Asian","Operational Delivery","SEO/HEO","Male","1280","1235","38650","36310"
"In post","2023","Asian","Operational Delivery","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Delivery","Unknown","Female","650","600","29470","27530"
"In post","2023","Asian","Operational Delivery","Unknown","Male","300","280","29550","26840"
"In post","2023","Asian","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Asian","Operational Research","G6/G7","Male","15","15","[c]","[c]"
"In post","2023","Asian","Operational Research","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2023","Asian","Operational Research","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2023","Asian","Operational Research","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","AA/AO","Female","290","235","22710","21690"
"In post","2023","Asian","Other","AA/AO","Male","190","180","21890","21690"
"In post","2023","Asian","Other","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","EO","Female","140","130","29500","29890"
"In post","2023","Asian","Other","EO","Male","95","90","29460","28500"
"In post","2023","Asian","Other","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","G6/G7","Female","45","45","62950","59510"
"In post","2023","Asian","Other","G6/G7","Male","25","25","[c]","[c]"
"In post","2023","Asian","Other","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","SEO/HEO","Female","155","150","37980","36310"
"In post","2023","Asian","Other","SEO/HEO","Male","70","70","38650","37690"
"In post","2023","Asian","Other","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
