"Status","Year","Organisation","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Unknown","Heterosexual / straight","75","65","36430","33520"
"In post","2023","Accountant in Bankruptcy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","Unknown","45","45","29280","24890"
"In post","2023","Active Travel England","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Active Travel England","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","Unknown","5","5","[c]","[c]"
"In post","2023","Active Travel England","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Heterosexual / straight","40","40","46830","46150"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","LGBO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Undeclared","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Unknown","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Heterosexual / straight","585","530","33990","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","LGBO","40","40","30380","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Undeclared","90","80","33560","34010"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Unknown","125","120","28040","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","Heterosexual / straight","10","10","[c]","[c]"
