"Status","Year","Organisation","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Unknown","Outside London","Heterosexual / straight","75","65","36430","33520"
"In post","2023","Accountant in Bankruptcy","Unknown","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","Outside London","Unknown","45","45","29280","24890"
"In post","2023","Active Travel England","Communications","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
