"Status","Year","Function_of_post","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","SEO/HEO","125","120","31650","30130"
"In post","2023","Analysis","Chancellor's other departments","EO","20","20","29680","30090"
"In post","2023","Analysis","Chancellor's other departments","G6/G7","130","120","85560","80480"
"In post","2023","Analysis","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","SEO/HEO","65","65","42570","43040"
"In post","2023","Analysis","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","SEO/HEO","10","10","31600","30170"
"In post","2023","Analysis","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","G6/G7","90","85","65870","61690"
"In post","2023","Analysis","Competition and Markets Authority","SCS level","15","15","110580","101830"
"In post","2023","Analysis","Competition and Markets Authority","SEO/HEO","35","35","38000","34620"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","AA/AO","10","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","EO","60","60","27680","28510"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","G6/G7","70","65","63010","60230"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","10","10","81480","80750"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","SEO/HEO","180","175","38630","37350"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","75","75","58590","57030"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","65","65","39330","39040"
"In post","2023","Analysis","Department for Education","EO","30","30","29530","29530"
"In post","2023","Analysis","Department for Education","G6/G7","200","185","57130","55020"
"In post","2023","Analysis","Department for Education","SCS level","10","10","83070","76510"
"In post","2023","Analysis","Department for Education","SEO/HEO","360","345","40870","43250"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","AA/AO","20","20","21710","22150"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","EO","125","115","26000","25920"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","G6/G7","100","100","53240","49400"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","SEO/HEO","295","280","33700","30820"
"In post","2023","Analysis","Department for International Trade","EO","30","30","29180","29280"
"In post","2023","Analysis","Department for International Trade","G6/G7","125","120","59270","56100"
"In post","2023","Analysis","Department for International Trade","SCS level","10","10","81070","79690"
"In post","2023","Analysis","Department for International Trade","SEO/HEO","95","95","37670","35010"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","EO","25","20","28910","28850"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","G6/G7","135","130","58390","55150"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","SEO/HEO","105","100","36270","34310"
"In post","2023","Analysis","Department for Transport","AA/AO","20","20","22520","22500"
"In post","2023","Analysis","Department for Transport","EO","35","35","29910","30720"
"In post","2023","Analysis","Department for Transport","G6/G7","185","180","59380","56340"
"In post","2023","Analysis","Department for Transport","SCS level","15","10","79220","79080"
"In post","2023","Analysis","Department for Transport","SEO/HEO","160","160","38130","37400"
"In post","2023","Analysis","Department for Work and Pensions","AA/AO","10","10","22630","21690"
"In post","2023","Analysis","Department for Work and Pensions","EO","55","50","29080","28210"
"In post","2023","Analysis","Department for Work and Pensions","G6/G7","230","215","60340","58370"
"In post","2023","Analysis","Department for Work and Pensions","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","SEO/HEO","380","360","38300","38470"
"In post","2023","Analysis","Department of Health and Social Care","AA/AO","10","10","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","EO","40","40","27900","27840"
"In post","2023","Analysis","Department of Health and Social Care","G6/G7","100","95","58340","54690"
"In post","2023","Analysis","Department of Health and Social Care","SCS level","10","10","80310","81220"
"In post","2023","Analysis","Department of Health and Social Care","SEO/HEO","85","80","36970","37500"
"In post","2023","Analysis","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","G6/G7","10","10","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","SEO/HEO","35","35","37110","37910"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","AA/AO","10","10","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","G6/G7","25","20","62410","61400"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","SEO/HEO","15","15","35490","34670"
"In post","2023","Analysis","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","G6/G7","10","10","61960","57880"
"In post","2023","Analysis","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","SEO/HEO","15","15","38310","38410"
"In post","2023","Analysis","HM Revenue and Customs","AA/AO","10","10","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","EO","45","45","29810","28130"
"In post","2023","Analysis","HM Revenue and Customs","G6/G7","295","285","64060","63990"
"In post","2023","Analysis","HM Revenue and Customs","SCS level","15","15","85650","84090"
"In post","2023","Analysis","HM Revenue and Customs","SEO/HEO","470","455","40460","39930"
"In post","2023","Analysis","HM Treasury","AA/AO","10","10","23210","23210"
"In post","2023","Analysis","HM Treasury","EO","25","25","25120","24790"
"In post","2023","Analysis","HM Treasury","G6/G7","95","95","58540","54810"
"In post","2023","Analysis","HM Treasury","SCS level","10","10","90320","82400"
"In post","2023","Analysis","HM Treasury","SEO/HEO","85","85","35920","35530"
"In post","2023","Analysis","Home Office","AA/AO","30","30","23580","23500"
"In post","2023","Analysis","Home Office","EO","50","50","29640","29890"
"In post","2023","Analysis","Home Office","G6/G7","170","165","62990","61540"
"In post","2023","Analysis","Home Office","SCS level","10","10","83830","81390"
"In post","2023","Analysis","Home Office","SEO/HEO","315","310","39510","39000"
"In post","2023","Analysis","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence","AA/AO","45","45","23380","23340"
"In post","2023","Analysis","Ministry of Defence","EO","75","75","28130","27470"
"In post","2023","Analysis","Ministry of Defence","G6/G7","590","565","55040","49260"
"In post","2023","Analysis","Ministry of Defence","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence","SEO/HEO","655","645","36900","39890"
"In post","2023","Analysis","Ministry of Justice","EO","50","50","29270","29660"
"In post","2023","Analysis","Ministry of Justice","G6/G7","265","250","60840","61280"
"In post","2023","Analysis","Ministry of Justice","SCS level","15","10","84040","84160"
"In post","2023","Analysis","Ministry of Justice","SEO/HEO","435","425","38730","37680"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","EO","25","25","27410","27140"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","G6/G7","30","30","64650","61480"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","SEO/HEO","110","105","37320","36330"
"In post","2023","Analysis","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","EO","25","25","26830","26130"
"In post","2023","Analysis","Office of Gas and Electricity Markets","G6/G7","80","80","60610","60000"
"In post","2023","Analysis","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","SEO/HEO","55","55","36050","35200"
"In post","2023","Analysis","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","G6/G7","30","30","62670","59930"
"In post","2023","Analysis","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","SEO/HEO","20","20","38620","39430"
"In post","2023","Analysis","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Government","SEO/HEO","15","15","41200","39590"
"In post","2023","Analysis","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","G6/G7","10","10","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","AA/AO","55","50","21330","21200"
"In post","2023","Analysis","UK Statistics Authority","EO","165","150","25630","24840"
"In post","2023","Analysis","UK Statistics Authority","G6/G7","415","400","54810","52490"
"In post","2023","Analysis","UK Statistics Authority","SCS level","40","40","88320","74140"
"In post","2023","Analysis","UK Statistics Authority","SEO/HEO","1250","1205","35510","34560"
"In post","2023","Analysis","Water Services Regulation Authority","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","G6/G7","15","15","88350","82210"
"In post","2023","Analysis","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","SEO/HEO","25","25","46340","47150"
"In post","2023","Analysis","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Attorney General's Departments","EO","10","10","[c]","[c]"
"In post","2023","Commercial","Attorney General's Departments","G6/G7","10","10","60820","60550"
"In post","2023","Commercial","Attorney General's Departments","SEO/HEO","25","25","37600","38940"
"In post","2023","Commercial","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cabinet Office","EO","45","45","26670","26410"
"In post","2023","Commercial","Cabinet Office","G6/G7","1325","1310","66810","66270"
"In post","2023","Commercial","Cabinet Office","SCS level","235","230","120730","117960"
"In post","2023","Commercial","Cabinet Office","SEO/HEO","520","510","36310","38050"
"In post","2023","Commercial","Chancellor's other departments","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Chancellor's other departments","G6/G7","15","15","57570","50430"
"In post","2023","Commercial","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","G6/G7","5","5","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy","EO","15","15","26050","25620"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy","G6/G7","105","100","52070","48250"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy","SEO/HEO","110","105","38260","37840"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport","G6/G7","15","15","60050","55530"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport","SEO/HEO","25","25","35060","35040"
"In post","2023","Commercial","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Education","EO","25","20","26450","25900"
"In post","2023","Commercial","Department for Education","G6/G7","100","100","57430","55360"
"In post","2023","Commercial","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Education","SEO/HEO","160","155","37040","37590"
"In post","2023","Commercial","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs","AA/AO","15","15","22950","22150"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs","EO","20","15","27300","26850"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs","G6/G7","30","30","54680","52790"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs","SEO/HEO","175","170","35970","37300"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for International Trade","SEO/HEO","35","35","38160","35790"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities","EO","10","10","[c]","[c]"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities","G6/G7","10","10","[c]","[c]"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities","SEO/HEO","25","25","41480","41790"
"In post","2023","Commercial","Department for Transport","AA/AO","45","40","21690","22500"
"In post","2023","Commercial","Department for Transport","EO","50","45","27510","27260"
"In post","2023","Commercial","Department for Transport","G6/G7","90","90","60850","56720"
"In post","2023","Commercial","Department for Transport","SCS level","10","5","[c]","[c]"
"In post","2023","Commercial","Department for Transport","SEO/HEO","200","190","37350","35950"
"In post","2023","Commercial","Department for Work and Pensions","AA/AO","10","10","22290","22010"
"In post","2023","Commercial","Department for Work and Pensions","EO","25","20","27930","28030"
"In post","2023","Commercial","Department for Work and Pensions","G6/G7","15","15","60170","55320"
"In post","2023","Commercial","Department for Work and Pensions","SEO/HEO","40","40","36310","34170"
"In post","2023","Commercial","Department of Health and Social Care","EO","30","30","28400","28620"
"In post","2023","Commercial","Department of Health and Social Care","G6/G7","85","80","62120","56470"
"In post","2023","Commercial","Department of Health and Social Care","SCS level","5","5","[c]","[c]"
"In post","2023","Commercial","Department of Health and Social Care","SEO/HEO","125","125","37640","38120"
"In post","2023","Commercial","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Food Standards Agency","SEO/HEO","10","10","35700","37720"
"In post","2023","Commercial","Foreign, Commonwealth and Development Office","AA/AO","10","10","26440","26010"
"In post","2023","Commercial","Foreign, Commonwealth and Development Office","EO","35","30","28680","28540"
"In post","2023","Commercial","Foreign, Commonwealth and Development Office","G6/G7","50","50","60100","57070"
