"Status","Year","Age","Parent_department","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Attorney General's Departments","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Operational Delivery","Heterosexual / straight","45","45","21320","20980"
"In post","2023","16-19","Attorney General's Departments","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Operational Delivery","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Chancellor's other departments","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chancellor's other departments","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Economics","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Other","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Finance","LGBO","[c]","[c]","[c]","[c]"
