"Status","Year","Profession_of_post","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Aberdeen City and Aberdeenshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Aberdeen City and Aberdeenshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Aberdeen City and Aberdeenshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Angus and Dundee City","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Angus and Dundee City","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barking & Dagenham and Havering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barking & Dagenham and Havering","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnet","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","Barnet","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnet","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnet","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnsley, Doncaster and Rotherham","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","Barnsley, Doncaster and Rotherham","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnsley, Doncaster and Rotherham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","960","915","43640","42620"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","40","40","37330","32500"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","115","110","43040","42620"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","140","135","42380","35290"
"In post","2023","Commercial","Bedford","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedford","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","Berkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bexley and Greenwich","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bexley and Greenwich","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bexley and Greenwich","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Birmingham","Heterosexual / straight","80","80","51870","39250"
"In post","2023","Commercial","Birmingham","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","Birmingham","Undeclared","5","5","[c]","[c]"
"In post","2023","Commercial","Birmingham","Unknown","25","25","[c]","[c]"
"In post","2023","Commercial","Blackpool","Heterosexual / straight","125","120","43400","38470"
