"Status","Year","Function_of_post","Parent_department","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","London","SEO/HEO","85","85","31640","30130"
"In post","2023","Analysis","Cabinet Office","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Outside London","SEO/HEO","35","35","31760","32960"
"In post","2023","Analysis","Cabinet Office","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","London","EO","15","15","29950","30090"
"In post","2023","Analysis","Chancellor's other departments","London","G6/G7","120","105","86730","81440"
"In post","2023","Analysis","Chancellor's other departments","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","London","SEO/HEO","60","60","42460","43040"
"In post","2023","Analysis","Chancellor's other departments","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Outside London","G6/G7","10","10","74050","70890"
"In post","2023","Analysis","Chancellor's other departments","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Outside London","SEO/HEO","10","10","31600","30170"
"In post","2023","Analysis","Competition and Markets Authority","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","London","G6/G7","80","75","65690","60910"
"In post","2023","Analysis","Competition and Markets Authority","London","SCS level","15","15","111300","101830"
"In post","2023","Analysis","Competition and Markets Authority","London","SEO/HEO","30","30","38640","35680"
"In post","2023","Analysis","Competition and Markets Authority","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","London","EO","35","35","29100","28720"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","London","G6/G7","45","45","63790","61350"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","London","SCS level","10","10","81480","80750"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","115","115","38450","36460"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","EO","25","25","25680","25310"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","20","20","61300","58230"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","60","60","38990","40280"
