"Status","Year","Disability","Function_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","Scotland","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","South East (England)","Female","40","40","41490","39640"
"In post","2023","Declared disabled","Commercial","South East (England)","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","South West (England)","Female","110","100","43440","42620"
"In post","2023","Declared disabled","Commercial","South West (England)","Male","90","90","45540","42900"
"In post","2023","Declared disabled","Commercial","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Wales","Female","25","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Wales","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","West Midlands (England)","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","West Midlands (England)","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Yorkshire and The Humber","Female","40","40","43560","38120"
"In post","2023","Declared disabled","Commercial","Yorkshire and The Humber","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","East Midlands (England)","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","East of England","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","London","Female","90","85","47550","44360"
"In post","2023","Declared disabled","Communications","London","Male","55","55","47190","42830"
"In post","2023","Declared disabled","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","North East (England)","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","North West (England)","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","North West (England)","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Scotland","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","South East (England)","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","South East (England)","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","South West (England)","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","South West (England)","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Wales","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","Wales","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","West Midlands (England)","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","West Midlands (England)","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Yorkshire and The Humber","Female","20","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","Yorkshire and The Humber","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","East Midlands (England)","Female","65","55","31880","28120"
"In post","2023","Declared disabled","Counter Fraud","East Midlands (England)","Male","50","45","32240","28130"
"In post","2023","Declared disabled","Counter Fraud","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","East of England","Female","75","65","29480","29590"
"In post","2023","Declared disabled","Counter Fraud","East of England","Male","40","40","32600","31280"
"In post","2023","Declared disabled","Counter Fraud","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","London","Female","230","210","36020","32520"
"In post","2023","Declared disabled","Counter Fraud","London","Male","150","145","39970","36560"
"In post","2023","Declared disabled","Counter Fraud","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","North East (England)","Female","115","105","31280","28120"
"In post","2023","Declared disabled","Counter Fraud","North East (England)","Male","75","70","32200","28120"
"In post","2023","Declared disabled","Counter Fraud","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","North West (England)","Female","170","150","32900","28130"
"In post","2023","Declared disabled","Counter Fraud","North West (England)","Male","135","125","34700","34170"
"In post","2023","Declared disabled","Counter Fraud","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Northern Ireland","Female","35","30","33390","28130"
"In post","2023","Declared disabled","Counter Fraud","Northern Ireland","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Scotland","Female","125","110","30700","28120"
"In post","2023","Declared disabled","Counter Fraud","Scotland","Male","75","65","30210","28120"
"In post","2023","Declared disabled","Counter Fraud","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","South East (England)","Female","145","125","29990","28120"
"In post","2023","Declared disabled","Counter Fraud","South East (England)","Male","70","65","32030","29430"
"In post","2023","Declared disabled","Counter Fraud","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","South West (England)","Female","85","80","32010","28120"
"In post","2023","Declared disabled","Counter Fraud","South West (England)","Male","60","55","32040","28120"
"In post","2023","Declared disabled","Counter Fraud","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Wales","Female","75","65","29300","28120"
"In post","2023","Declared disabled","Counter Fraud","Wales","Male","65","60","31090","28120"
"In post","2023","Declared disabled","Counter Fraud","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","West Midlands (England)","Female","95","85","30370","28120"
"In post","2023","Declared disabled","Counter Fraud","West Midlands (England)","Male","70","65","30460","28120"
"In post","2023","Declared disabled","Counter Fraud","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Yorkshire and The Humber","Female","120","105","30950","28120"
"In post","2023","Declared disabled","Counter Fraud","Yorkshire and The Humber","Male","60","55","29560","28120"
"In post","2023","Declared disabled","Counter Fraud","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","East Midlands (England)","Female","55","50","24590","21690"
"In post","2023","Declared disabled","Debt","East Midlands (England)","Male","30","30","23660","22520"
"In post","2023","Declared disabled","Debt","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","East of England","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Debt","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","London","Female","35","35","30640","26920"
"In post","2023","Declared disabled","Debt","London","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Debt","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","North East (England)","Female","70","60","23300","21690"
"In post","2023","Declared disabled","Debt","North East (England)","Male","35","30","23850","22520"
"In post","2023","Declared disabled","Debt","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","North West (England)","Female","60","50","25790","22520"
"In post","2023","Declared disabled","Debt","North West (England)","Male","35","30","22990","21690"
"In post","2023","Declared disabled","Debt","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Scotland","Female","100","85","24930","22520"
"In post","2023","Declared disabled","Debt","Scotland","Male","50","45","23950","22520"
"In post","2023","Declared disabled","Debt","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","South East (England)","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Debt","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","South West (England)","Female","25","20","[c]","[c]"
"In post","2023","Declared disabled","Debt","South West (England)","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Debt","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Wales","Female","30","30","24180","22520"
"In post","2023","Declared disabled","Debt","Wales","Male","30","30","23730","22520"
"In post","2023","Declared disabled","Debt","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","West Midlands (England)","Female","95","80","23050","21690"
"In post","2023","Declared disabled","Debt","West Midlands (England)","Male","70","60","23590","21690"
"In post","2023","Declared disabled","Debt","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Yorkshire and The Humber","Female","75","60","23740","22110"
"In post","2023","Declared disabled","Debt","Yorkshire and The Humber","Male","60","55","24120","22520"
"In post","2023","Declared disabled","Debt","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","East Midlands (England)","Female","30","30","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","East Midlands (England)","Male","40","40","33680","31510"
"In post","2023","Declared disabled","Digital, Data & Technology","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","East of England","Female","40","35","35050","33490"
"In post","2023","Declared disabled","Digital, Data & Technology","East of England","Male","45","45","33320","31000"
"In post","2023","Declared disabled","Digital, Data & Technology","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","London","Female","265","255","47110","42970"
"In post","2023","Declared disabled","Digital, Data & Technology","London","Male","290","285","50380","46040"
"In post","2023","Declared disabled","Digital, Data & Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","North East (England)","Female","100","90","38350","36300"
"In post","2023","Declared disabled","Digital, Data & Technology","North East (England)","Male","150","145","42020","38470"
"In post","2023","Declared disabled","Digital, Data & Technology","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","North West (England)","Female","190","180","40470","37680"
"In post","2023","Declared disabled","Digital, Data & Technology","North West (England)","Male","210","205","41840","38470"
"In post","2023","Declared disabled","Digital, Data & Technology","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Northern Ireland","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Overseas","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Scotland","Female","30","30","34670","32360"
"In post","2023","Declared disabled","Digital, Data & Technology","Scotland","Male","65","65","38940","35120"
"In post","2023","Declared disabled","Digital, Data & Technology","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","South East (England)","Female","70","65","36310","34300"
"In post","2023","Declared disabled","Digital, Data & Technology","South East (England)","Male","100","100","37920","34300"
"In post","2023","Declared disabled","Digital, Data & Technology","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","South West (England)","Female","190","180","37570","37420"
"In post","2023","Declared disabled","Digital, Data & Technology","South West (England)","Male","255","250","38780","37250"
"In post","2023","Declared disabled","Digital, Data & Technology","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Wales","Female","75","70","37350","34440"
"In post","2023","Declared disabled","Digital, Data & Technology","Wales","Male","85","80","41460","40640"
"In post","2023","Declared disabled","Digital, Data & Technology","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","West Midlands (England)","Female","70","70","40880","36990"
"In post","2023","Declared disabled","Digital, Data & Technology","West Midlands (England)","Male","80","80","41380","37590"
"In post","2023","Declared disabled","Digital, Data & Technology","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Yorkshire and The Humber","Female","85","85","41680","38140"
"In post","2023","Declared disabled","Digital, Data & Technology","Yorkshire and The Humber","Male","110","105","41710","37140"
"In post","2023","Declared disabled","Digital, Data & Technology","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","East Midlands (England)","Female","30","30","34590","33770"
"In post","2023","Declared disabled","Finance","East Midlands (England)","Male","20","20","[c]","[c]"
