"Status","Year","Disability","Profession_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Barnet","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","130","125","43440","42620"
"In post","2023","Declared disabled","Commercial","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Birmingham","20","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Blackpool","30","30","41260","38470"
"In post","2023","Declared disabled","Commercial","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Bradford","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Brent","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Bristol, City of","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Buckinghamshire","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cambridgeshire CC","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cardiff and Vale of Glamorgan","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Central Hampshire","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
