"Status","Year","Disability","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","Barnet","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Berkshire","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Birmingham","60","55","41420","44050"
"In post","2023","Declared disabled","Attorney General's Departments","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Bradford","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Brighton and Hove","20","20","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Bristol, City of","25","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Bromley","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Cardiff and Vale of Glamorgan","25","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Croydon","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Derby","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Devon CC","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Dudley","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Durham","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Ealing","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Cumbria","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Kent","20","20","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Surrey","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Essex Thames Gateway","[c]","[c]","[c]","[c]"
