"Status","Year","Organisation","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scottish Government","AA","35","35","23910","24890"
"In post","2023","Accountant in Bankruptcy","Scottish Government","EO","45","40","31120","31940"
"In post","2023","Accountant in Bankruptcy","Scottish Government","G6","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","G7","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","HEO","25","25","37250","38330"
"In post","2023","Accountant in Bankruptcy","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","SEO","10","10","47530","49860"
"In post","2023","Active Travel England","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","G6","10","10","66360","66300"
"In post","2023","Active Travel England","Department for Transport","G7","15","15","52030","51290"
"In post","2023","Active Travel England","Department for Transport","HEO","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","SCS level","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","SEO","15","15","40080","39430"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AO","45","40","21920","21670"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","295","275","25900","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6","10","10","70880","71480"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G7","45","40","57820","57400"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","HEO","445","405","33990","32340"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO","165","155","43880","43070"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AO","940","885","22970","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","830","795","27260","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6","70","65","63160","62090"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G7","205","200","52230","51360"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","HEO","515","500","31870","30840"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SCS level","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO","505","475","39670","38200"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","AO","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","G6","10","10","71410","71360"
"In post","2023","Attorney General's Office","Attorney General's Departments","G7","10","10","[c]","[c]"
