"Status","Year","Profession_of_post","Region_ITL2","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","Bedford","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","Bedford","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","Central Bedfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","Central Bedfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","Hertfordshire CC","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","Hertfordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","Luton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","Luton","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Female","45","45","41500","43100"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Male","25","25","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Female","40","40","42730","40750"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Male","30","30","52360","45600"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Cheshire","Cheshire East","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Cheshire","Cheshire East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire","Cheshire West and Chester","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire","Cheshire West and Chester","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire","Warrington","Female","20","20","[c]","[c]"
"In post","2023","Commercial","Cheshire","Warrington","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cumbria","East Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cumbria","East Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cumbria","West Cumbria","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Cumbria","West Cumbria","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","East Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","East Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","North Nottinghamshire","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","North Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","Nottingham","Female","30","30","43800","41010"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","Nottingham","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","South Nottinghamshire","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","South Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","South and West Derbyshire","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","South and West Derbyshire","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Devon","Devon CC","Female","30","30","43260","40050"
"In post","2023","Commercial","Devon","Devon CC","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Devon","Plymouth","Female","20","20","[c]","[c]"
"In post","2023","Commercial","Devon","Plymouth","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Devon","Torbay","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Devon","Torbay","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Dorset and Somerset","Bournemouth, Christchurch and Poole","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Dorset and Somerset","Bournemouth, Christchurch and Poole","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Dorset and Somerset","Dorset","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Dorset and Somerset","Dorset","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Dorset and Somerset","Somerset CC","Female","30","25","[c]","[c]"
"In post","2023","Commercial","Dorset and Somerset","Somerset CC","Male","15","15","[c]","[c]"
"In post","2023","Commercial","East Anglia","Breckland and South Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Anglia","Breckland and South Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Anglia","Cambridgeshire CC","Female","45","40","39710","39590"
"In post","2023","Commercial","East Anglia","Cambridgeshire CC","Male","20","20","[c]","[c]"
"In post","2023","Commercial","East Anglia","North and West Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Anglia","North and West Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Anglia","Norwich and East Norfolk","Female","45","40","46070","40620"
"In post","2023","Commercial","East Anglia","Norwich and East Norfolk","Male","45","45","42920","40160"
"In post","2023","Commercial","East Anglia","Peterborough","Female","30","30","45970","41490"
