"Status","Year","Region_ITL1","Region_ITL2","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","AA/AO","4175","3810","24350","22520"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","EO","3665","3390","28260","28120"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","G6/G7","1445","1390","59890","57970"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","SCS level","80","75","91400","87330"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","SEO/HEO","4085","3905","37660","35000"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","Unknown","900","825","29740","29050"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","AA/AO","2605","2330","24130","21780"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","EO","1715","1580","28490","28120"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","G6/G7","265","255","59310","56160"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","SCS level","15","15","83480","78490"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","SEO/HEO","945","905","38270","37130"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","Unknown","650","610","30130","29050"
"In post","2023","East Midlands (England)","Lincolnshire","Outside London","AA/AO","1295","1205","24680","22220"
"In post","2023","East Midlands (England)","Lincolnshire","Outside London","EO","730","680","28770","28120"
"In post","2023","East Midlands (England)","Lincolnshire","Outside London","G6/G7","140","135","61560","57500"
"In post","2023","East Midlands (England)","Lincolnshire","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","Lincolnshire","Outside London","SEO/HEO","655","630","38270","37300"
"In post","2023","East Midlands (England)","Lincolnshire","Outside London","Unknown","255","245","29720","26840"
"In post","2023","East of England","Bedfordshire and Hertfordshire","Outside London","AA/AO","1245","1145","26200","25480"
"In post","2023","East of England","Bedfordshire and Hertfordshire","Outside London","EO","1480","1360","30050","30120"
"In post","2023","East of England","Bedfordshire and Hertfordshire","Outside London","G6/G7","455","435","62220","60220"
"In post","2023","East of England","Bedfordshire and Hertfordshire","Outside London","SCS level","40","40","91540","91850"
"In post","2023","East of England","Bedfordshire and Hertfordshire","Outside London","SEO/HEO","1100","1065","39960","39000"
"In post","2023","East of England","Bedfordshire and Hertfordshire","Outside London","Unknown","445","415","30280","29050"
"In post","2023","East of England","East Anglia","Outside London","AA/AO","4770","4375","25540","23230"
"In post","2023","East of England","East Anglia","Outside London","EO","3130","2875","28770","28120"
"In post","2023","East of England","East Anglia","Outside London","G6/G7","875","835","59290","56180"
"In post","2023","East of England","East Anglia","Outside London","SCS level","65","60","101060","99080"
"In post","2023","East of England","East Anglia","Outside London","SEO/HEO","3245","3100","37680","35570"
"In post","2023","East of England","East Anglia","Outside London","Unknown","990","900","29120","26840"
"In post","2023","East of England","Essex","Outside London","AA/AO","1260","1145","25060","24680"
"In post","2023","East of England","Essex","Outside London","EO","1785","1630","29790","31280"
"In post","2023","East of England","Essex","Outside London","G6/G7","225","215","61870","58660"
"In post","2023","East of England","Essex","Outside London","SCS level","15","15","103170","100730"
"In post","2023","East of England","Essex","Outside London","SEO/HEO","755","720","38220","37520"
"In post","2023","East of England","Essex","Outside London","Unknown","505","465","29500","26840"
"In post","2023","London","Inner London - East","London","AA/AO","2515","2310","28080","26920"
"In post","2023","London","Inner London - East","London","EO","4395","4155","32590","32520"
"In post","2023","London","Inner London - East","London","G6/G7","4155","4025","64730","64140"
"In post","2023","London","Inner London - East","London","SCS level","580","560","99500","94340"
"In post","2023","London","Inner London - East","London","SEO/HEO","5985","5825","41880","41480"
