"Status","Year","Profession_of_post","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Aberdeen City and Aberdeenshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Aberdeen City and Aberdeenshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Angus and Dundee City","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Angus and Dundee City","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barking & Dagenham and Havering","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barking & Dagenham and Havering","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnet","London","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Barnet","London","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Barnsley, Doncaster and Rotherham","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Barnsley, Doncaster and Rotherham","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","650","610","41250","41800"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","600","590","45420","42620"
"In post","2023","Commercial","Bedford","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedford","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Berkshire","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Bexley and Greenwich","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bexley and Greenwich","London","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Birmingham","Outside London","Female","65","60","49780","39860"
"In post","2023","Commercial","Birmingham","Outside London","Male","55","55","54540","43220"
"In post","2023","Commercial","Blackpool","Outside London","Female","110","110","42450","38470"
"In post","2023","Commercial","Blackpool","Outside London","Male","55","55","44180","38470"
"In post","2023","Commercial","Bournemouth, Christchurch and Poole","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bournemouth, Christchurch and Poole","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bradford","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bradford","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Breckland and South Norfolk","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Breckland and South Norfolk","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Brent","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Brent","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bridgend and Neath Port Talbot","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bridgend and Neath Port Talbot","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Brighton and Hove","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Brighton and Hove","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bristol, City of","Outside London","Female","55","50","47410","38970"
"In post","2023","Commercial","Bristol, City of","Outside London","Male","40","40","49260","40930"
"In post","2023","Commercial","Buckinghamshire","Outside London","Female","45","45","41500","43100"
"In post","2023","Commercial","Buckinghamshire","Outside London","Male","25","25","[c]","[c]"
"In post","2023","Commercial","Calderdale and Kirklees","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Calderdale and Kirklees","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cambridgeshire CC","Outside London","Female","45","40","39710","39590"
"In post","2023","Commercial","Cambridgeshire CC","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Camden and City of London","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Camden and City of London","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cardiff and Vale of Glamorgan","Outside London","Female","35","30","41780","38460"
"In post","2023","Commercial","Cardiff and Vale of Glamorgan","Outside London","Male","25","25","[c]","[c]"
"In post","2023","Commercial","Central Bedfordshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Central Bedfordshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Central Hampshire","Outside London","Female","115","110","40600","36920"
"In post","2023","Commercial","Central Hampshire","Outside London","Male","80","75","46290","40240"
"In post","2023","Commercial","Central Valleys","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Central Valleys","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire East","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Cheshire East","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire West and Chester","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire West and Chester","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Chorley and West Lancashire","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Chorley and West Lancashire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","City of Edinburgh","Outside London","Female","30","30","[c]","[c]"
"In post","2023","Commercial","City of Edinburgh","Outside London","Male","30","30","45190","43130"
"In post","2023","Commercial","Clackmannanshire and Fife","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Clackmannanshire and Fife","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Coventry","Outside London","Female","25","25","[c]","[c]"
"In post","2023","Commercial","Coventry","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Croydon","London","Female","90","85","48110","43210"
"In post","2023","Commercial","Croydon","London","Male","55","55","49880","45930"
"In post","2023","Commercial","Darlington","Outside London","Female","30","30","45590","39090"
"In post","2023","Commercial","Darlington","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Devon CC","Outside London","Female","30","30","43260","40050"
"In post","2023","Commercial","Devon CC","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Dorset","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Dorset","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Durham","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Durham","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Commercial","East Ayrshire and North Ayrshire mainland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Ayrshire and North Ayrshire mainland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Cumbria","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Cumbria","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Derbyshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Derbyshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","Female","5","5","[c]","[c]"
