"Status","Year","Function_of_post","Parent_department","Profession_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","Digital, Data and Technology","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Human Resources","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Other","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Other","York","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Project Delivery","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Statistics","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Digital, Data and Technology","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Digital, Data and Technology","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Digital, Data and Technology","Westminster","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Economics","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Economics","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Economics","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Bristol, City of","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Glasgow City","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Peterborough","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Tower Hamlets","10","10","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Westminster","70","70","32410","30130"
"In post","2023","Analysis","Cabinet Office","Statistics","York","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Knowledge and Information Management","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Operational Research","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Operational Research","Westminster","5","5","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Other","Camden and City of London","170","160","72380","67430"
"In post","2023","Analysis","Chancellor's other departments","Other","City of Edinburgh","15","10","70680","70000"
"In post","2023","Analysis","Chancellor's other departments","Other","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Other","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Other","Westminster","15","15","53690","49550"
"In post","2023","Analysis","Charity Commission","Intelligence Analysis","Sefton","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Intelligence Analysis","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Statistics","Sefton","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Statistics","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Economics","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Economics","City of Edinburgh","10","10","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Economics","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Economics","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Economics","Tower Hamlets","95","85","65980","60600"
"In post","2023","Analysis","Competition and Markets Authority","Intelligence Analysis","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Intelligence Analysis","Tower Hamlets","30","30","57490","55950"
"In post","2023","Analysis","Competition and Markets Authority","Statistics","Tower Hamlets","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Economics","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Economics","Birmingham","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Economics","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Economics","Greater Manchester South West","15","15","31490","31120"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Economics","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Economics","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Economics","Monmouthshire and Newport","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Economics","Swindon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Economics","Westminster","140","135","41850","34720"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","Westminster","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Birmingham","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Hackney and Newham","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Monmouthshire and Newport","30","30","34840","31750"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","Westminster","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","Westminster","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Policy","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Policy","Westminster","10","10","53230","57240"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Monmouthshire and Newport","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Plymouth","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Westminster","25","25","49070","46310"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Wirral","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Economics","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Economics","Manchester","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Economics","Westminster","60","60","52850","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Finance","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Finance","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","International Trade","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","Westminster","15","15","47840","39040"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Policy","Westminster","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Social Research","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Social Research","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Social Research","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Social Research","Westminster","20","20","52070","56900"
