"Status","Year","Function_of_post","Organisation","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Darlington","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Westminster","London","15","15","46800","39040"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Glasgow City","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Westminster","London","15","15","51180","48830"
"In post","2023","Analysis","Central Civil Service Fast Stream","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Bristol, City of","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Croydon","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Monmouthshire and Newport","Outside London","[c]","[c]","[c]","[c]"
