"Status","Year","Function_of_post","Parent_department","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Inner London - West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","North Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Outer London - South","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Derbyshire and Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Derbyshire and Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","East Anglia","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","East Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Greater Manchester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Hampshire and Isle of Wight","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Inner London - East","SEO/HEO","10","10","30150","30130"
"In post","2023","Analysis","Cabinet Office","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Inner London - West","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Inner London - West","SEO/HEO","75","75","31800","30130"
"In post","2023","Analysis","Cabinet Office","North Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Northumberland, and Tyne and Wear","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Outer London - South","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","West Central Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","West Central Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","West Central Scotland","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","West Midlands","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","West Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Eastern Scotland","G6/G7","10","10","79740","71780"
"In post","2023","Analysis","Chancellor's other departments","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Inner London - West","EO","15","15","29950","30090"
"In post","2023","Analysis","Chancellor's other departments","Inner London - West","G6/G7","120","105","86730","81440"
"In post","2023","Analysis","Chancellor's other departments","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Inner London - West","SEO/HEO","60","60","42460","43040"
"In post","2023","Analysis","Chancellor's other departments","Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Lancashire","G6/G7","[c]","[c]","[c]","[c]"
