"Status","Year","Age","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","20-29","Attorney General's Departments","Communications","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Counter Fraud","London","35","35","32020","29680"
"In post","2023","20-29","Attorney General's Departments","Digital, Data and Technology","London","20","20","40150","38530"
"In post","2023","20-29","Attorney General's Departments","Digital, Data and Technology","Outside London","15","15","32960","31180"
"In post","2023","20-29","Attorney General's Departments","Finance","London","15","15","31420","28170"
"In post","2023","20-29","Attorney General's Departments","Finance","Outside London","25","25","26120","26900"
"In post","2023","20-29","Attorney General's Departments","Human Resources","London","30","30","32940","31640"
"In post","2023","20-29","Attorney General's Departments","Human Resources","Outside London","25","25","30300","26900"
"In post","2023","20-29","Attorney General's Departments","Knowledge and Information Management","London","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Knowledge and Information Management","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Legal","London","265","265","41100","45230"
"In post","2023","20-29","Attorney General's Departments","Legal","Outside London","195","195","40660","40800"
"In post","2023","20-29","Attorney General's Departments","Operational Delivery","London","320","320","27440","27760"
"In post","2023","20-29","Attorney General's Departments","Operational Delivery","Outside London","660","650","24850","24430"
"In post","2023","20-29","Attorney General's Departments","Other","London","10","10","30760","31900"
"In post","2023","20-29","Attorney General's Departments","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Policy","London","15","15","41030","38860"
"In post","2023","20-29","Attorney General's Departments","Policy","Outside London","15","15","32690","31180"
"In post","2023","20-29","Attorney General's Departments","Project Delivery","London","10","10","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Security","London","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Commercial","London","135","135","44430","34180"
"In post","2023","20-29","Cabinet Office","Commercial","Outside London","110","110","38670","32250"
"In post","2023","20-29","Cabinet Office","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Communications","London","45","45","39250","35650"
"In post","2023","20-29","Cabinet Office","Communications","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Digital, Data and Technology","London","185","185","42290","35650"
"In post","2023","20-29","Cabinet Office","Digital, Data and Technology","Outside London","130","130","36010","32960"
"In post","2023","20-29","Cabinet Office","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Economics","London","15","15","45960","37370"
"In post","2023","20-29","Cabinet Office","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Finance","London","70","70","32430","30130"
"In post","2023","20-29","Cabinet Office","Finance","Outside London","40","40","32810","32960"
"In post","2023","20-29","Cabinet Office","Human Resources","London","55","55","37190","35650"
"In post","2023","20-29","Cabinet Office","Human Resources","Outside London","95","95","27830","24860"
"In post","2023","20-29","Cabinet Office","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Knowledge and Information Management","London","10","10","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Operational Delivery","Outside London","30","30","27520","26220"
"In post","2023","20-29","Cabinet Office","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Policy","London","110","105","46040","41870"
"In post","2023","20-29","Cabinet Office","Policy","Outside London","15","15","36660","35520"
"In post","2023","20-29","Cabinet Office","Policy","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Project Delivery","London","165","165","31680","30130"
"In post","2023","20-29","Cabinet Office","Project Delivery","Outside London","80","80","31030","30130"
"In post","2023","20-29","Cabinet Office","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Property","London","20","20","35730","31300"
"In post","2023","20-29","Cabinet Office","Property","Outside London","35","35","33530","30130"
"In post","2023","20-29","Cabinet Office","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Psychology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Science and Engineering","London","80","80","30300","30130"
"In post","2023","20-29","Cabinet Office","Science and Engineering","Outside London","15","15","30340","30130"
"In post","2023","20-29","Cabinet Office","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Security","London","25","25","41420","38220"
"In post","2023","20-29","Cabinet Office","Security","Outside London","20","20","26720","25860"
"In post","2023","20-29","Cabinet Office","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Statistics","London","80","80","31360","30130"
"In post","2023","20-29","Cabinet Office","Statistics","Outside London","25","25","31040","30130"
"In post","2023","20-29","Cabinet Office","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Unknown","London","1010","1010","34400","30130"
"In post","2023","20-29","Cabinet Office","Unknown","Outside London","310","305","30140","28840"
"In post","2023","20-29","Cabinet Office","Unknown","Unknown","45","45","33450","28050"
"In post","2023","20-29","Chancellor's other departments","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Other","London","50","50","39780","36490"
"In post","2023","20-29","Chancellor's other departments","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Charity Commission","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Operational Delivery","London","5","5","[c]","[c]"
"In post","2023","20-29","Charity Commission","Operational Delivery","Outside London","45","45","26560","25300"
"In post","2023","20-29","Charity Commission","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","Digital, Data and Technology","London","15","15","42770","42920"
"In post","2023","20-29","Competition and Markets Authority","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","Economics","London","30","30","44080","38090"
"In post","2023","20-29","Competition and Markets Authority","Economics","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","Human Resources","London","5","5","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","Legal","London","20","20","39270","34460"
"In post","2023","20-29","Competition and Markets Authority","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","Project Delivery","London","70","70","35140","34110"
"In post","2023","20-29","Competition and Markets Authority","Project Delivery","Outside London","10","10","[c]","[c]"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Commercial","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Communications","London","45","45","42080","40600"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Communications","Outside London","15","15","33090","30930"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Counter Fraud","Outside London","25","25","25190","21750"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","London","20","20","35960","34410"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Outside London","130","130","33370","33430"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Economics","London","135","130","41580","35700"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Economics","Outside London","25","25","35990","34930"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Finance","London","15","15","42990","39160"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Finance","Outside London","25","25","32880","30930"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Human Resources","London","20","20","42490","41360"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Human Resources","Outside London","35","35","32700","30930"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","International Trade","Outside London","[c]","[c]","[c]","[c]"
