"Status","Year","Disability","Ethnicity","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","East Midlands (England)","Heterosexual / straight","220","200","28220","28120"
"In post","2023","Declared disabled","Asian","East Midlands (England)","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Midlands (England)","Undeclared","15","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Midlands (England)","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","Heterosexual / straight","125","110","31930","29050"
"In post","2023","Declared disabled","Asian","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","Undeclared","15","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","London","Heterosexual / straight","1305","1220","38240","33050"
"In post","2023","Declared disabled","Asian","London","LGBO","60","60","41970","39110"
"In post","2023","Declared disabled","Asian","London","Undeclared","100","90","35390","32520"
"In post","2023","Declared disabled","Asian","London","Unknown","90","80","36630","32520"
"In post","2023","Declared disabled","Asian","North East (England)","Heterosexual / straight","55","50","29190","28120"
"In post","2023","Declared disabled","Asian","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North East (England)","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","Heterosexual / straight","300","275","29790","28120"
"In post","2023","Declared disabled","Asian","North West (England)","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","Unknown","25","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","Heterosexual / straight","50","45","33150","28120"
"In post","2023","Declared disabled","Asian","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","Heterosexual / straight","115","105","33130","31060"
"In post","2023","Declared disabled","Asian","South East (England)","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","South West (England)","Heterosexual / straight","70","60","35970","31920"
"In post","2023","Declared disabled","Asian","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South West (England)","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Wales","Heterosexual / straight","35","35","36000","28120"
"In post","2023","Declared disabled","Asian","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","West Midlands (England)","Heterosexual / straight","510","465","29960","28120"
"In post","2023","Declared disabled","Asian","West Midlands (England)","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","West Midlands (England)","Undeclared","40","35","27090","28120"
"In post","2023","Declared disabled","Asian","West Midlands (England)","Unknown","35","30","26480","22520"
"In post","2023","Declared disabled","Asian","Yorkshire and The Humber","Heterosexual / straight","260","240","30310","28120"
"In post","2023","Declared disabled","Asian","Yorkshire and The Humber","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Yorkshire and The Humber","Undeclared","10","10","[c]","[c]"
