"Status","Year","Age","Disability","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Barnet","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Belfast","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Blackpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Bradford","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Coventry","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Dudley","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Durham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Surrey","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Falkirk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Gloucestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Inverclyde, East Renfrewshire, and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Lambeth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Leicester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Liverpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Medway","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Peterborough","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Plymouth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Sefton","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Sheffield","[c]","[c]","[c]","[c]"
