"Status","Year","Function_of_post","Organisation","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","North Yorkshire","York","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Inner London - West","Westminster","15","15","46800","39040"
"In post","2023","Analysis","Building Digital UK","Tees Valley and Durham","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Inner London - West","Westminster","15","15","51180","48830"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","West Central Scotland","Glasgow City","5","5","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","East Anglia","Peterborough","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","East Wales","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","5","5","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Greater Manchester","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Hampshire and Isle of Wight","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Inner London - East","Hackney and Newham","[c]","[c]","[c]","[c]"
