"Status","Year","Disability","Region_ITL2","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Bedford","Heterosexual / straight","80","70","33250","29090"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Bedford","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Bedford","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Bedford","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","Heterosexual / straight","35","35","35560","28120"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","Heterosexual / straight","280","255","35840","32440"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","Undeclared","35","30","30730","31060"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","Unknown","20","15","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Luton","Heterosexual / straight","65","60","28180","28120"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Luton","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Luton","Undeclared","15","10","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Luton","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Heterosexual / straight","260","245","35000","31710"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","LGBO","30","30","33510","31280"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Undeclared","45","40","33790","31280"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Unknown","25","20","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Heterosexual / straight","175","165","34520","32380"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Undeclared","25","20","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Unknown","10","5","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Heterosexual / straight","180","170","32420","28600"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","LGBO","30","30","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Heterosexual / straight","230","220","34310","31780"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","LGBO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Undeclared","40","35","37460","34300"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Cheshire East","Heterosexual / straight","140","130","30710","28120"
"In post","2023","Declared disabled","Cheshire","Cheshire East","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Cheshire East","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Cheshire East","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Cheshire West and Chester","Heterosexual / straight","70","65","28020","28120"
"In post","2023","Declared disabled","Cheshire","Cheshire West and Chester","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Cheshire West and Chester","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Cheshire West and Chester","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Warrington","Heterosexual / straight","210","190","33280","31290"
"In post","2023","Declared disabled","Cheshire","Warrington","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Warrington","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Warrington","Unknown","20","15","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Heterosexual / straight","200","175","28580","28120"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Undeclared","25","20","[c]","[c]"
