"Status","Year","Ethnicity","Region_ITL3","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","Outside London","AO","5","5","[c]","[c]"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","Outside London","EO","10","10","[c]","[c]"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","Outside London","SEO","10","10","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","Outside London","AA","15","15","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","Outside London","AO","10","10","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","Outside London","EO","15","10","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","Outside London","HEO","10","10","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Armagh City, Banbridge and Craigavon","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Armagh City, Banbridge and Craigavon","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Armagh City, Banbridge and Craigavon","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Armagh City, Banbridge and Craigavon","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Armagh City, Banbridge and Craigavon","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Armagh City, Banbridge and Craigavon","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Barking & Dagenham and Havering","London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Barking & Dagenham and Havering","London","AO","20","15","[c]","[c]"
"In post","2023","Asian","Barking & Dagenham and Havering","London","EO","125","115","32220","32520"
"In post","2023","Asian","Barking & Dagenham and Havering","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Barking & Dagenham and Havering","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Barking & Dagenham and Havering","London","HEO","15","10","[c]","[c]"
"In post","2023","Asian","Barking & Dagenham and Havering","London","SEO","5","5","[c]","[c]"
"In post","2023","Asian","Barking & Dagenham and Havering","London","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Barnet","London","AA","10","5","[c]","[c]"
"In post","2023","Asian","Barnet","London","AO","55","50","25250","25340"
"In post","2023","Asian","Barnet","London","EO","115","110","31080","32200"
"In post","2023","Asian","Barnet","London","G6","15","15","[c]","[c]"
"In post","2023","Asian","Barnet","London","G7","50","50","59910","58470"
"In post","2023","Asian","Barnet","London","HEO","75","75","35670","34350"
"In post","2023","Asian","Barnet","London","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Barnet","London","SEO","75","75","43330","42260"
"In post","2023","Asian","Barnet","London","Unknown","15","10","[c]","[c]"
"In post","2023","Asian","Barnsley, Doncaster and Rotherham","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Barnsley, Doncaster and Rotherham","Outside London","AO","10","10","[c]","[c]"
"In post","2023","Asian","Barnsley, Doncaster and Rotherham","Outside London","EO","10","10","[c]","[c]"
"In post","2023","Asian","Barnsley, Doncaster and Rotherham","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Barnsley, Doncaster and Rotherham","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Barnsley, Doncaster and Rotherham","Outside London","HEO","5","5","[c]","[c]"
"In post","2023","Asian","Barnsley, Doncaster and Rotherham","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Barnsley, Doncaster and Rotherham","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Barnsley, Doncaster and Rotherham","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AO","45","45","24220","24750"
"In post","2023","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","40","40","27140","26000"
"In post","2023","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6","10","10","[c]","[c]"
"In post","2023","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G7","40","35","55000","55280"
"In post","2023","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","HEO","110","105","33570","32550"
"In post","2023","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO","110","105","42200","42620"
"In post","2023","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","45","45","39870","38790"
"In post","2023","Asian","Bedford","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedford","Outside London","AO","20","20","[c]","[c]"
"In post","2023","Asian","Bedford","Outside London","EO","40","35","27740","28120"
"In post","2023","Asian","Bedford","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedford","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedford","Outside London","HEO","5","5","[c]","[c]"
"In post","2023","Asian","Bedford","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedford","Outside London","SEO","5","5","[c]","[c]"
"In post","2023","Asian","Bedford","Outside London","Unknown","20","20","[c]","[c]"
"In post","2023","Asian","Belfast","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Belfast","Outside London","AO","5","5","[c]","[c]"
"In post","2023","Asian","Belfast","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Belfast","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Belfast","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Belfast","Outside London","HEO","5","5","[c]","[c]"
"In post","2023","Asian","Belfast","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Belfast","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire","Outside London","AA","5","5","[c]","[c]"
"In post","2023","Asian","Berkshire","Outside London","AO","85","75","25200","24480"
"In post","2023","Asian","Berkshire","Outside London","EO","115","105","31080","31280"
"In post","2023","Asian","Berkshire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire","Outside London","G7","15","15","[c]","[c]"
"In post","2023","Asian","Berkshire","Outside London","HEO","30","30","37330","36990"
"In post","2023","Asian","Berkshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire","Outside London","SEO","20","20","[c]","[c]"
"In post","2023","Asian","Berkshire","Outside London","Unknown","20","20","[c]","[c]"
"In post","2023","Asian","Bexley and Greenwich","London","AA","10","10","[c]","[c]"
"In post","2023","Asian","Bexley and Greenwich","London","AO","35","35","30270","32110"
"In post","2023","Asian","Bexley and Greenwich","London","EO","40","35","32350","32520"
"In post","2023","Asian","Bexley and Greenwich","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bexley and Greenwich","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bexley and Greenwich","London","HEO","10","10","[c]","[c]"
"In post","2023","Asian","Bexley and Greenwich","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bexley and Greenwich","London","SEO","5","5","[c]","[c]"
"In post","2023","Asian","Bexley and Greenwich","London","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Birmingham","Outside London","AA","45","40","21320","20200"
"In post","2023","Asian","Birmingham","Outside London","AO","1240","1120","22240","21780"
"In post","2023","Asian","Birmingham","Outside London","EO","1050","995","27740","28120"
