"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Departments","AA/AO","250","230","23300","24280"
"In post","2023","Asian","Attorney General's Departments","EO","235","220","28330","28200"
"In post","2023","Asian","Attorney General's Departments","G6/G7","560","520","58180","55170"
"In post","2023","Asian","Attorney General's Departments","SCS level","15","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","SEO/HEO","175","170","37580","38760"
"In post","2023","Asian","Cabinet Office","AA/AO","20","20","[c]","[c]"
"In post","2023","Asian","Cabinet Office","EO","75","70","27630","28370"
"In post","2023","Asian","Cabinet Office","G6/G7","240","240","61160","59530"
"In post","2023","Asian","Cabinet Office","SCS level","25","25","[c]","[c]"
"In post","2023","Asian","Cabinet Office","SEO/HEO","390","385","34540","33020"
"In post","2023","Asian","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","EO","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","G6/G7","20","20","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Asian","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","EO","15","15","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","G6/G7","50","50","67040","61900"
"In post","2023","Asian","Competition and Markets Authority","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","SEO/HEO","40","40","37250","35740"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","AA/AO","90","85","22980","22180"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","EO","105","100","28170","28720"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","G6/G7","250","250","59280","56400"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","SEO/HEO","485","480","38670","39460"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","EO","20","20","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","G6/G7","65","65","56950","55020"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","SEO/HEO","60","60","37000","35620"
"In post","2023","Asian","Department for Education","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Department for Education","EO","130","130","27690","26940"
"In post","2023","Asian","Department for Education","G6/G7","255","255","56470","55020"
"In post","2023","Asian","Department for Education","SCS level","20","20","[c]","[c]"
"In post","2023","Asian","Department for Education","SEO/HEO","450","440","36640","37590"
"In post","2023","Asian","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","AA/AO","95","90","23000","22150"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","EO","105","100","27870","29080"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","G6/G7","105","100","55730","54330"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","SEO/HEO","200","200","36170","35670"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","EO","30","30","29210","29280"
"In post","2023","Asian","Department for International Trade","G6/G7","95","95","59140","56140"
"In post","2023","Asian","Department for International Trade","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Department for International Trade","SEO/HEO","170","170","39070","39450"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","EO","40","40","29100","28850"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","G6/G7","100","100","57660","54630"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","SEO/HEO","155","150","36680","36880"
"In post","2023","Asian","Department for Transport","AA/AO","155","140","23520","22500"
"In post","2023","Asian","Department for Transport","EO","145","140","29510","30300"
"In post","2023","Asian","Department for Transport","G6/G7","145","145","60780","57620"
"In post","2023","Asian","Department for Transport","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Department for Transport","SEO/HEO","260","255","39200","38220"
"In post","2023","Asian","Department for Work and Pensions","AA/AO","2315","1955","22510","21690"
"In post","2023","Asian","Department for Work and Pensions","EO","4470","4080","29710","28120"
"In post","2023","Asian","Department for Work and Pensions","G6/G7","200","195","58260","55250"
"In post","2023","Asian","Department for Work and Pensions","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions","SEO/HEO","900","870","38680","39150"
"In post","2023","Asian","Department of Health and Social Care","AA/AO","95","80","23310","23470"
"In post","2023","Asian","Department of Health and Social Care","EO","205","195","28110","28220"
"In post","2023","Asian","Department of Health and Social Care","G6/G7","275","265","60200","55210"
"In post","2023","Asian","Department of Health and Social Care","SCS level","75","70","107770","106000"
"In post","2023","Asian","Department of Health and Social Care","SEO/HEO","510","500","37810","38120"
"In post","2023","Asian","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","EO","10","10","[c]","[c]"
