"Status","Year","Function_of_post","Organisation","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Companies House","Northern Ireland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","London","G6","30","30","78150","76720"
"In post","2023","Analysis","Competition and Markets Authority","London","G7","50","45","57960","56250"
"In post","2023","Analysis","Competition and Markets Authority","London","HEO","20","20","35090","34110"
"In post","2023","Analysis","Competition and Markets Authority","London","SCS level","15","15","111300","101830"
"In post","2023","Analysis","Competition and Markets Authority","London","SEO","10","10","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Scotland","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Wales","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","South East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","South East (England)","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","South East (England)","G6","20","20","72350","70550"
"In post","2023","Analysis","Defence Science and Technology Laboratory","South East (England)","G7","280","265","52720","49260"
"In post","2023","Analysis","Defence Science and Technology Laboratory","South East (England)","HEO","90","90","29490","30650"
"In post","2023","Analysis","Defence Science and Technology Laboratory","South East (England)","SEO","140","135","39490","39890"
"In post","2023","Analysis","Defence Science and Technology Laboratory","South West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","South West (England)","AO","25","25","23740","23340"
"In post","2023","Analysis","Defence Science and Technology Laboratory","South West (England)","EO","20","20","25780","26310"
"In post","2023","Analysis","Defence Science and Technology Laboratory","South West (England)","G6","25","25","73480","70550"
"In post","2023","Analysis","Defence Science and Technology Laboratory","South West (England)","G7","215","205","52780","49260"
"In post","2023","Analysis","Defence Science and Technology Laboratory","South West (England)","HEO","100","100","29150","30650"
"In post","2023","Analysis","Defence Science and Technology Laboratory","South West (England)","SEO","125","125","39720","39890"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","EO","35","35","29110","28720"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","G6","15","15","72050","71030"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","G7","25","25","59880","59380"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","HEO","90","90","36630","34910"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SEO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","SEO","[c]","[c]","[c]","[c]"
