"Status","Year","Function_of_post","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","SEO/HEO","Female","60","55","31150","30130"
"In post","2023","Analysis","Cabinet Office","SEO/HEO","Male","65","65","32100","32640"
"In post","2023","Analysis","Chancellor's other departments","EO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","EO","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","G6/G7","Female","50","45","83790","80480"
"In post","2023","Analysis","Chancellor's other departments","G6/G7","Male","80","75","86670","81440"
"In post","2023","Analysis","Chancellor's other departments","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","SEO/HEO","Male","40","40","41690","42290"
"In post","2023","Analysis","Charity Commission","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","G6/G7","Female","30","25","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","G6/G7","Male","60","60","65760","61300"
"In post","2023","Analysis","Competition and Markets Authority","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","EO","Female","30","30","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","EO","Male","30","30","27730","28510"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","G6/G7","Female","30","30","62570","59490"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","G6/G7","Male","40","35","63370","61660"
