"Status","Year","Parent_department","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Commercial","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Outside London","SEO/HEO","10","10","37500","38940"
"In post","2023","Attorney General's Departments","Communications","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","London","EO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","London","G6/G7","20","20","60060","55850"
"In post","2023","Attorney General's Departments","Communications","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","London","SEO/HEO","40","40","36870","34850"
"In post","2023","Attorney General's Departments","Communications","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Outside London","SEO/HEO","20","20","40550","41340"
"In post","2023","Attorney General's Departments","Corporate Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","London","EO","50","50","27970","27010"
"In post","2023","Attorney General's Departments","Counter Fraud","London","G6/G7","75","70","66350","67530"
"In post","2023","Attorney General's Departments","Counter Fraud","London","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","London","SEO/HEO","105","100","39740","40000"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","London","EO","10","10","31360","30700"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","London","G6/G7","35","35","65750","65530"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","London","SEO/HEO","50","50","40020","40900"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Outside London","EO","20","15","27380","27150"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Outside London","G6/G7","30","30","56810","52380"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Outside London","SEO/HEO","50","50","35700","33810"
"In post","2023","Attorney General's Departments","Finance","London","AA/AO","20","20","23920","24480"
"In post","2023","Attorney General's Departments","Finance","London","EO","20","20","28510","28170"
"In post","2023","Attorney General's Departments","Finance","London","G6/G7","20","20","60930","58730"
"In post","2023","Attorney General's Departments","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","London","SEO/HEO","30","30","36500","33540"
"In post","2023","Attorney General's Departments","Finance","Outside London","AA/AO","45","40","22550","22870"
"In post","2023","Attorney General's Departments","Finance","Outside London","EO","45","40","27440","27150"
"In post","2023","Attorney General's Departments","Finance","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","Outside London","SEO/HEO","40","40","34380","33300"
"In post","2023","Attorney General's Departments","Human Resources","London","AA/AO","10","10","24510","24630"
"In post","2023","Attorney General's Departments","Human Resources","London","EO","25","25","28130","28170"
"In post","2023","Attorney General's Departments","Human Resources","London","G6/G7","40","40","60720","56950"
"In post","2023","Attorney General's Departments","Human Resources","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","London","SEO/HEO","60","55","36670","35550"
"In post","2023","Attorney General's Departments","Human Resources","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","Outside London","EO","20","20","27410","26900"
"In post","2023","Attorney General's Departments","Human Resources","Outside London","G6/G7","25","25","57040","53570"
"In post","2023","Attorney General's Departments","Human Resources","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","Outside London","SEO/HEO","70","65","34160","32660"
"In post","2023","Attorney General's Departments","Intelligence Analysis","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","London","EO","10","10","28910","28700"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","London","G6/G7","15","15","59020","55850"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","London","SEO/HEO","15","15","35980","34120"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","Outside London","SEO/HEO","20","20","36330","38940"
"In post","2023","Attorney General's Departments","Legal","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","London","EO","170","170","30200","28540"
"In post","2023","Attorney General's Departments","Legal","London","G6/G7","2255","2090","61890","63380"
"In post","2023","Attorney General's Departments","Legal","London","SCS level","220","210","87210","82190"
"In post","2023","Attorney General's Departments","Legal","London","SEO/HEO","160","155","42210","45230"
"In post","2023","Attorney General's Departments","Legal","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","Outside London","EO","100","100","28200","27280"
"In post","2023","Attorney General's Departments","Legal","Outside London","G6/G7","2335","2145","57050","56450"
"In post","2023","Attorney General's Departments","Legal","Outside London","SCS level","55","55","91750","86520"
"In post","2023","Attorney General's Departments","Legal","Outside London","SEO/HEO","300","285","38340","38760"
"In post","2023","Attorney General's Departments","Legal","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","London","AA/AO","355","335","24200","24480"
"In post","2023","Attorney General's Departments","Operational Delivery","London","EO","485","455","29130","28540"
"In post","2023","Attorney General's Departments","Operational Delivery","London","G6/G7","50","50","61180","56950"
"In post","2023","Attorney General's Departments","Operational Delivery","London","SCS level","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","London","SEO/HEO","195","190","35830","34830"
"In post","2023","Attorney General's Departments","Operational Delivery","Outside London","AA/AO","1180","1085","22900","22870"
"In post","2023","Attorney General's Departments","Operational Delivery","Outside London","EO","965","895","28180","28200"
"In post","2023","Attorney General's Departments","Operational Delivery","Outside London","G6/G7","70","65","61810","59240"
"In post","2023","Attorney General's Departments","Operational Delivery","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","Outside London","SEO/HEO","265","255","34800","33300"
"In post","2023","Attorney General's Departments","Operational Delivery","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","London","EO","15","15","28320","27760"
"In post","2023","Attorney General's Departments","Other","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","London","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","London","SEO/HEO","10","10","35350","36050"
"In post","2023","Attorney General's Departments","Other","Outside London","EO","10","10","27980","27550"
"In post","2023","Attorney General's Departments","Other","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","London","G6/G7","50","50","61370","58240"
"In post","2023","Attorney General's Departments","Policy","London","SCS level","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","London","SEO/HEO","20","20","37390","38860"
"In post","2023","Attorney General's Departments","Policy","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","Outside London","G6/G7","30","25","57770","55850"
"In post","2023","Attorney General's Departments","Policy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","Outside London","SEO/HEO","25","25","37180","38940"
"In post","2023","Attorney General's Departments","Project Delivery","London","EO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","London","G6/G7","15","10","60620","60780"
"In post","2023","Attorney General's Departments","Project Delivery","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","London","SEO/HEO","25","25","36740","35280"
"In post","2023","Attorney General's Departments","Project Delivery","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","Outside London","G6/G7","10","10","55680","52380"
"In post","2023","Attorney General's Departments","Project Delivery","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","Outside London","SEO/HEO","45","40","36250","38940"
"In post","2023","Attorney General's Departments","Property","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","Outside London","SEO/HEO","20","20","33550","33050"
"In post","2023","Attorney General's Departments","Security","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","London","SEO/HEO","10","10","34570","32660"
"In post","2023","Attorney General's Departments","Security","Outside London","SEO/HEO","15","15","32540","32520"
"In post","2023","Attorney General's Departments","Statistics","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","London","EO","10","10","29360","29190"
"In post","2023","Cabinet Office","Commercial","London","G6/G7","510","500","67310","66270"
"In post","2023","Cabinet Office","Commercial","London","SCS level","145","145","124840","123120"
