"Status","Year","Disability","Parent_department","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","East Midlands (England)","Female","55","50","39750","35000"
"In post","2023","Declared disabled","Attorney General's Departments","East Midlands (England)","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East of England","Female","55","45","40420","36780"
"In post","2023","Declared disabled","Attorney General's Departments","East of England","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","London","Female","310","285","49660","52020"
"In post","2023","Declared disabled","Attorney General's Departments","London","Male","165","160","50400","52400"
"In post","2023","Declared disabled","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","North East (England)","Female","30","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","North East (England)","Male","20","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","North West (England)","Female","105","95","39390","32010"
"In post","2023","Declared disabled","Attorney General's Departments","North West (England)","Male","40","40","46030","51270"
"In post","2023","Declared disabled","Attorney General's Departments","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","South East (England)","Female","75","65","42650","37000"
"In post","2023","Declared disabled","Attorney General's Departments","South East (England)","Male","40","40","43520","40540"
"In post","2023","Declared disabled","Attorney General's Departments","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","South West (England)","Female","35","30","36110","28850"
"In post","2023","Declared disabled","Attorney General's Departments","South West (England)","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Wales","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Wales","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","West Midlands (England)","Female","55","50","41540","49050"
"In post","2023","Declared disabled","Attorney General's Departments","West Midlands (England)","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","Female","80","75","39740","32920"
"In post","2023","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","Male","40","40","41370","35000"
