"Status","Year","Function_of_post","Region_ITL1","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","Female","50","50","39990","36340"
"In post","2023","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","Male","55","55","42910","40840"
"In post","2023","Analysis","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Male","5","5","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Bedfordshire and Hertfordshire","Female","10","10","[c]","[c]"
"In post","2023","Analysis","East of England","Bedfordshire and Hertfordshire","Male","15","15","[c]","[c]"
"In post","2023","Analysis","East of England","East Anglia","Female","180","170","34160","30820"
"In post","2023","Analysis","East of England","East Anglia","Male","190","185","39310","37310"
"In post","2023","Analysis","East of England","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Inner London - East","Female","450","435","49700","45080"
"In post","2023","Analysis","London","Inner London - East","Male","545","540","51520","45730"
"In post","2023","Analysis","London","Inner London - West","Female","1460","1400","49290","45170"
"In post","2023","Analysis","London","Inner London - West","Male","1765","1745","51030","46800"
"In post","2023","Analysis","London","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Outer London - East and North East","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Outer London - East and North East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Outer London - South","Female","105","95","46640","43210"
"In post","2023","Analysis","London","Outer London - South","Male","80","80","47230","43540"
"In post","2023","Analysis","London","Outer London - West and North West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Outer London - West and North West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North East (England)","Northumberland, and Tyne and Wear","Female","90","85","42200","38470"
"In post","2023","Analysis","North East (England)","Northumberland, and Tyne and Wear","Male","95","95","41990","38470"
"In post","2023","Analysis","North East (England)","Tees Valley and Durham","Female","80","80","36740","31560"
"In post","2023","Analysis","North East (England)","Tees Valley and Durham","Male","90","90","38590","35320"
"In post","2023","Analysis","North West (England)","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Cumbria","Male","20","20","[c]","[c]"
"In post","2023","Analysis","North West (England)","Greater Manchester","Female","180","175","41080","38830"
"In post","2023","Analysis","North West (England)","Greater Manchester","Male","230","225","41630","37770"
"In post","2023","Analysis","North West (England)","Lancashire","Female","5","5","[c]","[c]"
"In post","2023","Analysis","North West (England)","Lancashire","Male","5","5","[c]","[c]"
"In post","2023","Analysis","North West (England)","Merseyside","Female","90","85","43760","41780"
"In post","2023","Analysis","North West (England)","Merseyside","Male","110","110","41820","39520"
"In post","2023","Analysis","North West (England)","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Eastern Scotland","Female","35","35","48920","41060"
"In post","2023","Analysis","Scotland","Eastern Scotland","Male","30","30","47990","43000"
"In post","2023","Analysis","Scotland","Highlands and Islands","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Highlands and Islands","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Southern Scotland","Female","10","5","[c]","[c]"
"In post","2023","Analysis","Scotland","Southern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","West Central Scotland","Female","35","35","38560","34170"
"In post","2023","Analysis","Scotland","West Central Scotland","Male","60","60","42530","36840"
"In post","2023","Analysis","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Female","15","10","[c]","[c]"
"In post","2023","Analysis","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Male","10","10","[c]","[c]"
"In post","2023","Analysis","South East (England)","Hampshire and Isle of Wight","Female","465","435","40630","39300"
"In post","2023","Analysis","South East (England)","Hampshire and Isle of Wight","Male","655","635","43670","39890"
"In post","2023","Analysis","South East (England)","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Kent","Female","5","5","[c]","[c]"
"In post","2023","Analysis","South East (England)","Kent","Male","10","10","[c]","[c]"
"In post","2023","Analysis","South East (England)","Surrey, East and West Sussex","Female","10","10","[c]","[c]"
"In post","2023","Analysis","South East (England)","Surrey, East and West Sussex","Male","10","10","[c]","[c]"
"In post","2023","Analysis","South West (England)","Cornwall and Isles of Scilly","Female","5","5","[c]","[c]"
"In post","2023","Analysis","South West (England)","Cornwall and Isles of Scilly","Male","5","5","[c]","[c]"
"In post","2023","Analysis","South West (England)","Devon","Female","15","15","[c]","[c]"
"In post","2023","Analysis","South West (England)","Devon","Male","20","20","[c]","[c]"
"In post","2023","Analysis","South West (England)","Dorset and Somerset","Female","80","70","33070","30350"
"In post","2023","Analysis","South West (England)","Dorset and Somerset","Male","70","65","36600","30820"
"In post","2023","Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Female","300","275","41190","39890"
"In post","2023","Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Male","515","505","43650","40640"
"In post","2023","Analysis","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Wales","East Wales","Female","630","595","38490","37760"
"In post","2023","Analysis","Wales","East Wales","Male","510","500","39950","37760"
"In post","2023","Analysis","Wales","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Wales","West Wales and The Valleys","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Wales","West Wales and The Valleys","Male","10","10","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Female","5","5","[c]","[c]"
