"Status","Year","Age","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Accountant in Bankruptcy","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","15","15","24020","23890"
"In post","2023","16-19","Attorney General's Office","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Cabinet Office","London","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","London","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","Outside London","50","50","21190","20980"
"In post","2023","16-19","Defence Electronics and Components Agency","Ministry of Defence","Outside London","10","10","17040","15780"
"In post","2023","16-19","Defence Equipment and Support","Ministry of Defence","Outside London","105","105","19240","18780"
"In post","2023","16-19","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","30","30","21790","23340"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Department for Education","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Department for International Trade","London","5","5","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Outside London","70","70","23020","21690"
"In post","2023","16-19","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Disclosure Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Department for Transport","Outside London","80","70","20690","19000"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Department for Transport","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Education Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Foreign, Commonwealth and Development Office","Outside London","30","30","23790","23530"
"In post","2023","16-19","Food Standards Agency","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","Scottish Government","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Government Legal Department","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Ministry of Justice","Outside London","20","20","21610","21780"
"In post","2023","16-19","HM Land Registry","HM Land Registry","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","London","10","10","29450","28400"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Outside London","290","285","25870","24070"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","London","10","10","27990","26920"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Outside London","165","160","22970","22520"
"In post","2023","16-19","HM Treasury (excl. agencies)","HM Treasury","London","5","5","[c]","[c]"
