"Status","Year","Function_of_post","Organisation","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","London","Inner London - West","15","15","46800","39040"
"In post","2023","Analysis","Building Digital UK","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","London","Inner London - West","15","15","51180","48830"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Scotland","West Central Scotland","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","London","Inner London - East","10","10","30150","30130"
"In post","2023","Analysis","Central Civil Service Fast Stream","London","Inner London - West","65","65","31130","30130"
"In post","2023","Analysis","Central Civil Service Fast Stream","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
