"Status","Year","Age","Function_of_post","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","Defence Science and Technology Laboratory","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Defence Science and Technology Laboratory","Male","10","10","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Work and Pensions (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Work and Pensions (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Revenue and Customs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Treasury (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Treasury (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Home Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Home Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Medicines and Healthcare Products Regulatory Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Medicines and Healthcare Products Regulatory Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Justice (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Justice (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","UK Statistics Authority","Female","10","10","[c]","[c]"
"In post","2023","16-19","Analysis","UK Statistics Authority","Male","5","5","[c]","[c]"
"In post","2023","16-19","Commercial","Defence Equipment and Support","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Defence Equipment and Support","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Home Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Home Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Scottish Prison Service","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Scottish Prison Service","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","HM Revenue and Customs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Home Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Home Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Medicines and Healthcare Products Regulatory Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Medicines and Healthcare Products Regulatory Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","National Savings and Investments","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","National Savings and Investments","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Department for Work and Pensions (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Department for Work and Pensions (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Department for Work and Pensions (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Department for Work and Pensions (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs (excl. agencies)","Female","20","20","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs (excl. agencies)","Male","25","25","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Crown Prosecution Service","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Crown Prosecution Service","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Female","[c]","[c]","[c]","[c]"
