"Status","Year","Ethnicity","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Chancellor's other departments","30","30","50530","46970"
"In post","2023","Asian","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","35","35","43410","35190"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education","50","50","43210","43250"
"In post","2023","Asian","Analysis","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","30","30","50050","55370"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities","30","30","45180","44180"
"In post","2023","Asian","Analysis","Department for Transport","30","30","46930","43750"
"In post","2023","Asian","Analysis","Department for Work and Pensions","45","45","41950","39150"
"In post","2023","Asian","Analysis","Department of Health and Social Care","45","40","36700","33500"
"In post","2023","Asian","Analysis","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Revenue and Customs","110","105","47330","44930"
"In post","2023","Asian","Analysis","HM Treasury","35","35","40440","35530"
"In post","2023","Asian","Analysis","Home Office","40","40","43880","38620"
"In post","2023","Asian","Analysis","Ministry of Defence","35","35","37670","37420"
"In post","2023","Asian","Analysis","Ministry of Justice","75","75","45720","43650"
"In post","2023","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Office of Gas and Electricity Markets","35","35","45350","40000"
"In post","2023","Asian","Analysis","Office of Rail and Road","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Statistics Authority","75","75","36920","37690"
"In post","2023","Asian","Analysis","Water Services Regulation Authority","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Attorney General's Departments","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Cabinet Office","100","100","63890","65500"
"In post","2023","Asian","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Digital, Culture, Media and Sport","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Education","30","30","43070","39160"
"In post","2023","Asian","Commercial","Department for Environment, Food and Rural Affairs","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","Department for International Trade","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Transport","25","25","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department of Health and Social Care","40","35","43410","41330"
"In post","2023","Asian","Commercial","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","HM Revenue and Customs","20","20","[c]","[c]"
"In post","2023","Asian","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Home Office","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","Ministry of Defence","45","45","39220","34930"
"In post","2023","Asian","Commercial","Ministry of Justice","25","25","[c]","[c]"
"In post","2023","Asian","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","UK Export Finance","40","40","49660","37000"
"In post","2023","Asian","Commercial","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Cabinet Office","20","20","[c]","[c]"
"In post","2023","Asian","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Education","15","15","[c]","[c]"
"In post","2023","Asian","Communications","Department for Environment, Food and Rural Affairs","10","10","[c]","[c]"
"In post","2023","Asian","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Department for Transport","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Department for Work and Pensions","10","10","[c]","[c]"
"In post","2023","Asian","Communications","Department of Health and Social Care","20","20","[c]","[c]"
"In post","2023","Asian","Communications","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","HM Revenue and Customs","10","10","[c]","[c]"
"In post","2023","Asian","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Ministry of Defence","10","10","[c]","[c]"
"In post","2023","Asian","Communications","Ministry of Justice","10","10","[c]","[c]"
"In post","2023","Asian","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","UK Export Finance","10","10","[c]","[c]"
"In post","2023","Asian","Communications","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Attorney General's Departments","15","15","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Cabinet Office","5","5","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Department for Work and Pensions","685","630","29400","28120"
"In post","2023","Asian","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","HM Revenue and Customs","745","715","35330","34370"
"In post","2023","Asian","Counter Fraud","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","Department for Work and Pensions","405","350","23150","21690"
"In post","2023","Asian","Debt","HM Revenue and Customs","690","625","24640","22520"
"In post","2023","Asian","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Attorney General's Departments","30","30","41950","36530"
"In post","2023","Asian","Digital, Data & Technology","Cabinet Office","165","160","47140","43090"
"In post","2023","Asian","Digital, Data & Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Competition and Markets Authority","20","20","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","75","75","41750","38670"
"In post","2023","Asian","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Department for Education","160","160","42000","37840"
"In post","2023","Asian","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","50","50","39150","37300"
"In post","2023","Asian","Digital, Data & Technology","Department for International Trade","15","15","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","15","15","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Department for Transport","35","35","35370","31940"
"In post","2023","Asian","Digital, Data & Technology","Department for Work and Pensions","255","250","43540","39500"
"In post","2023","Asian","Digital, Data & Technology","Department of Health and Social Care","70","70","47080","41720"
"In post","2023","Asian","Digital, Data & Technology","Food Standards Agency","5","5","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Foreign, Commonwealth and Development Office","20","20","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","HM Land Registry","25","25","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","HM Revenue and Customs","325","320","42180","41360"
"In post","2023","Asian","Digital, Data & Technology","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Home Office","205","205","47420","43210"
"In post","2023","Asian","Digital, Data & Technology","Ministry of Defence","110","105","38470","35990"
"In post","2023","Asian","Digital, Data & Technology","Ministry of Justice","175","175","48520","47100"
"In post","2023","Asian","Digital, Data & Technology","National Crime Agency","20","20","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","25","25","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Office of Gas and Electricity Markets","35","35","46110","43140"
"In post","2023","Asian","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Scottish Government","5","5","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","The National Archives","20","20","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","UK Export Finance","15","15","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","UK Statistics Authority","55","50","40880","37690"
"In post","2023","Asian","Digital, Data & Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Attorney General's Departments","25","25","[c]","[c]"
"In post","2023","Asian","Finance","Cabinet Office","20","20","[c]","[c]"
"In post","2023","Asian","Finance","Chancellor's other departments","10","10","[c]","[c]"
"In post","2023","Asian","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2023","Asian","Finance","Department for Business, Energy and Industrial Strategy","35","35","44520","41540"
"In post","2023","Asian","Finance","Department for Digital, Culture, Media and Sport","15","15","[c]","[c]"
"In post","2023","Asian","Finance","Department for Education","100","100","40640","37590"
"In post","2023","Asian","Finance","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2023","Asian","Finance","Department for International Trade","15","15","[c]","[c]"
"In post","2023","Asian","Finance","Department for Levelling Up, Housing and Communities","15","15","[c]","[c]"
"In post","2023","Asian","Finance","Department for Transport","50","50","50960","46730"
"In post","2023","Asian","Finance","Department for Work and Pensions","165","160","39050","38470"
"In post","2023","Asian","Finance","Department of Health and Social Care","60","60","41040","38120"
"In post","2023","Asian","Finance","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Foreign, Commonwealth and Development Office","35","35","43230","38540"
"In post","2023","Asian","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","HM Revenue and Customs","255","240","36910","34400"
"In post","2023","Asian","Finance","HM Treasury","15","15","[c]","[c]"
"In post","2023","Asian","Finance","Home Office","55","55","46830","43210"
"In post","2023","Asian","Finance","Ministry of Defence","120","120","40630","37850"
"In post","2023","Asian","Finance","Ministry of Justice","110","105","41320","41510"
"In post","2023","Asian","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Office for Standards in Education, Children's Services and Skills","5","5","[c]","[c]"
"In post","2023","Asian","Finance","Office of Gas and Electricity Markets","5","5","[c]","[c]"
"In post","2023","Asian","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","UK Export Finance","10","10","[c]","[c]"
"In post","2023","Asian","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Water Services Regulation Authority","5","5","[c]","[c]"
"In post","2023","Asian","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","Department for Environment, Food and Rural Affairs","50","50","23340","22150"
"In post","2023","Asian","Grants Management","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","Home Office","5","5","[c]","[c]"
"In post","2023","Asian","Grants Management","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Attorney General's Departments","20","20","[c]","[c]"
"In post","2023","Asian","Human Resources","Cabinet Office","70","65","39640","36500"
"In post","2023","Asian","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2023","Asian","Human Resources","Department for Business, Energy and Industrial Strategy","25","25","[c]","[c]"
"In post","2023","Asian","Human Resources","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2023","Asian","Human Resources","Department for Education","15","15","[c]","[c]"
"In post","2023","Asian","Human Resources","Department for Environment, Food and Rural Affairs","20","20","[c]","[c]"
"In post","2023","Asian","Human Resources","Department for International Trade","20","20","[c]","[c]"
"In post","2023","Asian","Human Resources","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Department for Transport","15","15","[c]","[c]"
"In post","2023","Asian","Human Resources","Department for Work and Pensions","130","125","34100","32520"
"In post","2023","Asian","Human Resources","Department of Health and Social Care","35","35","40740","34170"
"In post","2023","Asian","Human Resources","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Foreign, Commonwealth and Development Office","25","25","[c]","[c]"
"In post","2023","Asian","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","HM Revenue and Customs","100","100","40160","35170"
"In post","2023","Asian","Human Resources","HM Treasury","15","15","[c]","[c]"
"In post","2023","Asian","Human Resources","Home Office","65","65","38670","36180"
"In post","2023","Asian","Human Resources","Ministry of Defence","90","85","36110","34300"
"In post","2023","Asian","Human Resources","Ministry of Justice","85","80","38050","35410"
"In post","2023","Asian","Human Resources","National Crime Agency","10","10","[c]","[c]"
"In post","2023","Asian","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","UK Statistics Authority","5","5","[c]","[c]"
"In post","2023","Asian","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2023","Asian","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","HM Revenue and Customs","10","10","[c]","[c]"
"In post","2023","Asian","Internal Audit","HM Treasury","70","70","47580","43290"
"In post","2023","Asian","Internal Audit","Ministry of Defence","5","5","[c]","[c]"
"In post","2023","Asian","Internal Audit","Ministry of Justice","5","5","[c]","[c]"
"In post","2023","Asian","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Attorney General's Departments","1100","1030","43200","43390"
"In post","2023","Asian","Legal","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Competition and Markets Authority","20","20","[c]","[c]"
"In post","2023","Asian","Legal","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2023","Asian","Legal","Department for Education","5","5","[c]","[c]"
"In post","2023","Asian","Legal","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Department for Work and Pensions","5","5","[c]","[c]"
"In post","2023","Asian","Legal","Department of Health and Social Care","15","15","[c]","[c]"
"In post","2023","Asian","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Foreign, Commonwealth and Development Office","10","10","[c]","[c]"
"In post","2023","Asian","Legal","HM Land Registry","5","5","[c]","[c]"
"In post","2023","Asian","Legal","HM Revenue and Customs","170","160","43240","35000"
"In post","2023","Asian","Legal","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Ministry of Justice","10","10","[c]","[c]"
"In post","2023","Asian","Legal","National Crime Agency","5","5","[c]","[c]"
"In post","2023","Asian","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Office of Gas and Electricity Markets","10","10","[c]","[c]"
"In post","2023","Asian","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Scottish Government","25","25","[c]","[c]"
"In post","2023","Asian","Legal","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","UK Export Finance","10","10","[c]","[c]"
"In post","2023","Asian","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","No function","Attorney General's Departments","5","5","[c]","[c]"
"In post","2023","Asian","No function","Cabinet Office","120","115","44830","41410"
"In post","2023","Asian","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","Asian","No function","Charity Commission","5","5","[c]","[c]"
"In post","2023","Asian","No function","Department for Business, Energy and Industrial Strategy","710","690","42040","41060"
"In post","2023","Asian","No function","Department for Digital, Culture, Media and Sport","90","90","46110","50390"
"In post","2023","Asian","No function","Department for Education","355","345","40930","37590"
"In post","2023","Asian","No function","Department for Environment, Food and Rural Affairs","310","300","37820","33830"
"In post","2023","Asian","No function","Department for International Trade","200","195","46440","41550"
"In post","2023","Asian","No function","Department for Levelling Up, Housing and Communities","215","205","43270","37540"
"In post","2023","Asian","No function","Department for Transport","485","465","36610","31480"
"In post","2023","Asian","No function","Department for Work and Pensions","5915","5280","28390","28120"
"In post","2023","Asian","No function","Department of Health and Social Care","700","660","45280","38120"
"In post","2023","Asian","No function","Food Standards Agency","50","50","40810","37720"
"In post","2023","Asian","No function","Foreign, Commonwealth and Development Office","255","250","47070","40280"
"In post","2023","Asian","No function","HM Land Registry","170","150","28610","28080"
"In post","2023","Asian","No function","HM Revenue and Customs","3350","3165","32460","28130"
"In post","2023","Asian","No function","HM Treasury","190","185","44330","38710"
"In post","2023","Asian","No function","Home Office","4095","3780","32420","29980"
"In post","2023","Asian","No function","Ministry of Defence","645","610","36020","31020"
"In post","2023","Asian","No function","Ministry of Justice","4460","4115","29530","25830"
"In post","2023","Asian","No function","National Crime Agency","220","215","39300","38640"
"In post","2023","Asian","No function","Office for Standards in Education, Children's Services and Skills","65","65","45200","43840"
"In post","2023","Asian","No function","Office of Gas and Electricity Markets","70","65","38120","32080"
"In post","2023","Asian","No function","Office of Qualifications and Examinations Regulation","30","25","[c]","[c]"
"In post","2023","Asian","No function","Office of Rail and Road","20","20","[c]","[c]"
"In post","2023","Asian","No function","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","No function","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","No function","Scottish Government","60","55","30050","28600"
"In post","2023","Asian","No function","The National Archives","20","20","[c]","[c]"
"In post","2023","Asian","No function","UK Statistics Authority","85","70","26750","24840"
"In post","2023","Asian","No function","Water Services Regulation Authority","15","15","[c]","[c]"
"In post","2023","Asian","No function","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Attorney General's Departments","5","5","[c]","[c]"
"In post","2023","Asian","Project Delivery","Cabinet Office","40","40","45120","32960"
"In post","2023","Asian","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Competition and Markets Authority","60","60","46290","34620"
"In post","2023","Asian","Project Delivery","Department for Business, Energy and Industrial Strategy","35","35","45800","41360"
"In post","2023","Asian","Project Delivery","Department for Digital, Culture, Media and Sport","15","15","[c]","[c]"
"In post","2023","Asian","Project Delivery","Department for Education","105","105","45020","41440"
"In post","2023","Asian","Project Delivery","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2023","Asian","Project Delivery","Department for International Trade","10","10","[c]","[c]"
"In post","2023","Asian","Project Delivery","Department for Levelling Up, Housing and Communities","25","25","[c]","[c]"
"In post","2023","Asian","Project Delivery","Department for Transport","50","50","48060","45590"
"In post","2023","Asian","Project Delivery","Department for Work and Pensions","95","90","37350","34170"
"In post","2023","Asian","Project Delivery","Department of Health and Social Care","135","130","47130","41480"
"In post","2023","Asian","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Foreign, Commonwealth and Development Office","60","60","43660","38950"
"In post","2023","Asian","Project Delivery","HM Land Registry","5","5","[c]","[c]"
"In post","2023","Asian","Project Delivery","HM Revenue and Customs","455","435","46940","42140"
"In post","2023","Asian","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Home Office","5","5","[c]","[c]"
"In post","2023","Asian","Project Delivery","Ministry of Defence","260","255","41750","40270"
"In post","2023","Asian","Project Delivery","Ministry of Justice","40","40","41850","43650"
"In post","2023","Asian","Project Delivery","National Crime Agency","10","10","[c]","[c]"
"In post","2023","Asian","Project Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Office of Gas and Electricity Markets","10","10","[c]","[c]"
"In post","2023","Asian","Project Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","UK Statistics Authority","5","5","[c]","[c]"
