"Status","Year","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","London","AA/AO","Heterosexual / straight","7290","6745","27370","26400"
"In post","2023","London","AA/AO","LGBO","385","370","28370","26400"
"In post","2023","London","AA/AO","Undeclared","980","890","26460","25610"
"In post","2023","London","AA/AO","Unknown","3145","2935","27760","26400"
"In post","2023","London","EO","Heterosexual / straight","12925","12220","31520","31330"
"In post","2023","London","EO","LGBO","755","735","31280","30950"
"In post","2023","London","EO","Undeclared","1805","1680","31350","31000"
"In post","2023","London","EO","Unknown","4325","4110","31310","31060"
"In post","2023","London","G6/G7","Heterosexual / straight","20265","19590","62370","60220"
"In post","2023","London","G6/G7","LGBO","1940","1910","61150","59180"
"In post","2023","London","G6/G7","Undeclared","2730","2650","62580","60430"
"In post","2023","London","G6/G7","Unknown","5040","4875","62510","60950"
"In post","2023","London","SCS level","Heterosexual / straight","3145","3030","92110","83030"
"In post","2023","London","SCS level","LGBO","275","270","90020","80500"
"In post","2023","London","SCS level","Undeclared","315","305","91920","84150"
"In post","2023","London","SCS level","Unknown","680","655","96470","86700"
"In post","2023","London","SEO/HEO","Heterosexual / straight","22515","21975","40550","40260"
"In post","2023","London","SEO/HEO","LGBO","2145","2120","39620","39790"
"In post","2023","London","SEO/HEO","Undeclared","3045","2950","40680","40880"
"In post","2023","London","SEO/HEO","Unknown","7575","7440","39300","39460"
"In post","2023","London","Unknown","Heterosexual / straight","1760","1680","35630","33820"
"In post","2023","London","Unknown","LGBO","125","125","37120","34820"
"In post","2023","London","Unknown","Undeclared","180","170","37610","34210"
"In post","2023","London","Unknown","Unknown","395","360","31870","29300"
"In post","2023","Outside London","AA/AO","Heterosexual / straight","78140","70500","24000","22500"
"In post","2023","Outside London","AA/AO","LGBO","5265","5025","24380","22520"
"In post","2023","Outside London","AA/AO","Undeclared","9385","8250","23630","22220"
"In post","2023","Outside London","AA/AO","Unknown","31760","28605","23920","22520"
"In post","2023","Outside London","EO","Heterosexual / straight","71245","65790","28570","28120"
"In post","2023","Outside London","EO","LGBO","4625","4470","28440","28120"
"In post","2023","Outside London","EO","Undeclared","8680","7880","28670","28120"
"In post","2023","Outside London","EO","Unknown","22400","20710","28740","28120"
"In post","2023","Outside London","G6/G7","Heterosexual / straight","32150","30960","59440","57770"
"In post","2023","Outside London","G6/G7","LGBO","1735","1700","58470","56450"
"In post","2023","Outside London","G6/G7","Undeclared","3360","3215","59700","57970"
"In post","2023","Outside London","G6/G7","Unknown","6570","6280","59660","57970"
"In post","2023","Outside London","SCS level","Heterosexual / straight","2000","1940","92040","85000"
"In post","2023","Outside London","SCS level","LGBO","110","105","85690","81600"
"In post","2023","Outside London","SCS level","Undeclared","170","160","91760","84460"
"In post","2023","Outside London","SCS level","Unknown","385","365","96590","86380"
"In post","2023","Outside London","SEO/HEO","Heterosexual / straight","79005","75615","38000","37300"
"In post","2023","Outside London","SEO/HEO","LGBO","5000","4890","37040","35000"
"In post","2023","Outside London","SEO/HEO","Undeclared","9350","8890","38360","37420"
"In post","2023","Outside London","SEO/HEO","Unknown","17095","16410","37560","35180"
"In post","2023","Outside London","Unknown","Heterosexual / straight","15860","14825","31730","29050"
"In post","2023","Outside London","Unknown","LGBO","1190","1155","29250","26450"
"In post","2023","Outside London","Unknown","Undeclared","1235","1140","34230","32050"
"In post","2023","Outside London","Unknown","Unknown","3110","2825","28240","26820"
"In post","2023","Overseas","AA/AO","Heterosexual / straight","40","40","28370","24350"
"In post","2023","Overseas","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Overseas","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Overseas","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2023","Overseas","EO","Heterosexual / straight","140","140","35510","33870"
"In post","2023","Overseas","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Overseas","EO","Undeclared","15","15","[c]","[c]"
"In post","2023","Overseas","EO","Unknown","35","35","33000","28760"
"In post","2023","Overseas","G6/G7","Heterosexual / straight","795","795","62280","59770"
"In post","2023","Overseas","G6/G7","LGBO","75","75","58710","56100"
"In post","2023","Overseas","G6/G7","Undeclared","35","35","68330","64940"
"In post","2023","Overseas","G6/G7","Unknown","405","400","60540","58030"
"In post","2023","Overseas","SCS level","Heterosexual / straight","195","195","88820","78550"
"In post","2023","Overseas","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Overseas","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","Overseas","SCS level","Unknown","70","70","83170","75960"
"In post","2023","Overseas","SEO/HEO","Heterosexual / straight","970","970","41590","38600"
"In post","2023","Overseas","SEO/HEO","LGBO","65","65","39150","35910"
"In post","2023","Overseas","SEO/HEO","Undeclared","60","60","46750","43800"
"In post","2023","Overseas","SEO/HEO","Unknown","415","415","46310","42840"
"In post","2023","Overseas","Unknown","Heterosexual / straight","110","110","[c]","[c]"
"In post","2023","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Overseas","Unknown","Undeclared","25","25","[c]","[c]"
"In post","2023","Overseas","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Unknown","AA/AO","Heterosexual / straight","115","110","23730","21780"
"In post","2023","Unknown","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2023","Unknown","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2023","Unknown","AA/AO","Unknown","60","55","23150","22400"
"In post","2023","Unknown","EO","Heterosexual / straight","230","215","28210","28120"
"In post","2023","Unknown","EO","LGBO","15","15","[c]","[c]"
"In post","2023","Unknown","EO","Undeclared","45","40","28570","27880"
"In post","2023","Unknown","EO","Unknown","85","75","27430","25750"
"In post","2023","Unknown","G6/G7","Heterosexual / straight","85","80","60290","59400"
"In post","2023","Unknown","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2023","Unknown","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Unknown","G6/G7","Unknown","25","25","[c]","[c]"
"In post","2023","Unknown","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SEO/HEO","Heterosexual / straight","200","190","41340","39190"
"In post","2023","Unknown","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Unknown","SEO/HEO","Undeclared","25","25","[c]","[c]"
"In post","2023","Unknown","SEO/HEO","Unknown","55","55","40840","41410"
"In post","2023","Unknown","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Unknown","1705","1700","41910","39970"
"Leaver CS","2023","London","AA/AO","Heterosexual / straight","920","[c]","24500","25060"
"Leaver CS","2023","London","AA/AO","LGBO","80","[c]","24080","24480"
"Leaver CS","2023","London","AA/AO","Undeclared","110","[c]","24150","25480"
"Leaver CS","2023","London","AA/AO","Unknown","650","[c]","24530","25480"
"Leaver CS","2023","London","EO","Heterosexual / straight","1340","[c]","30190","31000"
"Leaver CS","2023","London","EO","LGBO","140","[c]","30130","30990"
"Leaver CS","2023","London","EO","Undeclared","200","[c]","30210","30770"
"Leaver CS","2023","London","EO","Unknown","585","[c]","29040","29750"
"Leaver CS","2023","London","G6/G7","Heterosexual / straight","1470","[c]","60430","57820"
"Leaver CS","2023","London","G6/G7","LGBO","185","[c]","59650","57430"
"Leaver CS","2023","London","G6/G7","Undeclared","230","[c]","62010","59290"
"Leaver CS","2023","London","G6/G7","Unknown","665","[c]","61940","60150"
"Leaver CS","2023","London","SCS level","Heterosexual / straight","300","[c]","98100","90000"
"Leaver CS","2023","London","SCS level","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2023","London","SCS level","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2023","London","SCS level","Unknown","115","[c]","104760","91410"
"Leaver CS","2023","London","SEO/HEO","Heterosexual / straight","1765","[c]","39020","38900"
"Leaver CS","2023","London","SEO/HEO","LGBO","230","[c]","37870","37420"
"Leaver CS","2023","London","SEO/HEO","Undeclared","305","[c]","39280","39420"
"Leaver CS","2023","London","SEO/HEO","Unknown","920","[c]","37600","37230"
"Leaver CS","2023","London","Unknown","Heterosexual / straight","190","[c]","[c]","[c]"
"Leaver CS","2023","London","Unknown","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","London","Unknown","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","London","Unknown","Unknown","65","[c]","[c]","[c]"
"Leaver CS","2023","Outside London","AA/AO","Heterosexual / straight","7940","[c]","22250","21690"
"Leaver CS","2023","Outside London","AA/AO","LGBO","660","[c]","22030","21690"
"Leaver CS","2023","Outside London","AA/AO","Undeclared","930","[c]","22460","21690"
"Leaver CS","2023","Outside London","AA/AO","Unknown","5925","[c]","22500","21780"
