"Status","Year","Disability","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","Heterosexual / straight","920","855","43960","38940"
"In post","2023","Declared disabled","Attorney General's Departments","LGBO","115","110","44500","44700"
"In post","2023","Declared disabled","Attorney General's Departments","Undeclared","75","70","47760","46200"
"In post","2023","Declared disabled","Attorney General's Departments","Unknown","100","90","44550","40800"
"In post","2023","Declared disabled","Cabinet Office","Heterosexual / straight","830","805","46920","40620"
"In post","2023","Declared disabled","Cabinet Office","LGBO","170","170","46070","41870"
"In post","2023","Declared disabled","Cabinet Office","Undeclared","100","100","47200","41410"
"In post","2023","Declared disabled","Cabinet Office","Unknown","290","290","37060","30130"
"In post","2023","Declared disabled","Chancellor's other departments","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Heterosexual / straight","35","35","60940","61040"
"In post","2023","Declared disabled","Competition and Markets Authority","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","1045","990","41630","39200"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","LGBO","195","190","39600","37470"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Undeclared","130","125","41490","39650"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","Unknown","75","70","33370","29240"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","Heterosexual / straight","125","120","49750","52760"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","LGBO","50","50","42920","35920"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","Heterosexual / straight","625","595","44300","38430"
"In post","2023","Declared disabled","Department for Education","LGBO","110","110","43800","38170"
"In post","2023","Declared disabled","Department for Education","Undeclared","70","65","41710","38210"
"In post","2023","Declared disabled","Department for Education","Unknown","25","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Heterosexual / straight","1360","1290","35360","30540"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","LGBO","230","220","35420","30880"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Undeclared","170","155","33920","30320"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","45","40","34010","27970"
"In post","2023","Declared disabled","Department for International Trade","Heterosexual / straight","180","175","46880","41550"
"In post","2023","Declared disabled","Department for International Trade","LGBO","50","50","46700","41550"
"In post","2023","Declared disabled","Department for International Trade","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Unknown","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","Heterosexual / straight","330","320","44640","39600"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","LGBO","90","90","44870","40800"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport","Heterosexual / straight","955","855","31880","27450"
"In post","2023","Declared disabled","Department for Transport","LGBO","105","105","37280","31660"
"In post","2023","Declared disabled","Department for Transport","Undeclared","335","275","27260","25090"
"In post","2023","Declared disabled","Department for Transport","Unknown","35","35","28360","27220"
"In post","2023","Declared disabled","Department for Work and Pensions","Heterosexual / straight","13095","11470","29010","28120"
"In post","2023","Declared disabled","Department for Work and Pensions","LGBO","1315","1235","29050","28120"
"In post","2023","Declared disabled","Department for Work and Pensions","Undeclared","1845","1600","28190","28120"
"In post","2023","Declared disabled","Department for Work and Pensions","Unknown","1135","945","27530","28120"
