"Status","Year","Age","Disability","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared non-disabled","Yorkshire and The Humber","Female","40","40","23490","22520"
"In post","2023","16-19","Declared non-disabled","Yorkshire and The Humber","Male","30","30","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","East Midlands (England)","Female","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","East Midlands (England)","Male","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","East of England","Female","15","10","[c]","[c]"
"In post","2023","16-19","Unknown","East of England","Male","20","15","[c]","[c]"
"In post","2023","16-19","Unknown","London","Female","35","35","27480","26760"
"In post","2023","16-19","Unknown","London","Male","35","35","27720","26770"
"In post","2023","16-19","Unknown","North East (England)","Female","20","15","[c]","[c]"
"In post","2023","16-19","Unknown","North East (England)","Male","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","North West (England)","Female","50","45","23250","22400"
"In post","2023","16-19","Unknown","North West (England)","Male","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scotland","Female","40","35","23100","22520"
"In post","2023","16-19","Unknown","Scotland","Male","40","40","22030","22180"
"In post","2023","16-19","Unknown","South East (England)","Female","50","50","23610","22640"
"In post","2023","16-19","Unknown","South East (England)","Male","55","55","22890","22750"
"In post","2023","16-19","Unknown","South West (England)","Female","30","30","20630","19460"
"In post","2023","16-19","Unknown","South West (England)","Male","100","100","20080","19430"
"In post","2023","16-19","Unknown","Unknown","Female","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Male","25","25","[c]","[c]"
"In post","2023","16-19","Unknown","Wales","Female","25","25","[c]","[c]"
"In post","2023","16-19","Unknown","Wales","Male","30","25","[c]","[c]"
"In post","2023","16-19","Unknown","West Midlands (England)","Female","20","15","[c]","[c]"
"In post","2023","16-19","Unknown","West Midlands (England)","Male","20","15","[c]","[c]"
"In post","2023","16-19","Unknown","Yorkshire and The Humber","Female","25","25","[c]","[c]"
"In post","2023","16-19","Unknown","Yorkshire and The Humber","Male","30","30","[c]","[c]"
"In post","2023","20-29","Declared disabled","East Midlands (England)","Female","190","185","26760","25300"
"In post","2023","20-29","Declared disabled","East Midlands (England)","Male","115","110","27280","26900"
"In post","2023","20-29","Declared disabled","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","East of England","Female","180","175","26930","25880"
"In post","2023","20-29","Declared disabled","East of England","Male","100","100","29150","28530"
"In post","2023","20-29","Declared disabled","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","London","Female","1170","1160","37320","34460"
"In post","2023","20-29","Declared disabled","London","Male","605","600","38350","35410"
"In post","2023","20-29","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","North East (England)","Female","205","200","27800","27890"
"In post","2023","20-29","Declared disabled","North East (England)","Male","125","120","26920","25880"
"In post","2023","20-29","Declared disabled","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","North West (England)","Female","450","440","28130","27770"
"In post","2023","20-29","Declared disabled","North West (England)","Male","275","275","28370","28120"
"In post","2023","20-29","Declared disabled","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Northern Ireland","Female","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Northern Ireland","Male","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Overseas","Female","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Overseas","Male","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Scotland","Female","335","325","29880","28120"
"In post","2023","20-29","Declared disabled","Scotland","Male","210","210","28790","25970"
"In post","2023","20-29","Declared disabled","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","South East (England)","Female","325","320","29300","28880"
"In post","2023","20-29","Declared disabled","South East (England)","Male","230","225","29430","28840"
"In post","2023","20-29","Declared disabled","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","South West (England)","Female","400","390","29350","28370"
"In post","2023","20-29","Declared disabled","South West (England)","Male","320","315","29560","28370"
"In post","2023","20-29","Declared disabled","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Female","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Wales","Female","220","210","27360","25620"
"In post","2023","20-29","Declared disabled","Wales","Male","145","140","27790","27650"
"In post","2023","20-29","Declared disabled","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","West Midlands (England)","Female","255","250","28390","28120"
"In post","2023","20-29","Declared disabled","West Midlands (England)","Male","140","135","28480","27980"
"In post","2023","20-29","Declared disabled","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Yorkshire and The Humber","Female","315","305","29200","28120"
"In post","2023","20-29","Declared disabled","Yorkshire and The Humber","Male","185","180","29660","28120"
"In post","2023","20-29","Declared disabled","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","East Midlands (England)","Female","1245","1215","27680","27890"
"In post","2023","20-29","Declared non-disabled","East Midlands (England)","Male","900","895","28550","28130"
"In post","2023","20-29","Declared non-disabled","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","East of England","Female","1000","970","28360","28120"
"In post","2023","20-29","Declared non-disabled","East of England","Male","775","765","29440","28880"
"In post","2023","20-29","Declared non-disabled","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","London","Female","6390","6340","38820","35640"
"In post","2023","20-29","Declared non-disabled","London","Male","4845","4835","40000","36950"
"In post","2023","20-29","Declared non-disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","North East (England)","Female","1680","1635","27810","27890"
"In post","2023","20-29","Declared non-disabled","North East (England)","Male","1295","1280","28570","28120"
"In post","2023","20-29","Declared non-disabled","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","North West (England)","Female","3290","3225","28330","27890"
"In post","2023","20-29","Declared non-disabled","North West (England)","Male","2435","2420","28870","28120"
"In post","2023","20-29","Declared non-disabled","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Northern Ireland","Female","130","125","27890","27890"
"In post","2023","20-29","Declared non-disabled","Northern Ireland","Male","130","130","27170","25610"
"In post","2023","20-29","Declared non-disabled","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Overseas","Female","115","115","35700","33540"
"In post","2023","20-29","Declared non-disabled","Overseas","Male","80","80","38160","33880"
"In post","2023","20-29","Declared non-disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Scotland","Female","2265","2215","29950","28130"
"In post","2023","20-29","Declared non-disabled","Scotland","Male","1545","1540","29610","28120"
"In post","2023","20-29","Declared non-disabled","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","South East (England)","Female","1880","1840","29290","28540"
"In post","2023","20-29","Declared non-disabled","South East (England)","Male","1385","1375","30010","29560"
"In post","2023","20-29","Declared non-disabled","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","South West (England)","Female","2165","2120","29660","28880"
"In post","2023","20-29","Declared non-disabled","South West (England)","Male","2115","2110","30790","30650"
"In post","2023","20-29","Declared non-disabled","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Unknown","Female","45","45","30920","28120"
"In post","2023","20-29","Declared non-disabled","Unknown","Male","40","40","31390","28120"
"In post","2023","20-29","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Wales","Female","1850","1790","27720","26840"
"In post","2023","20-29","Declared non-disabled","Wales","Male","1365","1350","28040","27000"
"In post","2023","20-29","Declared non-disabled","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","West Midlands (England)","Female","1860","1805","28050","27890"
"In post","2023","20-29","Declared non-disabled","West Midlands (England)","Male","1300","1290","29220","28120"
"In post","2023","20-29","Declared non-disabled","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Yorkshire and The Humber","Female","2270","2215","29110","28120"
"In post","2023","20-29","Declared non-disabled","Yorkshire and The Humber","Male","1605","1595","29580","28120"
"In post","2023","20-29","Declared non-disabled","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","East Midlands (England)","Female","65","65","27000","25830"
"In post","2023","20-29","Undeclared","East Midlands (England)","Male","60","60","28970","28120"
"In post","2023","20-29","Undeclared","East of England","Female","45","45","29890","30810"
"In post","2023","20-29","Undeclared","East of England","Male","30","30","31690","31280"
"In post","2023","20-29","Undeclared","London","Female","390","385","38800","35720"
"In post","2023","20-29","Undeclared","London","Male","365","365","39740","35760"
"In post","2023","20-29","Undeclared","North East (England)","Female","55","55","28780","25920"
"In post","2023","20-29","Undeclared","North East (England)","Male","70","70","30270","28130"
"In post","2023","20-29","Undeclared","North West (England)","Female","140","135","28800","27650"
"In post","2023","20-29","Undeclared","North West (England)","Male","130","130","29350","28120"
"In post","2023","20-29","Undeclared","Northern Ireland","Female","10","10","[c]","[c]"
"In post","2023","20-29","Undeclared","Northern Ireland","Male","5","5","[c]","[c]"
"In post","2023","20-29","Undeclared","Overseas","Female","5","5","[c]","[c]"
"In post","2023","20-29","Undeclared","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Scotland","Female","75","70","29340","28120"
"In post","2023","20-29","Undeclared","Scotland","Male","40","40","28020","25210"
"In post","2023","20-29","Undeclared","South East (England)","Female","75","75","29880","28480"
"In post","2023","20-29","Undeclared","South East (England)","Male","90","90","30010","29150"
"In post","2023","20-29","Undeclared","South West (England)","Female","90","90","29400","28880"
"In post","2023","20-29","Undeclared","South West (England)","Male","110","110","31350","28860"
"In post","2023","20-29","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Unknown","Male","5","5","[c]","[c]"
"In post","2023","20-29","Undeclared","Wales","Female","65","65","27550","27890"
"In post","2023","20-29","Undeclared","Wales","Male","60","60","26330","24840"
"In post","2023","20-29","Undeclared","West Midlands (England)","Female","95","95","28750","27770"
"In post","2023","20-29","Undeclared","West Midlands (England)","Male","80","75","29180","28120"
"In post","2023","20-29","Undeclared","Yorkshire and The Humber","Female","100","95","29420","28120"
"In post","2023","20-29","Undeclared","Yorkshire and The Humber","Male","100","100","28960","28120"
"In post","2023","20-29","Unknown","East Midlands (England)","Female","600","575","26430","25750"
"In post","2023","20-29","Unknown","East Midlands (England)","Male","445","440","27520","27890"
"In post","2023","20-29","Unknown","East of England","Female","450","440","27530","25880"
"In post","2023","20-29","Unknown","East of England","Male","405","400","27760","26900"
"In post","2023","20-29","Unknown","London","Female","5145","5115","37020","34340"
"In post","2023","20-29","Unknown","London","Male","3780","3765","37800","35240"
"In post","2023","20-29","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","North East (England)","Female","755","725","27170","25900"
"In post","2023","20-29","Unknown","North East (England)","Male","685","675","28210","27650"
"In post","2023","20-29","Unknown","North West (England)","Female","2070","2030","27200","25750"
"In post","2023","20-29","Unknown","North West (England)","Male","1625","1610","27590","25880"
"In post","2023","20-29","Unknown","Northern Ireland","Female","160","155","25650","22520"
"In post","2023","20-29","Unknown","Northern Ireland","Male","140","140","25440","22520"
"In post","2023","20-29","Unknown","Overseas","Female","70","70","43690","41430"
"In post","2023","20-29","Unknown","Overseas","Male","45","45","42980","39450"
"In post","2023","20-29","Unknown","Scotland","Female","1810","1765","28890","27650"
"In post","2023","20-29","Unknown","Scotland","Male","1560","1545","28490","26600"
"In post","2023","20-29","Unknown","South East (England)","Female","1020","1005","28140","25920"
"In post","2023","20-29","Unknown","South East (England)","Male","1065","1060","28290","27080"
"In post","2023","20-29","Unknown","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","South West (England)","Female","950","935","28320","27110"
"In post","2023","20-29","Unknown","South West (England)","Male","1120","1120","28590","27540"
"In post","2023","20-29","Unknown","Unknown","Female","85","85","32440","31710"
"In post","2023","20-29","Unknown","Unknown","Male","355","355","31600","31710"
"In post","2023","20-29","Unknown","Wales","Female","885","860","27510","25750"
"In post","2023","20-29","Unknown","Wales","Male","800","790","28740","27650"
"In post","2023","20-29","Unknown","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","West Midlands (England)","Female","935","905","27080","25830"
"In post","2023","20-29","Unknown","West Midlands (England)","Male","745","735","28090","27080"
"In post","2023","20-29","Unknown","Yorkshire and The Humber","Female","1280","1255","28370","25920"
"In post","2023","20-29","Unknown","Yorkshire and The Humber","Male","1225","1215","28110","25900"
"In post","2023","30-39","Declared disabled","East Midlands (England)","Female","320","290","30200","28120"
"In post","2023","30-39","Declared disabled","East Midlands (England)","Male","200","195","30490","28130"
"In post","2023","30-39","Declared disabled","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared disabled","East of England","Female","235","210","31600","30320"
"In post","2023","30-39","Declared disabled","East of England","Male","140","140","33070","31040"
"In post","2023","30-39","Declared disabled","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared disabled","London","Female","1180","1120","45330","41870"
"In post","2023","30-39","Declared disabled","London","Male","840","830","46960","43470"
"In post","2023","30-39","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared disabled","North East (England)","Female","385","355","30090","28120"
"In post","2023","30-39","Declared disabled","North East (England)","Male","280","270","30750","28120"
"In post","2023","30-39","Declared disabled","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared disabled","North West (England)","Female","835","770","31400","28120"
"In post","2023","30-39","Declared disabled","North West (England)","Male","555","550","31770","28120"
"In post","2023","30-39","Declared disabled","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared disabled","Northern Ireland","Female","40","35","34990","31460"
"In post","2023","30-39","Declared disabled","Northern Ireland","Male","30","30","30430","27770"
"In post","2023","30-39","Declared disabled","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared disabled","Overseas","Female","25","25","[c]","[c]"
"In post","2023","30-39","Declared disabled","Overseas","Male","25","25","[c]","[c]"
"In post","2023","30-39","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared disabled","Scotland","Female","600","555","34300","31940"
"In post","2023","30-39","Declared disabled","Scotland","Male","440","435","34690","31290"
"In post","2023","30-39","Declared disabled","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared disabled","South East (England)","Female","460","425","32000","30880"
"In post","2023","30-39","Declared disabled","South East (England)","Male","345","340","33660","31510"
"In post","2023","30-39","Declared disabled","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared disabled","South West (England)","Female","605","565","34680","32740"
"In post","2023","30-39","Declared disabled","South West (England)","Male","495","490","36100","34170"
"In post","2023","30-39","Declared disabled","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared disabled","Unknown","Female","15","15","[c]","[c]"
"In post","2023","30-39","Declared disabled","Unknown","Male","15","15","[c]","[c]"
"In post","2023","30-39","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared disabled","Wales","Female","480","445","30480","28120"
"In post","2023","30-39","Declared disabled","Wales","Male","310","305","31140","28120"
"In post","2023","30-39","Declared disabled","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared disabled","West Midlands (England)","Female","400","365","30810","28120"
"In post","2023","30-39","Declared disabled","West Midlands (England)","Male","275","270","32210","28880"
"In post","2023","30-39","Declared disabled","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared disabled","Yorkshire and The Humber","Female","485","450","33150","30320"
"In post","2023","30-39","Declared disabled","Yorkshire and The Humber","Male","340","335","32770","30410"
"In post","2023","30-39","Declared disabled","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared non-disabled","East Midlands (England)","Female","1765","1595","32000","29050"
"In post","2023","30-39","Declared non-disabled","East Midlands (England)","Male","1345","1335","33260","31510"
"In post","2023","30-39","Declared non-disabled","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared non-disabled","East of England","Female","1580","1420","31980","30410"
"In post","2023","30-39","Declared non-disabled","East of England","Male","1195","1185","33650","32060"
"In post","2023","30-39","Declared non-disabled","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared non-disabled","London","Female","8355","7960","48160","45170"
"In post","2023","30-39","Declared non-disabled","London","Male","7095","7045","49040","46160"
"In post","2023","30-39","Declared non-disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared non-disabled","North East (England)","Female","2690","2440","31310","28120"
"In post","2023","30-39","Declared non-disabled","North East (England)","Male","2105","2085","33980","31270"
"In post","2023","30-39","Declared non-disabled","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared non-disabled","North West (England)","Female","5000","4605","32200","28130"
"In post","2023","30-39","Declared non-disabled","North West (England)","Male","4250","4210","33560","30410"
"In post","2023","30-39","Declared non-disabled","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared non-disabled","Northern Ireland","Female","305","285","32560","31260"
"In post","2023","30-39","Declared non-disabled","Northern Ireland","Male","330","330","32820","28130"
"In post","2023","30-39","Declared non-disabled","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
