"Status","Year","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Department for Digital, Culture, Media and Sport","Male","Undeclared","60","60","47750","52760"
"In post","2023","Department for Digital, Culture, Media and Sport","Male","Unknown","90","90","44800","39330"
"In post","2023","Department for Digital, Culture, Media and Sport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Female","Heterosexual / straight","3935","3720","44600","41440"
"In post","2023","Department for Education","Female","LGBO","300","290","43830","38210"
"In post","2023","Department for Education","Female","Undeclared","360","345","44970","41440"
"In post","2023","Department for Education","Female","Unknown","515","490","45310","41440"
"In post","2023","Department for Education","Male","Heterosexual / straight","2470","2445","46970","43630"
"In post","2023","Department for Education","Male","LGBO","235","235","45090","39550"
"In post","2023","Department for Education","Male","Undeclared","280","280","46420","44020"
"In post","2023","Department for Education","Male","Unknown","385","380","46410","43830"
"In post","2023","Department for Education","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Female","Heterosexual / straight","5400","5035","36140","31850"
"In post","2023","Department for Environment, Food and Rural Affairs","Female","LGBO","415","400","35880","33830"
"In post","2023","Department for Environment, Food and Rural Affairs","Female","Undeclared","590","545","35360","31430"
"In post","2023","Department for Environment, Food and Rural Affairs","Female","Unknown","990","905","34560","30350"
"In post","2023","Department for Environment, Food and Rural Affairs","Male","Heterosexual / straight","3740","3675","38600","36250"
"In post","2023","Department for Environment, Food and Rural Affairs","Male","LGBO","405","400","37070","33830"
"In post","2023","Department for Environment, Food and Rural Affairs","Male","Undeclared","540","525","36710","33830"
"In post","2023","Department for Environment, Food and Rural Affairs","Male","Unknown","995","970","36410","32470"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","Female","Heterosexual / straight","1090","1060","47610","42480"
"In post","2023","Department for International Trade","Female","LGBO","90","90","45070","41550"
"In post","2023","Department for International Trade","Female","Undeclared","90","90","45970","41750"
"In post","2023","Department for International Trade","Female","Unknown","455","450","47360","42050"
"In post","2023","Department for International Trade","Male","Heterosexual / straight","1095","1090","49990","45190"
"In post","2023","Department for International Trade","Male","LGBO","165","165","48440","43390"
"In post","2023","Department for International Trade","Male","Undeclared","90","90","52270","55370"
"In post","2023","Department for International Trade","Male","Unknown","450","445","48750","42560"
"In post","2023","Department for International Trade","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities","Female","Heterosexual / straight","1630","1540","47300","44100"
"In post","2023","Department for Levelling Up, Housing and Communities","Female","LGBO","155","155","43890","40800"
"In post","2023","Department for Levelling Up, Housing and Communities","Female","Undeclared","155","150","45980","43260"
"In post","2023","Department for Levelling Up, Housing and Communities","Female","Unknown","210","200","43900","40390"
"In post","2023","Department for Levelling Up, Housing and Communities","Male","Heterosexual / straight","1450","1420","49440","49700"
"In post","2023","Department for Levelling Up, Housing and Communities","Male","LGBO","175","175","49650","49700"
"In post","2023","Department for Levelling Up, Housing and Communities","Male","Undeclared","165","155","47950","46180"
"In post","2023","Department for Levelling Up, Housing and Communities","Male","Unknown","235","225","44660","40390"
"In post","2023","Department for Levelling Up, Housing and Communities","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","Female","Heterosexual / straight","4845","4345","33460","27450"
"In post","2023","Department for Transport","Female","LGBO","335","320","33260","27320"
"In post","2023","Department for Transport","Female","Undeclared","1155","930","27560","22500"
"In post","2023","Department for Transport","Female","Unknown","1140","1045","31860","26960"
"In post","2023","Department for Transport","Male","Heterosexual / straight","5635","5465","37070","31660"
"In post","2023","Department for Transport","Male","LGBO","385","380","39930","33850"
"In post","2023","Department for Transport","Male","Undeclared","1320","1240","34610","28590"
"In post","2023","Department for Transport","Male","Unknown","1570","1525","34000","27490"
"In post","2023","Department for Transport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Work and Pensions","Female","Heterosexual / straight","40305","34975","29400","28120"
"In post","2023","Department for Work and Pensions","Female","LGBO","1855","1730","29540","28120"
"In post","2023","Department for Work and Pensions","Female","Undeclared","4580","3895","28630","28120"
"In post","2023","Department for Work and Pensions","Female","Unknown","9280","7605","28110","28120"
"In post","2023","Department for Work and Pensions","Male","Heterosexual / straight","21695","20840","31520","28120"
"In post","2023","Department for Work and Pensions","Male","LGBO","2035","1970","30390","28120"
"In post","2023","Department for Work and Pensions","Male","Undeclared","2930","2765","31090","28120"
"In post","2023","Department for Work and Pensions","Male","Unknown","5095","4830","30790","28120"
"In post","2023","Department for Work and Pensions","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Work and Pensions","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care","Female","Heterosexual / straight","4025","3805","46460","41890"
"In post","2023","Department of Health and Social Care","Female","LGBO","285","280","45150","41720"
"In post","2023","Department of Health and Social Care","Female","Undeclared","1175","1115","46890","41950"
"In post","2023","Department of Health and Social Care","Female","Unknown","1105","1030","45690","40880"
"In post","2023","Department of Health and Social Care","Male","Heterosexual / straight","2065","2020","50050","42820"
"In post","2023","Department of Health and Social Care","Male","LGBO","230","230","49210","42290"
"In post","2023","Department of Health and Social Care","Male","Undeclared","670","655","50360","50830"
"In post","2023","Department of Health and Social Care","Male","Unknown","705","690","51750","47670"
"In post","2023","Department of Health and Social Care","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Female","Heterosexual / straight","60","55","55640","63900"
"In post","2023","Estyn","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Estyn","Male","Heterosexual / straight","45","40","67910","78500"
"In post","2023","Estyn","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Estyn","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Agency","Female","Heterosexual / straight","540","520","40640","38100"
"In post","2023","Food Standards Agency","Female","LGBO","40","40","40050","37720"
"In post","2023","Food Standards Agency","Female","Undeclared","60","60","42230","41160"
"In post","2023","Food Standards Agency","Female","Unknown","90","90","37590","32530"
"In post","2023","Food Standards Agency","Male","Heterosexual / straight","535","525","39170","35020"
"In post","2023","Food Standards Agency","Male","LGBO","35","35","42130","37720"
"In post","2023","Food Standards Agency","Male","Undeclared","65","65","39750","38430"
"In post","2023","Food Standards Agency","Male","Unknown","210","200","32640","29430"
"In post","2023","Food Standards Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
