"Status","Year","Age","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","London","Heterosexual / straight","65","65","26290","26400"
"In post","2023","16-19","London","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Unknown","50","45","27970","26840"
"In post","2023","16-19","Outside London","Heterosexual / straight","640","625","23140","22520"
"In post","2023","16-19","Outside London","LGBO","80","75","23390","22520"
"In post","2023","16-19","Outside London","Undeclared","35","35","23430","23230"
"In post","2023","16-19","Outside London","Unknown","530","505","22730","22400"
"In post","2023","16-19","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","35","35","20430","17650"
"In post","2023","20-29","London","Heterosexual / straight","12785","12715","38800","35630"
"In post","2023","20-29","London","LGBO","1890","1880","40460","37410"
"In post","2023","20-29","London","Undeclared","1510","1500","39530","35960"
"In post","2023","20-29","London","Unknown","6510","6470","36820","34410"
"In post","2023","20-29","Outside London","Heterosexual / straight","36835","36210","29050","28120"
"In post","2023","20-29","Outside London","LGBO","5035","4975","28730","28120"
"In post","2023","20-29","Outside London","Undeclared","2610","2570","29170","28120"
"In post","2023","20-29","Outside London","Unknown","17075","16750","27480","25880"
"In post","2023","20-29","Overseas","Heterosexual / straight","215","215","37810","34070"
"In post","2023","20-29","Overseas","LGBO","25","25","[c]","[c]"
"In post","2023","20-29","Overseas","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Overseas","Unknown","90","90","41260","38600"
"In post","2023","20-29","Unknown","Heterosexual / straight","90","90","30640","28120"
"In post","2023","20-29","Unknown","LGBO","10","10","[c]","[c]"
"In post","2023","20-29","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","20-29","Unknown","Unknown","440","440","31700","31710"
"In post","2023","30-39","London","Heterosexual / straight","16650","16155","48170","45230"
"In post","2023","30-39","London","LGBO","1680","1665","49550","48110"
"In post","2023","30-39","London","Undeclared","1910","1865","48770","47460"
"In post","2023","30-39","London","Unknown","4960","4850","46440","43210"
"In post","2023","30-39","Outside London","Heterosexual / straight","60010","56920","34060","31560"
"In post","2023","30-39","Outside London","LGBO","5670","5540","33840","31280"
"In post","2023","30-39","Outside London","Undeclared","5030","4805","34400","32060"
"In post","2023","30-39","Outside London","Unknown","18820","17800","31820","28130"
"In post","2023","30-39","Overseas","Heterosexual / straight","605","605","49700","51450"
"In post","2023","30-39","Overseas","LGBO","80","80","49580","53050"
"In post","2023","30-39","Overseas","Undeclared","35","35","53260","54260"
"In post","2023","30-39","Overseas","Unknown","310","310","50660","53050"
"In post","2023","30-39","Unknown","Heterosexual / straight","110","105","33170","28120"
"In post","2023","30-39","Unknown","LGBO","15","15","[c]","[c]"
"In post","2023","30-39","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2023","30-39","Unknown","Unknown","430","425","41130","40690"
"In post","2023","40-49","London","Heterosexual / straight","15655","14900","50890","45750"
"In post","2023","40-49","London","LGBO","1015","990","55440","55150"
"In post","2023","40-49","London","Undeclared","1840","1755","50330","45590"
"In post","2023","40-49","London","Unknown","3950","3730","48630","43210"
"In post","2023","40-49","Outside London","Heterosexual / straight","66470","62470","36630","32500"
"In post","2023","40-49","Outside London","LGBO","3455","3340","36470","32160"
"In post","2023","40-49","Outside London","Undeclared","7440","6990","35590","32160"
"In post","2023","40-49","Outside London","Unknown","16945","15665","33760","28130"
"In post","2023","40-49","Overseas","Heterosexual / straight","690","685","56630","56790"
"In post","2023","40-49","Overseas","LGBO","40","40","59260","57070"
"In post","2023","40-49","Overseas","Undeclared","35","35","[c]","[c]"
"In post","2023","40-49","Overseas","Unknown","290","290","58770","58570"
"In post","2023","40-49","Unknown","Heterosexual / straight","165","160","39200","32450"
"In post","2023","40-49","Unknown","LGBO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2023","40-49","Unknown","Unknown","365","360","44910","41510"
"In post","2023","50-59","London","Heterosexual / straight","16355","15810","47350","41360"
"In post","2023","50-59","London","LGBO","785","770","51380","45570"
"In post","2023","50-59","London","Undeclared","2615","2520","45700","39790"
"In post","2023","50-59","London","Unknown","4050","3865","45140","38060"
"In post","2023","50-59","Outside London","Heterosexual / straight","81865","76980","35580","30810"
"In post","2023","50-59","Outside London","LGBO","2880","2750","35060","30610"
"In post","2023","50-59","Outside London","Undeclared","11810","11010","34460","29730"
"In post","2023","50-59","Outside London","Unknown","19620","18005","33270","28120"
"In post","2023","50-59","Overseas","Heterosexual / straight","605","600","56030","52110"
"In post","2023","50-59","Overseas","LGBO","25","25","[c]","[c]"
"In post","2023","50-59","Overseas","Undeclared","40","40","58380","56540"
"In post","2023","50-59","Overseas","Unknown","220","220","59230","58460"
"In post","2023","50-59","Unknown","Heterosexual / straight","190","180","38610","34630"
"In post","2023","50-59","Unknown","LGBO","10","10","[c]","[c]"
"In post","2023","50-59","Unknown","Undeclared","45","40","32360","28120"
"In post","2023","50-59","Unknown","Unknown","485","480","46320","42500"
"In post","2023","60-64","London","Heterosexual / straight","4595","4105","42690","35810"
"In post","2023","60-64","London","LGBO","185","170","46310","40020"
"In post","2023","60-64","London","Undeclared","805","700","41330","34370"
"In post","2023","60-64","London","Unknown","1120","990","41710","34370"
"In post","2023","60-64","Outside London","Heterosexual / straight","25040","20660","32100","28120"
"In post","2023","60-64","Outside London","LGBO","650","545","32100","28120"
"In post","2023","60-64","Outside London","Undeclared","3980","3190","31790","28120"
"In post","2023","60-64","Outside London","Unknown","6245","4970","31080","28120"
"In post","2023","60-64","Overseas","Heterosexual / straight","115","115","62350","56100"
"In post","2023","60-64","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Overseas","Undeclared","20","20","[c]","[c]"
"In post","2023","60-64","Overseas","Unknown","20","20","[c]","[c]"
"In post","2023","60-64","Unknown","Heterosexual / straight","60","55","39340","35960"
"In post","2023","60-64","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","60-64","Unknown","Unknown","150","145","45440","41200"
"In post","2023","65+","London","Heterosexual / straight","1790","1490","38670","32510"
"In post","2023","65+","London","LGBO","60","50","39290","32520"
"In post","2023","65+","London","Undeclared","365","290","39230","32520"
"In post","2023","65+","London","Unknown","510","415","39480","32520"
"In post","2023","65+","Outside London","Heterosexual / straight","7525","5755","30680","27740"
"In post","2023","65+","Outside London","LGBO","155","125","29460","28120"
"In post","2023","65+","Outside London","Undeclared","1285","950","31030","27810"
"In post","2023","65+","Outside London","Unknown","2075","1495","30430","27740"
"In post","2023","65+","Overseas","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","65+","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","65+","Overseas","Unknown","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Heterosexual / straight","25","15","[c]","[c]"
"In post","2023","65+","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","30","30","[c]","[c]"
"In post","2023","Unknown","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","London","Unknown","10","10","[c]","[c]"
"In post","2023","Unknown","Outside London","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","Unknown","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Outside London","Unknown","5","5","[c]","[c]"
