"Status","Year","Age","Organisation","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Cumbria","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","East Anglia","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Kent","East Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Lancashire","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","North Eastern Scotland","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","North Yorkshire","York","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Surrey, East and West Sussex","West Surrey","5","5","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","West Wales and The Valleys","South West Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Inner London - East","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Northumberland, and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Eastern Scotland","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Eastern Scotland","Falkirk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Southern Scotland","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","West Central Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","[c]","[c]","[c]","[c]"
