"Status","Year","Ethnicity","Region_london","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","London","AA","Heterosexual / straight","200","175","24180","23500"
"In post","2023","Asian","London","AA","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","London","AA","Undeclared","30","25","[c]","[c]"
"In post","2023","Asian","London","AA","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","London","AO","Heterosexual / straight","1645","1485","26710","26400"
"In post","2023","Asian","London","AO","LGBO","40","35","27050","26010"
"In post","2023","Asian","London","AO","Undeclared","170","145","26040","26150"
"In post","2023","Asian","London","AO","Unknown","230","190","25900","25610"
"In post","2023","Asian","London","EO","Heterosexual / straight","3615","3370","31140","31030"
"In post","2023","Asian","London","EO","LGBO","70","65","31480","31950"
"In post","2023","Asian","London","EO","Undeclared","265","235","31300","31230"
"In post","2023","Asian","London","EO","Unknown","355","315","32020","32520"
"In post","2023","Asian","London","G6","Heterosexual / straight","575","560","71260","69370"
"In post","2023","Asian","London","G6","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","London","G6","Undeclared","25","25","[c]","[c]"
"In post","2023","Asian","London","G6","Unknown","50","50","70980","69310"
"In post","2023","Asian","London","G7","Heterosexual / straight","1805","1760","58540","57270"
"In post","2023","Asian","London","G7","LGBO","75","70","56740","55720"
"In post","2023","Asian","London","G7","Undeclared","100","100","58270","56440"
"In post","2023","Asian","London","G7","Unknown","130","120","59910","60030"
"In post","2023","Asian","London","HEO","Heterosexual / straight","2530","2465","36980","36180"
"In post","2023","Asian","London","HEO","LGBO","75","70","36560","35960"
"In post","2023","Asian","London","HEO","Undeclared","145","140","36920","36310"
"In post","2023","Asian","London","HEO","Unknown","310","305","35800","36780"
"In post","2023","Asian","London","SCS level","Heterosexual / straight","195","190","90880","82910"
"In post","2023","Asian","London","SCS level","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","London","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","London","SCS level","Unknown","25","25","[c]","[c]"
"In post","2023","Asian","London","SEO","Heterosexual / straight","1820","1785","44160","43650"
"In post","2023","Asian","London","SEO","LGBO","60","60","43360","42000"
"In post","2023","Asian","London","SEO","Undeclared","120","120","44170","43210"
"In post","2023","Asian","London","SEO","Unknown","140","135","45110","45170"
"In post","2023","Asian","London","Unknown","Heterosexual / straight","190","180","33830","33050"
"In post","2023","Asian","London","Unknown","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","London","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
