"Status","Year","Age","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","Heterosexual / straight","40","40","25760","25000"
"In post","2023","16-19","Analysis","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","16-19","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Unknown","20","20","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Finance","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","16-19","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Undeclared","[c]","[c]","[c]","[c]"
