"Status","Year","Ethnicity","Profession_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Communications","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","London","Male","10","10","[c]","[c]"
"In post","2023","Asian","Corporate Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","East Midlands (England)","Female","25","20","[c]","[c]"
"In post","2023","Asian","Counter Fraud","East Midlands (England)","Male","25","25","[c]","[c]"
"In post","2023","Asian","Counter Fraud","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","East of England","Female","20","15","[c]","[c]"
"In post","2023","Asian","Counter Fraud","East of England","Male","5","5","[c]","[c]"
"In post","2023","Asian","Counter Fraud","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","London","Female","230","205","31560","32520"
"In post","2023","Asian","Counter Fraud","London","Male","160","155","34270","32520"
"In post","2023","Asian","Counter Fraud","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","North East (England)","Female","10","10","[c]","[c]"
"In post","2023","Asian","Counter Fraud","North East (England)","Male","10","10","[c]","[c]"
"In post","2023","Asian","Counter Fraud","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","North West (England)","Female","20","20","[c]","[c]"
"In post","2023","Asian","Counter Fraud","North West (England)","Male","35","35","29060","28120"
"In post","2023","Asian","Counter Fraud","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Scotland","Male","15","15","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","South East (England)","Female","50","45","29080","28620"
"In post","2023","Asian","Counter Fraud","South East (England)","Male","20","20","[c]","[c]"
"In post","2023","Asian","Counter Fraud","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","South West (England)","Female","10","10","[c]","[c]"
"In post","2023","Asian","Counter Fraud","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","West Midlands (England)","Female","75","70","28920","28120"
"In post","2023","Asian","Counter Fraud","West Midlands (England)","Male","65","65","29030","28120"
"In post","2023","Asian","Counter Fraud","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Yorkshire and The Humber","Female","30","25","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Yorkshire and The Humber","Male","35","35","31280","28120"
"In post","2023","Asian","Counter Fraud","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","East Midlands (England)","Female","10","10","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","East Midlands (England)","Male","20","20","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","East of England","Female","10","10","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","East of England","Male","20","20","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","London","Female","340","330","48920","43770"
"In post","2023","Asian","Digital, Data and Technology","London","Male","510","505","49930","46210"
"In post","2023","Asian","Digital, Data and Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","North East (England)","Female","30","30","41090","39200"
"In post","2023","Asian","Digital, Data and Technology","North East (England)","Male","60","60","45540","44110"
"In post","2023","Asian","Digital, Data and Technology","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","North West (England)","Female","70","70","37790","34990"
"In post","2023","Asian","Digital, Data and Technology","North West (England)","Male","135","135","40660","38470"
"In post","2023","Asian","Digital, Data and Technology","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Scotland","Female","10","10","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Scotland","Male","15","15","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","South East (England)","Female","25","25","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","South East (England)","Male","40","40","42630","37740"
"In post","2023","Asian","Digital, Data and Technology","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","South West (England)","Female","30","30","37820","33430"
"In post","2023","Asian","Digital, Data and Technology","South West (England)","Male","40","40","39490","39460"
"In post","2023","Asian","Digital, Data and Technology","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Wales","Female","20","20","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Wales","Male","40","40","39970","38720"
"In post","2023","Asian","Digital, Data and Technology","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","West Midlands (England)","Female","85","85","40600","38050"
"In post","2023","Asian","Digital, Data and Technology","West Midlands (England)","Male","130","130","41290","38180"
"In post","2023","Asian","Digital, Data and Technology","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Yorkshire and The Humber","Female","50","50","41830","39500"
"In post","2023","Asian","Digital, Data and Technology","Yorkshire and The Humber","Male","100","100","42620","38650"
"In post","2023","Asian","Digital, Data and Technology","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","London","Female","75","75","45830","40860"
"In post","2023","Asian","Economics","London","Male","115","115","48270","43650"
"In post","2023","Asian","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","North West (England)","Male","10","10","[c]","[c]"
"In post","2023","Asian","Economics","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Wales","Female","10","10","[c]","[c]"
"In post","2023","Asian","Economics","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","West Midlands (England)","Female","5","5","[c]","[c]"
"In post","2023","Asian","Economics","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Yorkshire and The Humber","Male","5","5","[c]","[c]"
"In post","2023","Asian","Economics","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","East Midlands (England)","Female","15","15","[c]","[c]"
"In post","2023","Asian","Finance","East Midlands (England)","Male","15","15","[c]","[c]"
"In post","2023","Asian","Finance","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","East of England","Female","10","10","[c]","[c]"
"In post","2023","Asian","Finance","East of England","Male","10","10","[c]","[c]"
"In post","2023","Asian","Finance","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","London","Female","250","240","45270","41780"
"In post","2023","Asian","Finance","London","Male","270","270","47000","43750"
"In post","2023","Asian","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","North East (England)","Female","10","10","[c]","[c]"
"In post","2023","Asian","Finance","North East (England)","Male","5","5","[c]","[c]"
"In post","2023","Asian","Finance","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","North West (England)","Female","20","20","[c]","[c]"
"In post","2023","Asian","Finance","North West (England)","Male","40","40","39190","34170"
"In post","2023","Asian","Finance","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Scotland","Female","10","10","[c]","[c]"
"In post","2023","Asian","Finance","Scotland","Male","5","5","[c]","[c]"
"In post","2023","Asian","Finance","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","South East (England)","Female","25","25","[c]","[c]"
"In post","2023","Asian","Finance","South East (England)","Male","15","15","[c]","[c]"
"In post","2023","Asian","Finance","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","South West (England)","Female","30","25","[c]","[c]"
"In post","2023","Asian","Finance","South West (England)","Male","20","20","[c]","[c]"
"In post","2023","Asian","Finance","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Wales","Female","5","5","[c]","[c]"
"In post","2023","Asian","Finance","Wales","Male","10","10","[c]","[c]"
"In post","2023","Asian","Finance","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","West Midlands (England)","Female","60","60","34300","30330"
"In post","2023","Asian","Finance","West Midlands (England)","Male","60","60","38260","37540"
"In post","2023","Asian","Finance","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Yorkshire and The Humber","Female","25","20","[c]","[c]"
"In post","2023","Asian","Finance","Yorkshire and The Humber","Male","40","40","39550","37560"
"In post","2023","Asian","Finance","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","East Midlands (England)","Female","25","25","[c]","[c]"
"In post","2023","Asian","Human Resources","East Midlands (England)","Male","5","5","[c]","[c]"
"In post","2023","Asian","Human Resources","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","East of England","Female","15","10","[c]","[c]"
"In post","2023","Asian","Human Resources","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","London","Female","285","275","42240","39150"
"In post","2023","Asian","Human Resources","London","Male","105","105","41750","38020"
"In post","2023","Asian","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","North East (England)","Female","5","5","[c]","[c]"
"In post","2023","Asian","Human Resources","North East (England)","Male","5","5","[c]","[c]"
"In post","2023","Asian","Human Resources","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","North West (England)","Female","25","25","[c]","[c]"
"In post","2023","Asian","Human Resources","North West (England)","Male","20","20","[c]","[c]"
"In post","2023","Asian","Human Resources","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Scotland","Female","5","5","[c]","[c]"
"In post","2023","Asian","Human Resources","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","South East (England)","Female","25","25","[c]","[c]"
"In post","2023","Asian","Human Resources","South East (England)","Male","25","25","[c]","[c]"
"In post","2023","Asian","Human Resources","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","South West (England)","Female","10","10","[c]","[c]"
"In post","2023","Asian","Human Resources","South West (England)","Male","5","5","[c]","[c]"
"In post","2023","Asian","Human Resources","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Wales","Female","10","10","[c]","[c]"
"In post","2023","Asian","Human Resources","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","West Midlands (England)","Female","40","35","34550","32660"
"In post","2023","Asian","Human Resources","West Midlands (England)","Male","10","10","[c]","[c]"
"In post","2023","Asian","Human Resources","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Yorkshire and The Humber","Female","30","25","[c]","[c]"
"In post","2023","Asian","Human Resources","Yorkshire and The Humber","Male","10","10","[c]","[c]"
"In post","2023","Asian","Human Resources","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
