"Status","Year","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","SEO/HEO","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","EO","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","EO","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","G6/G7","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Active Travel England","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","G6/G7","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Active Travel England","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","G6/G7","G7","Unknown","5","5","[c]","[c]"
"In post","2023","Active Travel England","SCS level","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","SCS level","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","SEO/HEO","HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Active Travel England","SEO/HEO","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","SEO/HEO","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","SEO/HEO","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Active Travel England","SEO/HEO","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","AA/AO","AO","Heterosexual / straight","30","25","22200","21670"
"In post","2023","Advisory, Conciliation and Arbitration Service","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","AA/AO","AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","AA/AO","AO","Unknown","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","EO","EO","Heterosexual / straight","180","165","26100","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","EO","EO","LGBO","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","EO","EO","Undeclared","20","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","EO","EO","Unknown","80","75","25430","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","G6/G7","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","G6/G7","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","G6/G7","G7","Heterosexual / straight","35","35","57870","57400"
"In post","2023","Advisory, Conciliation and Arbitration Service","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","G6/G7","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","SCS level","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","SCS level","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","SEO/HEO","HEO","Heterosexual / straight","315","280","34000","32630"
"In post","2023","Advisory, Conciliation and Arbitration Service","SEO/HEO","HEO","LGBO","25","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","SEO/HEO","HEO","Undeclared","60","55","35100","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","SEO/HEO","HEO","Unknown","45","45","32930","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","SEO/HEO","SEO","Heterosexual / straight","125","120","43940","43380"
"In post","2023","Advisory, Conciliation and Arbitration Service","SEO/HEO","SEO","LGBO","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","SEO/HEO","SEO","Undeclared","20","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","SEO/HEO","SEO","Unknown","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","AA/AO","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","AA/AO","AO","Heterosexual / straight","655","610","22950","22150"
"In post","2023","Animal and Plant Health Agency","AA/AO","AO","LGBO","75","75","23120","22150"
"In post","2023","Animal and Plant Health Agency","AA/AO","AO","Undeclared","80","75","23020","22150"
"In post","2023","Animal and Plant Health Agency","AA/AO","AO","Unknown","130","120","23000","22150"
"In post","2023","Animal and Plant Health Agency","EO","EO","Heterosexual / straight","620","595","27250","25920"
"In post","2023","Animal and Plant Health Agency","EO","EO","LGBO","65","60","27220","25920"
"In post","2023","Animal and Plant Health Agency","EO","EO","Undeclared","90","85","27470","26250"
"In post","2023","Animal and Plant Health Agency","EO","EO","Unknown","55","50","27050","26850"
"In post","2023","Animal and Plant Health Agency","G6/G7","G6","Heterosexual / straight","50","50","62700","62450"
"In post","2023","Animal and Plant Health Agency","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","G6/G7","G6","Undeclared","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","G6/G7","G6","Unknown","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","G6/G7","G7","Heterosexual / straight","150","145","51810","51250"
"In post","2023","Animal and Plant Health Agency","G6/G7","G7","LGBO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","G6/G7","G7","Undeclared","35","35","53660","54330"
"In post","2023","Animal and Plant Health Agency","G6/G7","G7","Unknown","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","SCS level","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","SEO/HEO","HEO","Heterosexual / straight","400","390","31750","30640"
"In post","2023","Animal and Plant Health Agency","SEO/HEO","HEO","LGBO","30","30","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","SEO/HEO","HEO","Undeclared","60","55","32250","32240"
"In post","2023","Animal and Plant Health Agency","SEO/HEO","HEO","Unknown","30","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","SEO/HEO","SEO","Heterosexual / straight","360","345","39520","38200"
"In post","2023","Animal and Plant Health Agency","SEO/HEO","SEO","LGBO","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","SEO/HEO","SEO","Undeclared","75","70","40410","38660"
"In post","2023","Animal and Plant Health Agency","SEO/HEO","SEO","Unknown","50","45","39760","37710"
"In post","2023","Animal and Plant Health Agency","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Office","AA/AO","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","AA/AO","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","EO","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","EO","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","G6/G7","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","G6/G7","G6","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","G6/G7","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","G6/G7","G7","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","SCS level","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","SEO/HEO","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","SEO/HEO","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","SEO/HEO","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","SEO/HEO","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","SEO/HEO","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","SEO/HEO","SEO","Unknown","5","5","[c]","[c]"
"In post","2023","Building Digital UK","AA/AO","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","EO","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Building Digital UK","EO","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","EO","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","EO","EO","Unknown","5","5","[c]","[c]"
"In post","2023","Building Digital UK","G6/G7","G6","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Building Digital UK","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","G6/G7","G7","Heterosexual / straight","65","65","54090","53030"
"In post","2023","Building Digital UK","G6/G7","G7","LGBO","10","10","[c]","[c]"
"In post","2023","Building Digital UK","G6/G7","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","G6/G7","G7","Unknown","10","10","[c]","[c]"
"In post","2023","Building Digital UK","SCS level","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Building Digital UK","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","SEO/HEO","HEO","Heterosexual / straight","55","55","35160","35620"
"In post","2023","Building Digital UK","SEO/HEO","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","SEO/HEO","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Building Digital UK","SEO/HEO","HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","AA/AO","AO","Heterosexual / straight","290","265","22470","21720"
"In post","2023","Cabinet Office (excl. agencies)","AA/AO","AO","LGBO","30","30","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","AA/AO","AO","Undeclared","25","25","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","AA/AO","AO","Unknown","75","70","22780","21830"
"In post","2023","Cabinet Office (excl. agencies)","EO","EO","Heterosexual / straight","485","460","27150","27430"
"In post","2023","Cabinet Office (excl. agencies)","EO","EO","LGBO","55","55","26090","24860"
"In post","2023","Cabinet Office (excl. agencies)","EO","EO","Undeclared","45","45","27740","28370"
"In post","2023","Cabinet Office (excl. agencies)","EO","EO","Unknown","170","170","27070","27430"
"In post","2023","Cabinet Office (excl. agencies)","G6/G7","G6","Heterosexual / straight","430","420","67120","66530"
"In post","2023","Cabinet Office (excl. agencies)","G6/G7","G6","LGBO","40","40","67300","66530"
"In post","2023","Cabinet Office (excl. agencies)","G6/G7","G6","Undeclared","50","50","67120","66530"
"In post","2023","Cabinet Office (excl. agencies)","G6/G7","G6","Unknown","100","95","67310","66530"
"In post","2023","Cabinet Office (excl. agencies)","G6/G7","G7","Heterosexual / straight","1085","1055","56100","56430"
"In post","2023","Cabinet Office (excl. agencies)","G6/G7","G7","LGBO","150","150","55690","56430"
"In post","2023","Cabinet Office (excl. agencies)","G6/G7","G7","Undeclared","145","145","56260","56430"
"In post","2023","Cabinet Office (excl. agencies)","G6/G7","G7","Unknown","265","260","56580","56430"
"In post","2023","Cabinet Office (excl. agencies)","SCS level","SCS level","Heterosexual / straight","300","290","95350","85000"
"In post","2023","Cabinet Office (excl. agencies)","SCS level","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","SCS level","SCS level","Undeclared","35","30","91910","81790"
"In post","2023","Cabinet Office (excl. agencies)","SCS level","SCS level","Unknown","100","100","100060","89840"
"In post","2023","Cabinet Office (excl. agencies)","SEO/HEO","HEO","Heterosexual / straight","795","775","34680","34320"
"In post","2023","Cabinet Office (excl. agencies)","SEO/HEO","HEO","LGBO","90","90","34480","35240"
"In post","2023","Cabinet Office (excl. agencies)","SEO/HEO","HEO","Undeclared","70","70","34610","34430"
"In post","2023","Cabinet Office (excl. agencies)","SEO/HEO","HEO","Unknown","165","160","35150","35650"
"In post","2023","Cabinet Office (excl. agencies)","SEO/HEO","SEO","Heterosexual / straight","630","615","40940","41740"
"In post","2023","Cabinet Office (excl. agencies)","SEO/HEO","SEO","LGBO","65","65","41140","41870"
"In post","2023","Cabinet Office (excl. agencies)","SEO/HEO","SEO","Undeclared","65","65","41520","41870"
"In post","2023","Cabinet Office (excl. agencies)","SEO/HEO","SEO","Unknown","130","125","41550","41870"
"In post","2023","Central Civil Service Fast Stream","SEO/HEO","HEO","Heterosexual / straight","375","375","32520","32960"
"In post","2023","Central Civil Service Fast Stream","SEO/HEO","HEO","LGBO","70","70","32120","32960"
"In post","2023","Central Civil Service Fast Stream","SEO/HEO","HEO","Undeclared","50","50","32510","32960"
"In post","2023","Central Civil Service Fast Stream","SEO/HEO","HEO","Unknown","1170","1165","29970","30130"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AO","Unknown","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","EO","EO","Heterosexual / straight","55","50","26000","25970"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","EO","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","EO","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","EO","EO","Unknown","80","70","25990","25920"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G6","Unknown","15","15","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G7","Heterosexual / straight","45","45","49970","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G7","Unknown","50","50","50220","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SCS level","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","HEO","Heterosexual / straight","80","75","30540","30350"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","HEO","Unknown","90","85","30530","30350"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","SEO","Heterosexual / straight","65","60","37940","37310"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","SEO","LGBO","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","SEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","SEO","Unknown","80","75","37800","37310"
"In post","2023","Charity Commission","AA/AO","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Charity Commission","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","AA/AO","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","AA/AO","AO","Unknown","15","10","[c]","[c]"
"In post","2023","Charity Commission","EO","EO","Heterosexual / straight","55","50","25670","25300"
"In post","2023","Charity Commission","EO","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Charity Commission","EO","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","EO","EO","Unknown","55","50","25760","25300"
"In post","2023","Charity Commission","G6/G7","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Charity Commission","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","G6/G7","G6","Unknown","10","10","[c]","[c]"
"In post","2023","Charity Commission","G6/G7","G7","Heterosexual / straight","35","30","52900","52240"
"In post","2023","Charity Commission","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","G6/G7","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","G6/G7","G7","Unknown","20","20","[c]","[c]"
"In post","2023","Charity Commission","SCS level","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","SEO/HEO","HEO","Heterosexual / straight","100","95","30360","30170"
"In post","2023","Charity Commission","SEO/HEO","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Charity Commission","SEO/HEO","HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Charity Commission","SEO/HEO","HEO","Unknown","55","50","30720","30170"
"In post","2023","Charity Commission","SEO/HEO","SEO","Heterosexual / straight","70","65","39310","38800"
"In post","2023","Charity Commission","SEO/HEO","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","SEO/HEO","SEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Charity Commission","SEO/HEO","SEO","Unknown","30","30","[c]","[c]"
"In post","2023","Companies House","AA/AO","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","AA/AO","AO","Heterosexual / straight","280","250","22670","23240"
"In post","2023","Companies House","AA/AO","AO","LGBO","20","15","[c]","[c]"
"In post","2023","Companies House","AA/AO","AO","Undeclared","35","30","22770","23240"
"In post","2023","Companies House","AA/AO","AO","Unknown","100","85","22650","23240"
"In post","2023","Companies House","EO","EO","Heterosexual / straight","215","205","27780","26060"
"In post","2023","Companies House","EO","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Companies House","EO","EO","Undeclared","25","25","[c]","[c]"
"In post","2023","Companies House","EO","EO","Unknown","45","40","29810","28070"
"In post","2023","Companies House","G6/G7","G6","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Companies House","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","G6/G7","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","G6/G7","G6","Unknown","5","5","[c]","[c]"
"In post","2023","Companies House","G6/G7","G7","Heterosexual / straight","55","55","54050","50930"
"In post","2023","Companies House","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","G6/G7","G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Companies House","G6/G7","G7","Unknown","5","5","[c]","[c]"
"In post","2023","Companies House","SCS level","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Companies House","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","SEO/HEO","HEO","Heterosexual / straight","155","150","35910","36930"
"In post","2023","Companies House","SEO/HEO","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Companies House","SEO/HEO","HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Companies House","SEO/HEO","HEO","Unknown","25","25","[c]","[c]"
"In post","2023","Companies House","SEO/HEO","SEO","Heterosexual / straight","125","125","44020","42990"
"In post","2023","Companies House","SEO/HEO","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","SEO/HEO","SEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Companies House","SEO/HEO","SEO","Unknown","20","20","[c]","[c]"
"In post","2023","Competition and Markets Authority","AA/AO","AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Competition and Markets Authority","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","AA/AO","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","EO","EO","Heterosexual / straight","50","50","28730","28760"
"In post","2023","Competition and Markets Authority","EO","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","EO","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","G6/G7","G6","Heterosexual / straight","180","170","77080","76720"
"In post","2023","Competition and Markets Authority","G6/G7","G6","LGBO","15","15","[c]","[c]"
"In post","2023","Competition and Markets Authority","G6/G7","G6","Undeclared","25","25","[c]","[c]"
"In post","2023","Competition and Markets Authority","G6/G7","G6","Unknown","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","G6/G7","G7","Heterosexual / straight","190","185","58240","57540"
"In post","2023","Competition and Markets Authority","G6/G7","G7","LGBO","20","20","[c]","[c]"
"In post","2023","Competition and Markets Authority","G6/G7","G7","Undeclared","25","25","[c]","[c]"
"In post","2023","Competition and Markets Authority","G6/G7","G7","Unknown","10","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","SCS level","SCS level","Heterosexual / straight","110","105","108370","102320"
"In post","2023","Competition and Markets Authority","SCS level","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","SCS level","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Competition and Markets Authority","SEO/HEO","HEO","Heterosexual / straight","130","125","35340","34110"
"In post","2023","Competition and Markets Authority","SEO/HEO","HEO","LGBO","15","15","[c]","[c]"
"In post","2023","Competition and Markets Authority","SEO/HEO","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Competition and Markets Authority","SEO/HEO","HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","SEO/HEO","SEO","Heterosexual / straight","55","55","44940","44800"
"In post","2023","Competition and Markets Authority","SEO/HEO","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","SEO/HEO","SEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","AA/AO","AA","Heterosexual / straight","5","5","[c]","[c]"
