"Status","Year","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","AA/AO","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","AA/AO","AA","Unknown","25","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","EO","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","EO","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","EO","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","EO","EO","Unknown","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","G6/G7","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","G6/G7","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SCS level","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SCS level","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SEO/HEO","HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SEO/HEO","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SEO/HEO","HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","SEO/HEO","SEO","Heterosexual / straight","10","10","[c]","[c]"
