"Status","Year","Profession_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","AA/AO","Female","230","210","23650","22500"
"In post","2023","Commercial","AA/AO","Male","180","170","23500","22500"
"In post","2023","Commercial","EO","Female","450","420","28030","27470"
"In post","2023","Commercial","EO","Male","305","300","27850","27400"
"In post","2023","Commercial","G6/G7","Female","1090","1055","62810","60870"
"In post","2023","Commercial","G6/G7","Male","1180","1165","65110","65500"
"In post","2023","Commercial","SCS level","Female","115","110","107840","100640"
"In post","2023","Commercial","SCS level","Male","180","175","118820","117870"
"In post","2023","Commercial","SEO/HEO","Female","2105","2015","38220","38210"
"In post","2023","Commercial","SEO/HEO","Male","1560","1535","38980","38470"
"In post","2023","Commercial","Unknown","Female","100","95","39710","41780"
"In post","2023","Commercial","Unknown","Male","95","90","45860","43360"
"In post","2023","Communications","AA/AO","Female","105","95","22910","22360"
"In post","2023","Communications","AA/AO","Male","70","70","23430","22490"
"In post","2023","Communications","EO","Female","300","280","28490","28030"
"In post","2023","Communications","EO","Male","215","205","28660","28250"
"In post","2023","Communications","G6/G7","Female","660","635","59770","58200"
"In post","2023","Communications","G6/G7","Male","395","395","60150","58180"
"In post","2023","Communications","SCS level","Female","50","50","86700","81600"
"In post","2023","Communications","SCS level","Male","55","55","91050","85000"
"In post","2023","Communications","SEO/HEO","Female","1355","1285","39070","39430"
"In post","2023","Communications","SEO/HEO","Male","880","870","39500","39690"
"In post","2023","Communications","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Communications","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Corporate Finance","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","EO","Female","5","5","[c]","[c]"
"In post","2023","Corporate Finance","EO","Male","5","5","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","Female","15","15","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","Male","20","20","[c]","[c]"
"In post","2023","Corporate Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","SCS level","Male","5","5","[c]","[c]"
