"Status","Year","Ethnicity","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Heterosexual / straight","675","660","43540","39450"
"In post","2023","Asian","Analysis","LGBO","30","30","42250","39150"
"In post","2023","Asian","Analysis","Undeclared","40","35","45760","42470"
"In post","2023","Asian","Analysis","Unknown","50","50","39780","38910"
"In post","2023","Asian","Commercial","Heterosexual / straight","340","335","46240","39150"
"In post","2023","Asian","Commercial","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Undeclared","20","20","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","50","50","53590","48000"
"In post","2023","Asian","Communications","Heterosexual / straight","155","155","41200","39150"
"In post","2023","Asian","Communications","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Heterosexual / straight","1185","1125","32850","32520"
"In post","2023","Asian","Counter Fraud","LGBO","20","20","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Undeclared","60","55","32630","31940"
"In post","2023","Asian","Counter Fraud","Unknown","210","190","32080","32520"
"In post","2023","Asian","Debt","Heterosexual / straight","845","760","23870","22520"
"In post","2023","Asian","Debt","LGBO","30","25","[c]","[c]"
"In post","2023","Asian","Debt","Undeclared","55","45","24350","22520"
"In post","2023","Asian","Debt","Unknown","170","145","24850","22520"
"In post","2023","Asian","Digital, Data & Technology","Heterosexual / straight","1670","1650","44100","41200"
"In post","2023","Asian","Digital, Data & Technology","LGBO","55","55","42840","41240"
"In post","2023","Asian","Digital, Data & Technology","Undeclared","100","100","43090","41830"
"In post","2023","Asian","Digital, Data & Technology","Unknown","135","130","41790","36990"
"In post","2023","Asian","Finance","Heterosexual / straight","1010","980","41580","38470"
"In post","2023","Asian","Finance","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","Finance","Undeclared","65","60","38550","38470"
"In post","2023","Asian","Finance","Unknown","100","95","36220","34170"
"In post","2023","Asian","Grants Management","Heterosexual / straight","55","50","26050","22150"
"In post","2023","Asian","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Heterosexual / straight","700","675","38310","35280"
"In post","2023","Asian","Human Resources","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","Human Resources","Undeclared","30","30","36300","34300"
"In post","2023","Asian","Human Resources","Unknown","35","35","38490","35410"
"In post","2023","Asian","Internal Audit","Heterosexual / straight","90","85","47420","44330"
"In post","2023","Asian","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Internal Audit","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Legal","Heterosexual / straight","1185","1125","44440","45230"
"In post","2023","Asian","Legal","LGBO","35","35","47110","52020"
"In post","2023","Asian","Legal","Undeclared","40","40","42990","35990"
"In post","2023","Asian","Legal","Unknown","150","130","43490","41070"
"In post","2023","Asian","No function","Heterosexual / straight","19325","18030","32740","29660"
"In post","2023","Asian","No function","LGBO","455","425","34240","29330"
"In post","2023","Asian","No function","Undeclared","1300","1170","31370","28120"
"In post","2023","Asian","No function","Unknown","1820","1600","31830","28120"
"In post","2023","Asian","Project Delivery","Heterosexual / straight","1210","1180","44790","41200"
"In post","2023","Asian","Project Delivery","LGBO","30","30","37690","34840"
"In post","2023","Asian","Project Delivery","Undeclared","50","50","43520","41200"
"In post","2023","Asian","Project Delivery","Unknown","160","150","45470","41840"
"In post","2023","Asian","Property","Heterosexual / straight","335","320","37960","34240"
"In post","2023","Asian","Property","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","Property","Undeclared","25","25","[c]","[c]"
"In post","2023","Asian","Property","Unknown","50","45","32590","31900"
"In post","2023","Asian","Security","Heterosexual / straight","335","325","35010","31660"
"In post","2023","Asian","Security","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Security","Undeclared","25","25","[c]","[c]"
"In post","2023","Asian","Security","Unknown","25","20","[c]","[c]"
"In post","2023","Asian","Unknown","Heterosexual / straight","580","560","39450","37710"
"In post","2023","Asian","Unknown","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2023","Asian","Unknown","Unknown","115","110","33470","30130"
"In post","2023","Black","Analysis","Heterosexual / straight","215","210","39920","37760"
"In post","2023","Black","Analysis","LGBO","10","10","[c]","[c]"
"In post","2023","Black","Analysis","Undeclared","10","10","[c]","[c]"
"In post","2023","Black","Analysis","Unknown","25","25","[c]","[c]"
"In post","2023","Black","Commercial","Heterosexual / straight","175","170","43270","40260"
"In post","2023","Black","Commercial","LGBO","5","5","[c]","[c]"
"In post","2023","Black","Commercial","Undeclared","10","10","[c]","[c]"
"In post","2023","Black","Commercial","Unknown","30","30","[c]","[c]"
"In post","2023","Black","Communications","Heterosexual / straight","85","85","41000","36880"
"In post","2023","Black","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","Undeclared","10","10","[c]","[c]"
"In post","2023","Black","Communications","Unknown","10","10","[c]","[c]"
"In post","2023","Black","Counter Fraud","Heterosexual / straight","560","535","32660","32520"
"In post","2023","Black","Counter Fraud","LGBO","15","15","[c]","[c]"
"In post","2023","Black","Counter Fraud","Undeclared","40","35","31610","28580"
"In post","2023","Black","Counter Fraud","Unknown","80","75","32740","32520"
"In post","2023","Black","Debt","Heterosexual / straight","210","195","25270","22520"
"In post","2023","Black","Debt","LGBO","10","10","[c]","[c]"
"In post","2023","Black","Debt","Undeclared","10","10","[c]","[c]"
"In post","2023","Black","Debt","Unknown","50","45","28060","26920"
"In post","2023","Black","Digital, Data & Technology","Heterosexual / straight","780","775","41650","39450"
"In post","2023","Black","Digital, Data & Technology","LGBO","10","10","[c]","[c]"
"In post","2023","Black","Digital, Data & Technology","Undeclared","35","35","43600","39020"
"In post","2023","Black","Digital, Data & Technology","Unknown","60","60","38610","37490"
"In post","2023","Black","Finance","Heterosexual / straight","425","420","41650","39150"
"In post","2023","Black","Finance","LGBO","10","10","[c]","[c]"
"In post","2023","Black","Finance","Undeclared","20","15","[c]","[c]"
"In post","2023","Black","Finance","Unknown","25","20","[c]","[c]"
"In post","2023","Black","Grants Management","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Black","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Human Resources","Heterosexual / straight","385","375","39790","36310"
"In post","2023","Black","Human Resources","LGBO","5","5","[c]","[c]"
"In post","2023","Black","Human Resources","Undeclared","20","20","[c]","[c]"
"In post","2023","Black","Human Resources","Unknown","15","15","[c]","[c]"
"In post","2023","Black","Internal Audit","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Black","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Legal","Heterosexual / straight","585","570","41760","35000"
"In post","2023","Black","Legal","LGBO","15","15","[c]","[c]"
"In post","2023","Black","Legal","Undeclared","20","20","[c]","[c]"
"In post","2023","Black","Legal","Unknown","75","65","45380","44030"
"In post","2023","Black","No function","Heterosexual / straight","10280","9830","33090","31240"
"In post","2023","Black","No function","LGBO","245","240","33700","31280"
"In post","2023","Black","No function","Undeclared","550","515","32080","30560"
"In post","2023","Black","No function","Unknown","805","735","32660","32520"
"In post","2023","Black","Project Delivery","Heterosexual / straight","625","615","44080","41150"
"In post","2023","Black","Project Delivery","LGBO","15","15","[c]","[c]"
"In post","2023","Black","Project Delivery","Undeclared","25","25","[c]","[c]"
"In post","2023","Black","Project Delivery","Unknown","60","60","42670","39450"
"In post","2023","Black","Property","Heterosexual / straight","150","145","38400","35590"
"In post","2023","Black","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Property","Undeclared","15","15","[c]","[c]"
"In post","2023","Black","Property","Unknown","20","15","[c]","[c]"
"In post","2023","Black","Security","Heterosexual / straight","155","155","35520","31910"
"In post","2023","Black","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Security","Undeclared","5","5","[c]","[c]"
"In post","2023","Black","Security","Unknown","10","10","[c]","[c]"
"In post","2023","Black","Unknown","Heterosexual / straight","185","185","38590","35020"
"In post","2023","Black","Unknown","LGBO","5","5","[c]","[c]"
"In post","2023","Black","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2023","Black","Unknown","Unknown","35","35","36360","31430"
"In post","2023","Mixed","Analysis","Heterosexual / straight","205","200","44460","41470"
"In post","2023","Mixed","Analysis","LGBO","30","30","[c]","[c]"
"In post","2023","Mixed","Analysis","Undeclared","10","10","[c]","[c]"
"In post","2023","Mixed","Analysis","Unknown","15","15","[c]","[c]"
"In post","2023","Mixed","Commercial","Heterosexual / straight","110","110","46890","41200"
"In post","2023","Mixed","Commercial","LGBO","15","15","[c]","[c]"
"In post","2023","Mixed","Commercial","Undeclared","5","5","[c]","[c]"
"In post","2023","Mixed","Commercial","Unknown","20","20","[c]","[c]"
"In post","2023","Mixed","Communications","Heterosexual / straight","95","90","44930","40540"
"In post","2023","Mixed","Communications","LGBO","10","10","[c]","[c]"
"In post","2023","Mixed","Communications","Undeclared","10","10","[c]","[c]"
"In post","2023","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Counter Fraud","Heterosexual / straight","230","220","34270","32260"
"In post","2023","Mixed","Counter Fraud","LGBO","25","25","[c]","[c]"
"In post","2023","Mixed","Counter Fraud","Undeclared","35","30","34970","32540"
