"Status","Year","Profession_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","AA","Female","5","5","[c]","[c]"
"In post","2023","Commercial","AA","Male","20","20","[c]","[c]"
"In post","2023","Commercial","AO","Female","225","200","23700","22500"
"In post","2023","Commercial","AO","Male","155","150","23770","22500"
"In post","2023","Commercial","EO","Female","450","420","28030","27470"
"In post","2023","Commercial","EO","Male","305","300","27850","27400"
"In post","2023","Commercial","G6","Female","325","315","73490","71390"
"In post","2023","Commercial","G6","Male","385","380","75450","71940"
"In post","2023","Commercial","G7","Female","770","740","58320","56000"
"In post","2023","Commercial","G7","Male","795","785","60090","56430"
"In post","2023","Commercial","HEO","Female","955","910","33720","33990"
"In post","2023","Commercial","HEO","Male","660","650","33930","33990"
"In post","2023","Commercial","SCS level","Female","115","110","107840","100640"
"In post","2023","Commercial","SCS level","Male","180","175","118820","117870"
"In post","2023","Commercial","SEO","Female","1150","1105","41970","41800"
"In post","2023","Commercial","SEO","Male","895","880","42710","42510"
"In post","2023","Commercial","Unknown","Female","100","95","39710","41780"
"In post","2023","Commercial","Unknown","Male","95","90","45860","43360"
"In post","2023","Communications","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","AO","Female","100","95","22940","22430"
"In post","2023","Communications","AO","Male","65","65","23570","22500"
"In post","2023","Communications","EO","Female","300","280","28490","28030"
"In post","2023","Communications","EO","Male","215","205","28660","28250"
"In post","2023","Communications","G6","Female","170","160","68770","68000"
"In post","2023","Communications","G6","Male","115","110","70220","70500"
"In post","2023","Communications","G7","Female","490","470","56660","56370"
"In post","2023","Communications","G7","Male","285","285","56140","55740"
"In post","2023","Communications","HEO","Female","655","625","35180","34700"
"In post","2023","Communications","HEO","Male","435","425","35590","35000"
"In post","2023","Communications","SCS level","Female","50","50","86700","81600"
"In post","2023","Communications","SCS level","Male","55","55","91050","85000"
"In post","2023","Communications","SEO","Female","695","660","42740","42160"
"In post","2023","Communications","SEO","Male","445","445","43300","43060"
"In post","2023","Communications","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Communications","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Corporate Finance","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","EO","Female","5","5","[c]","[c]"
"In post","2023","Corporate Finance","EO","Male","5","5","[c]","[c]"
"In post","2023","Corporate Finance","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","G6","Male","10","10","[c]","[c]"
"In post","2023","Corporate Finance","G7","Female","10","10","[c]","[c]"
"In post","2023","Corporate Finance","G7","Male","10","10","[c]","[c]"
"In post","2023","Corporate Finance","HEO","Female","10","10","[c]","[c]"
"In post","2023","Corporate Finance","HEO","Male","10","10","[c]","[c]"
"In post","2023","Corporate Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Corporate Finance","SEO","Female","15","15","[c]","[c]"
"In post","2023","Corporate Finance","SEO","Male","10","5","[c]","[c]"
"In post","2023","Counter Fraud","AA","Female","10","10","[c]","[c]"
"In post","2023","Counter Fraud","AA","Male","10","10","[c]","[c]"
"In post","2023","Counter Fraud","AO","Female","1035","850","23180","21690"
"In post","2023","Counter Fraud","AO","Male","565","540","23090","21690"
"In post","2023","Counter Fraud","EO","Female","2885","2600","28950","28120"
"In post","2023","Counter Fraud","EO","Male","2025","1910","29050","28120"
"In post","2023","Counter Fraud","G6","Female","35","30","71610","71300"
"In post","2023","Counter Fraud","G6","Male","70","70","71980","71300"
"In post","2023","Counter Fraud","G7","Female","85","80","57340","57970"
"In post","2023","Counter Fraud","G7","Male","150","145","58510","57970"
"In post","2023","Counter Fraud","HEO","Female","1050","990","35640","34700"
"In post","2023","Counter Fraud","HEO","Male","1005","975","36000","34970"
"In post","2023","Counter Fraud","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Counter Fraud","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Counter Fraud","SEO","Female","275","265","41980","42140"
"In post","2023","Counter Fraud","SEO","Male","370","350","43010","42510"
"In post","2023","Digital, Data and Technology","AA","Female","5","5","[c]","[c]"
"In post","2023","Digital, Data and Technology","AA","Male","25","25","[c]","[c]"
"In post","2023","Digital, Data and Technology","AO","Female","205","190","23380","22500"
"In post","2023","Digital, Data and Technology","AO","Male","345","340","23190","22370"
"In post","2023","Digital, Data and Technology","EO","Female","1170","1080","28430","28120"
"In post","2023","Digital, Data and Technology","EO","Male","2190","2125","28800","28120"
"In post","2023","Digital, Data and Technology","G6","Female","595","580","68680","67160"
"In post","2023","Digital, Data and Technology","G6","Male","1175","1165","70650","69840"
"In post","2023","Digital, Data and Technology","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","G7","Female","1920","1850","55460","55140"
"In post","2023","Digital, Data and Technology","G7","Male","3585","3545","57000","56430"
"In post","2023","Digital, Data and Technology","HEO","Female","1990","1895","34530","34170"
"In post","2023","Digital, Data and Technology","HEO","Male","3485","3430","35050","34400"
"In post","2023","Digital, Data and Technology","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","SCS level","Female","135","130","91860","85000"
"In post","2023","Digital, Data and Technology","SCS level","Male","255","255","97510","92510"
"In post","2023","Digital, Data and Technology","SEO","Female","2100","2025","41660","41560"
"In post","2023","Digital, Data and Technology","SEO","Male","3905","3855","42910","42140"
"In post","2023","Digital, Data and Technology","Unknown","Female","20","15","[c]","[c]"
"In post","2023","Digital, Data and Technology","Unknown","Male","55","55","37920","38790"
"In post","2023","Economics","AO","Female","30","30","[c]","[c]"
"In post","2023","Economics","AO","Male","35","35","22730","21820"
"In post","2023","Economics","EO","Female","90","90","28110","28720"
"In post","2023","Economics","EO","Male","90","90","27610","27890"
"In post","2023","Economics","G6","Female","95","85","71520","69940"
"In post","2023","Economics","G6","Male","150","150","71940","70790"
"In post","2023","Economics","G7","Female","235","220","57230","56410"
"In post","2023","Economics","G7","Male","440","435","58090","56340"
"In post","2023","Economics","HEO","Female","210","210","35400","35000"
"In post","2023","Economics","HEO","Male","420","420","35300","35010"
"In post","2023","Economics","SCS level","Female","45","40","88740","85550"
"In post","2023","Economics","SCS level","Male","65","65","92010","81900"
"In post","2023","Economics","SEO","Female","105","105","42820","42810"
"In post","2023","Economics","SEO","Male","145","145","43320","43610"
"In post","2023","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Finance","AA","Female","20","15","[c]","[c]"
"In post","2023","Finance","AA","Male","15","15","[c]","[c]"
"In post","2023","Finance","AO","Female","645","565","23260","22520"
"In post","2023","Finance","AO","Male","385","370","23250","22520"
"In post","2023","Finance","EO","Female","1000","930","28290","27590"
"In post","2023","Finance","EO","Male","610","605","28350","28120"
"In post","2023","Finance","G6","Female","370","355","69210","69370"
"In post","2023","Finance","G6","Male","410","405","70370","70840"
"In post","2023","Finance","G7","Female","930","895","56010","55780"
"In post","2023","Finance","G7","Male","900","885","56700","56380"
"In post","2023","Finance","HEO","Female","1250","1180","34710","34300"
"In post","2023","Finance","HEO","Male","955","940","35040","34300"
"In post","2023","Finance","SCS level","Female","145","135","89840","83370"
"In post","2023","Finance","SCS level","Male","180","175","95450","86280"
"In post","2023","Finance","SEO","Female","1205","1150","42840","42140"
"In post","2023","Finance","SEO","Male","1135","1110","43190","42510"
"In post","2023","Finance","Unknown","Female","25","25","[c]","[c]"
"In post","2023","Finance","Unknown","Male","35","35","56160","49410"
"In post","2023","Geography","AO","Female","10","10","[c]","[c]"
"In post","2023","Geography","AO","Male","25","25","[c]","[c]"
"In post","2023","Geography","EO","Female","70","65","28080","27610"
"In post","2023","Geography","EO","Male","115","110","28540","27610"
"In post","2023","Geography","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Geography","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Geography","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Geography","G7","Male","5","5","[c]","[c]"
"In post","2023","Geography","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Geography","HEO","Female","60","50","34710","34370"
"In post","2023","Geography","HEO","Male","125","120","34880","34370"
"In post","2023","Geography","SEO","Female","20","20","[c]","[c]"
"In post","2023","Geography","SEO","Male","40","40","44070","43890"
"In post","2023","Human Resources","AA","Female","55","50","21360","21380"
"In post","2023","Human Resources","AA","Male","25","20","[c]","[c]"
"In post","2023","Human Resources","AO","Female","850","770","22850","22220"
"In post","2023","Human Resources","AO","Male","350","340","22870","22220"
"In post","2023","Human Resources","EO","Female","1505","1410","28050","27470"
"In post","2023","Human Resources","EO","Male","1355","1330","29330","28130"
"In post","2023","Human Resources","G6","Female","485","470","68270","67780"
"In post","2023","Human Resources","G6","Male","230","225","69480","69180"
"In post","2023","Human Resources","G7","Female","1300","1250","55480","55330"
"In post","2023","Human Resources","G7","Male","575","570","56290","55900"
"In post","2023","Human Resources","HEO","Female","2275","2160","35480","34300"
"In post","2023","Human Resources","HEO","Male","1275","1250","36270","34450"
"In post","2023","Human Resources","SCS level","Female","170","165","90400","82400"
"In post","2023","Human Resources","SCS level","Male","90","85","89890","83610"
"In post","2023","Human Resources","SEO","Female","1560","1485","42020","41510"
"In post","2023","Human Resources","SEO","Male","820","805","43170","41840"
"In post","2023","Human Resources","Unknown","Female","55","50","38550","38290"
"In post","2023","Human Resources","Unknown","Male","35","35","37280","30590"
"In post","2023","Inspector of Education and Training","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","G6","Female","105","105","83680","87570"
"In post","2023","Inspector of Education and Training","G6","Male","85","85","82990","82390"
"In post","2023","Inspector of Education and Training","G7","Female","285","280","74180","77470"
"In post","2023","Inspector of Education and Training","G7","Male","150","150","76190","77470"
"In post","2023","Inspector of Education and Training","HEO","Female","20","20","[c]","[c]"
"In post","2023","Inspector of Education and Training","HEO","Male","5","5","[c]","[c]"
"In post","2023","Inspector of Education and Training","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Inspector of Education and Training","SEO","Female","380","370","51760","52750"
"In post","2023","Inspector of Education and Training","SEO","Male","50","50","51380","52750"
"In post","2023","Intelligence Analysis","AO","Female","60","50","24790","25060"
"In post","2023","Intelligence Analysis","AO","Male","30","30","24090","23580"
"In post","2023","Intelligence Analysis","EO","Female","840","780","28440","28480"
"In post","2023","Intelligence Analysis","EO","Male","775","745","28610","27650"
"In post","2023","Intelligence Analysis","G6","Female","20","20","[c]","[c]"
"In post","2023","Intelligence Analysis","G6","Male","30","30","72070","71410"
"In post","2023","Intelligence Analysis","G7","Female","55","50","59250","58970"
"In post","2023","Intelligence Analysis","G7","Male","135","135","58930","59290"
"In post","2023","Intelligence Analysis","HEO","Female","335","320","35050","34700"
"In post","2023","Intelligence Analysis","HEO","Male","475","465","35560","35000"
"In post","2023","Intelligence Analysis","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Intelligence Analysis","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Intelligence Analysis","SEO","Female","150","150","43110","42700"
"In post","2023","Intelligence Analysis","SEO","Male","300","295","44560","44450"
"In post","2023","Intelligence Analysis","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Intelligence Analysis","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Internal Audit","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","AO","Female","10","10","[c]","[c]"
"In post","2023","Internal Audit","AO","Male","10","10","[c]","[c]"
"In post","2023","Internal Audit","EO","Female","25","25","[c]","[c]"
"In post","2023","Internal Audit","EO","Male","15","15","[c]","[c]"
"In post","2023","Internal Audit","G6","Female","35","35","68470","66390"
"In post","2023","Internal Audit","G6","Male","45","45","66360","64280"
"In post","2023","Internal Audit","G7","Female","65","60","54200","54290"
"In post","2023","Internal Audit","G7","Male","80","75","55590","55110"
"In post","2023","Internal Audit","HEO","Female","100","95","34940","34300"
"In post","2023","Internal Audit","HEO","Male","65","65","35760","35000"
"In post","2023","Internal Audit","SCS level","Female","10","10","[c]","[c]"
