"Status","Year","Profession_of_post","Region_ITL1","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","East Midlands (England)","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicester","Outside London","10","10","32970","30070"
"In post","2023","Commercial","East Midlands (England)","Leicestershire CC and Rutland","Outside London","10","10","49890","46310"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire CC","Outside London","15","15","40270","38460"
"In post","2023","Commercial","East Midlands (England)","North Northamptonshire","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","North Nottinghamshire","Outside London","10","10","48880","48660"
"In post","2023","Commercial","East Midlands (England)","Nottingham","Outside London","50","50","47950","42210"
"In post","2023","Commercial","East Midlands (England)","South Nottinghamshire","Outside London","10","10","41500","38610"
"In post","2023","Commercial","East Midlands (England)","South and West Derbyshire","Outside London","25","25","53750","55290"
"In post","2023","Commercial","East Midlands (England)","West Northamptonshire","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Cambridgeshire CC","Outside London","65","60","41000","38460"
"In post","2023","Commercial","East of England","Central Bedfordshire","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Hertfordshire CC","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","Luton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","North and West Norfolk","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","Norwich and East Norfolk","Outside London","90","85","44480","40570"
"In post","2023","Commercial","East of England","Peterborough","Outside London","50","50","52010","46860"
"In post","2023","Commercial","East of England","Suffolk CC","Outside London","25","25","46320","46110"
"In post","2023","Commercial","East of England","West Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Barking & Dagenham and Havering","London","[c]","[c]","[c]","[c]"
