"Status","Year","Function_of_post","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Heterosexual / straight","35","35","33140","32960"
"In post","2023","Analysis","Central Civil Service Fast Stream","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Unknown","65","65","29740","28840"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","200","190","36370","30820"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","LGBO","20","20","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","30","25","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Unknown","255","245","35690","30820"
"In post","2023","Analysis","Charity Commission","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Heterosexual / straight","110","105","63370","57540"
"In post","2023","Analysis","Competition and Markets Authority","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Undeclared","20","20","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Heterosexual / straight","700","670","45440","49260"
"In post","2023","Analysis","Defence Science and Technology Laboratory","LGBO","60","60","36480","39890"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Unknown","275","270","44300","49260"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","150","150","43090","36340"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Heterosexual / straight","100","100","51070","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","LGBO","10","10","[c]","[c]"
