"Status","Year","Age","Disability","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Asian","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
