"Status","Year","Organisation","Region_ITL2","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","Heterosexual / straight","75","65","36360","33520"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","Unknown","45","45","29280","24890"
"In post","2023","Accountant in Bankruptcy","West Central Scotland","Glasgow City","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","West Central Scotland","Glasgow City","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Inner London - West","Westminster","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Active Travel England","Inner London - West","Westminster","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","York","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","York","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","York","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","York","Unknown","10","5","[c]","[c]"
"In post","2023","Active Travel England","Surrey, East and West Sussex","East Sussex CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Surrey, East and West Sussex","East Sussex CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Surrey, East and West Sussex","East Sussex CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Wales and The Valleys","Swansea","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Wales and The Valleys","Swansea","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","Leeds","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","Leeds","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","Leeds","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","Leeds","Unknown","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
