"Status","Year","Ethnicity","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","Heterosexual / straight","30","30","44940","41120"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","Heterosexual / straight","50","50","30390","28610"
"In post","2023","Asian","Angus and Dundee City","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Armagh City, Banbridge and Craigavon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Armagh City, Banbridge and Craigavon","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Armagh City, Banbridge and Craigavon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Armagh City, Banbridge and Craigavon","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Barking & Dagenham and Havering","Heterosexual / straight","140","125","32810","32520"
"In post","2023","Asian","Barking & Dagenham and Havering","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Barking & Dagenham and Havering","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Barking & Dagenham and Havering","Unknown","25","20","[c]","[c]"
