"Status","Year","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","180","175","46040","43650"
"In post","2023","Analysis","Economics","1805","1770","48540","44170"
"In post","2023","Analysis","Finance","35","35","42880","39520"
"In post","2023","Analysis","Human Resources","10","10","57460","55750"
"In post","2023","Analysis","Intelligence Analysis","125","125","42070","39890"
"In post","2023","Analysis","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","60","55","43460","38470"
"In post","2023","Analysis","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","765","725","34830","31830"
"In post","2023","Analysis","Operational Research","795","765","45790","43650"
"In post","2023","Analysis","Other","590","565","51220","42370"
"In post","2023","Analysis","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","255","245","48610","43760"
"In post","2023","Analysis","Project Delivery","20","20","41080","38470"
"In post","2023","Analysis","Science and Engineering","1340","1290","41990","39890"
"In post","2023","Analysis","Social Research","1430","1370","44830","41440"
"In post","2023","Analysis","Statistics","2725","2630","44960","41510"
"In post","2023","Analysis","Tax","10","10","44220","45050"
"In post","2023","Analysis","Unknown","170","170","47760","43650"
"In post","2023","Commercial","Commercial","6265","6085","48020","42500"
"In post","2023","Commercial","Communications","5","5","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","20","20","48150","48950"
"In post","2023","Commercial","Economics","5","5","[c]","[c]"
"In post","2023","Commercial","Finance","25","20","44900","41410"
"In post","2023","Commercial","Human Resources","50","50","50310","53860"
"In post","2023","Commercial","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","365","360","46900","42510"
"In post","2023","Commercial","Other","175","165","40870","38300"
"In post","2023","Commercial","Policy","60","55","50500","51580"
"In post","2023","Commercial","Project Delivery","80","75","39890","34970"
"In post","2023","Commercial","Property","5","5","[c]","[c]"
"In post","2023","Commercial","Science and Engineering","20","20","33040","30320"
"In post","2023","Commercial","Security","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Statistics","5","5","[c]","[c]"
"In post","2023","Commercial","Tax","10","10","37960","38430"
"In post","2023","Commercial","Unknown","170","165","55110","55100"
"In post","2023","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Communications","3650","3525","43860","40880"
"In post","2023","Communications","Digital, Data and Technology","25","25","46900","41870"
"In post","2023","Communications","Finance","15","10","34670","34170"
"In post","2023","Communications","Human Resources","20","20","40450","38470"
"In post","2023","Communications","Knowledge and Information Management","90","90","42480","39730"
"In post","2023","Communications","Operational Delivery","100","90","45320","37370"
"In post","2023","Communications","Other","40","40","41450","37910"
"In post","2023","Communications","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Policy","20","20","62640","64400"
"In post","2023","Communications","Project Delivery","15","15","40500","39380"
"In post","2023","Communications","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","175","170","51820","43780"
"In post","2023","Counter Fraud","Commercial","15","15","51970","53530"
"In post","2023","Counter Fraud","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Counter Fraud","9335","8605","31730","28120"
"In post","2023","Counter Fraud","Digital, Data and Technology","30","25","49650","51290"
"In post","2023","Counter Fraud","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Finance","15","15","47900","42570"
"In post","2023","Counter Fraud","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Intelligence Analysis","230","225","40810","39450"
"In post","2023","Counter Fraud","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Knowledge and Information Management","35","35","46700","42510"
"In post","2023","Counter Fraud","Legal","1980","1885","35140","34400"
"In post","2023","Counter Fraud","Operational Delivery","3205","2965","33570","32520"
"In post","2023","Counter Fraud","Operational Research","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Other","280","255","45040","42140"
"In post","2023","Counter Fraud","Policy","15","10","45070","38050"
"In post","2023","Counter Fraud","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Security","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Tax","1715","1610","42680","36990"
"In post","2023","Counter Fraud","Unknown","270","265","36880","34550"
"In post","2023","Debt","Operational Delivery","4415","4025","25610","22520"
"In post","2023","Debt","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Other","2615","2260","23260","21690"
"In post","2023","Debt","Policy","10","10","42010","38470"
"In post","2023","Debt","Tax","650","620","23960","22520"
"In post","2023","Debt","Unknown","65","60","27290","27650"
"In post","2023","Digital, Data & Technology","Commercial","25","25","48280","45810"
"In post","2023","Digital, Data & Technology","Communications","15","15","40830","38220"
"In post","2023","Digital, Data & Technology","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Digital, Data and Technology","21570","21020","44110","41000"
"In post","2023","Digital, Data & Technology","Economics","10","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Finance","110","100","38870","36880"
"In post","2023","Digital, Data & Technology","Geography","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Human Resources","75","75","44190","39190"
"In post","2023","Digital, Data & Technology","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Knowledge and Information Management","1050","1020","33400","30210"
"In post","2023","Digital, Data & Technology","Operational Delivery","1070","1025","38310","37420"
"In post","2023","Digital, Data & Technology","Operational Research","25","25","53460","57420"
"In post","2023","Digital, Data & Technology","Other","290","280","36260","36180"
"In post","2023","Digital, Data & Technology","Policy","75","75","54090","56430"
"In post","2023","Digital, Data & Technology","Project Delivery","280","270","41350","38940"
"In post","2023","Digital, Data & Technology","Property","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Science and Engineering","560","525","41370","39750"
"In post","2023","Digital, Data & Technology","Security","50","50","47380","50160"
"In post","2023","Digital, Data & Technology","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Statistics","25","25","43880","43370"
"In post","2023","Digital, Data & Technology","Tax","100","100","40780","35000"
"In post","2023","Digital, Data & Technology","Unknown","1015","1000","48340","43000"
