"Status","Year","Age","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Bedfordshire and Hertfordshire","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","20","20","24070","23230"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","30","30","22620","22750"
"In post","2023","16-19","Cheshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cumbria","AA/AO","10","10","23560","22150"
"In post","2023","16-19","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","AA/AO","40","40","24240","22700"
"In post","2023","16-19","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Devon","AA/AO","25","25","22020","20660"
"In post","2023","16-19","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Devon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Devon","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Dorset and Somerset","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","East Anglia","AA/AO","45","40","24120","23230"
"In post","2023","16-19","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Wales","AA/AO","55","55","22020","22520"
"In post","2023","16-19","East Wales","EO","5","5","[c]","[c]"
"In post","2023","16-19","East Yorkshire and Northern Lincolnshire","AA/AO","15","15","25960","26140"
"In post","2023","16-19","Eastern Scotland","AA/AO","35","35","23100","22720"
"In post","2023","16-19","Essex","AA/AO","15","15","24100","22400"
"In post","2023","16-19","Essex","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","145","145","20570","19460"
"In post","2023","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","EO","5","5","[c]","[c]"
"In post","2023","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","15","15","18410","18280"
"In post","2023","16-19","Greater Manchester","AA/AO","35","35","23710","22520"
"In post","2023","16-19","Greater Manchester","EO","5","5","[c]","[c]"
"In post","2023","16-19","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hampshire and Isle of Wight","AA/AO","45","45","23120","22520"
"In post","2023","16-19","Hampshire and Isle of Wight","EO","10","10","[c]","[c]"
"In post","2023","16-19","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Herefordshire, Worcestershire and Warwickshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Herefordshire, Worcestershire and Warwickshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Highlands and Islands","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Inner London - East","AA/AO","15","15","26440","25480"
"In post","2023","16-19","Inner London - East","EO","5","5","[c]","[c]"
"In post","2023","16-19","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - West","AA/AO","20","20","24080","23870"
"In post","2023","16-19","Inner London - West","EO","35","35","28490","28730"
"In post","2023","16-19","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Kent","AA/AO","45","45","23530","22400"
"In post","2023","16-19","Kent","EO","10","10","26150","25750"
"In post","2023","16-19","Lancashire","AA/AO","25","25","23660","23230"
"In post","2023","16-19","Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Leicestershire, Rutland and Northamptonshire","AA/AO","20","20","25230","23230"
"In post","2023","16-19","Leicestershire, Rutland and Northamptonshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lincolnshire","AA/AO","15","15","24840","23230"
"In post","2023","16-19","Merseyside","AA/AO","45","40","22390","22400"
"In post","2023","16-19","Merseyside","EO","10","10","[c]","[c]"
"In post","2023","16-19","North Eastern Scotland","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","North Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Yorkshire","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northumberland, and Tyne and Wear","AA/AO","35","35","22280","22520"
"In post","2023","16-19","Northumberland, and Tyne and Wear","EO","10","10","[c]","[c]"
"In post","2023","16-19","Northumberland, and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - East and North East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - South","AA/AO","10","10","26780","26920"
"In post","2023","16-19","Outer London - South","EO","5","5","[c]","[c]"
"In post","2023","16-19","Outer London - South","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - West and North West","AA/AO","20","20","26240","26400"
"In post","2023","16-19","Outer London - West and North West","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Shropshire and Staffordshire","AA/AO","25","25","23620","23230"
"In post","2023","16-19","Shropshire and Staffordshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South Yorkshire","AA/AO","15","15","22470","22090"
"In post","2023","16-19","South Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South Yorkshire","Unknown","[c]","[c]","[c]","[c]"
