"Status","Year","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2023","Unknown","G6","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","G7","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","HEO","60","[c]","32000","32000"
"Leaver Dept.","2023","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","SEO","20","[c]","40650","40340"
"Leaver Dept.","2023","Unknown","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2023","London","AA","275","[c]","24940","23500"
"New entrant CS","2023","London","AO","2155","[c]","27390","26400"
"New entrant CS","2023","London","EO","2400","[c]","29380","29750"
"New entrant CS","2023","London","G6","240","[c]","74050","70840"
"New entrant CS","2023","London","G7","845","[c]","57250","55720"
"New entrant CS","2023","London","HEO","2385","[c]","34630","35010"
"New entrant CS","2023","London","SCS level","140","[c]","104810","95000"
"New entrant CS","2023","London","SEO","930","[c]","43180","43000"
"New entrant CS","2023","London","Unknown","385","[c]","26460","27640"
"New entrant CS","2023","Outside London","AA","4025","[c]","22350","22180"
"New entrant CS","2023","Outside London","AO","19390","[c]","23850","22500"
"New entrant CS","2023","Outside London","EO","8360","[c]","27260","26870"
"New entrant CS","2023","Outside London","G6","460","[c]","69890","68030"
"New entrant CS","2023","Outside London","G7","2045","[c]","54900","52600"
"New entrant CS","2023","Outside London","HEO","4965","[c]","32970","33000"
"New entrant CS","2023","Outside London","SCS level","160","[c]","100280","93930"
"New entrant CS","2023","Outside London","SEO","3225","[c]","41540","41000"
"New entrant CS","2023","Outside London","Unknown","3955","[c]","23540","23640"
"New entrant CS","2023","Overseas","AO","5","[c]","[c]","[c]"
"New entrant CS","2023","Overseas","EO","15","[c]","37980","36740"
"New entrant CS","2023","Overseas","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Overseas","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Overseas","HEO","30","[c]","44870","45650"
"New entrant CS","2023","Overseas","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Overseas","SEO","10","[c]","54410","52300"
"New entrant CS","2023","Overseas","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","AA","20","[c]","23430","23230"
"New entrant CS","2023","Unknown","AO","85","[c]","24500","22400"
"New entrant CS","2023","Unknown","EO","65","[c]","27090","25750"
"New entrant CS","2023","Unknown","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","G7","10","[c]","51680","53780"
"New entrant CS","2023","Unknown","HEO","15","[c]","32400","32320"
