"Status","Year","Age","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Building Digital UK","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Crown Prosecution Service","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Prison and Probation Service","10","10","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","5","5","[c]","[c]"
