"Status","Year","Function_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","East Midlands (England)","Derby","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Leicester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Lincolnshire CC","5","5","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Nottingham","70","65","41570","39300"
"In post","2023","Analysis","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","South and West Derbyshire","30","30","42330","40820"
"In post","2023","Analysis","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Cambridgeshire CC","15","10","42650","40480"
"In post","2023","Analysis","East of England","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Hertfordshire CC","15","15","50080","45750"
"In post","2023","Analysis","East of England","Luton","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Suffolk CC","350","335","36500","33420"
"In post","2023","Analysis","London","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Barnet","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Brent","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Bromley","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Camden and City of London","180","165","71410","67430"
"In post","2023","Analysis","London","Croydon","175","165","47050","43210"
"In post","2023","Analysis","London","Hackney and Newham","205","200","49250","45560"
"In post","2023","Analysis","London","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Lambeth","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Merton, Kingston upon Thames and Sutton","5","5","[c]","[c]"
"In post","2023","Analysis","London","Tower Hamlets","780","760","51190","46250"
"In post","2023","Analysis","London","Westminster","3050","2980","48990","45560"
"In post","2023","Analysis","North East (England)","Darlington","165","160","37810","33790"
"In post","2023","Analysis","North East (England)","Durham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North East (England)","Northumberland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North East (England)","South Teesside","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North East (England)","Sunderland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North East (England)","Tyneside","180","175","42060","38470"
"In post","2023","Analysis","North West (England)","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Blackpool","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","East Cumbria","15","15","35200","37300"
"In post","2023","Analysis","North West (England)","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","East Merseyside","5","5","[c]","[c]"
"In post","2023","Analysis","North West (England)","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Greater Manchester South West","235","230","43270","41780"
"In post","2023","Analysis","North West (England)","Liverpool","150","145","43460","41780"
"In post","2023","Analysis","North West (England)","Manchester","175","170","38940","35880"
"In post","2023","Analysis","North West (England)","Mid Lancashire","10","10","[c]","[c]"
"In post","2023","Analysis","North West (England)","Sefton","45","40","40930","38800"
"In post","2023","Analysis","North West (England)","Warrington","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","West Cumbria","5","5","[c]","[c]"
"In post","2023","Analysis","North West (England)","Wirral","5","5","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Belfast","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","City of Edinburgh","60","60","49490","43000"
"In post","2023","Analysis","Scotland","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Falkirk","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Glasgow City","95","90","41210","35400"
"In post","2023","Analysis","Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","South Lanarkshire","10","5","[c]","[c]"
"In post","2023","Analysis","South East (England)","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Brighton and Hove","5","5","[c]","[c]"
"In post","2023","Analysis","South East (England)","Buckinghamshire","10","10","37300","36470"
"In post","2023","Analysis","South East (England)","Central Hampshire","555","535","45190","49260"
"In post","2023","Analysis","South East (England)","East Kent","5","5","[c]","[c]"
"In post","2023","Analysis","South East (England)","East Sussex CC","5","5","[c]","[c]"
"In post","2023","Analysis","South East (England)","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Medway","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Oxfordshire CC","5","5","[c]","[c]"
"In post","2023","Analysis","South East (England)","Portsmouth","30","30","37970","34300"
"In post","2023","Analysis","South East (England)","South Hampshire","530","505","39750","37760"
