"Status","Year","Function_of_post","Region_ITL1","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","East Midlands (England)","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","EO","EO","10","10","27210","27330"
"In post","2023","Analysis","East Midlands (England)","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","G6/G7","G7","25","25","55360","55250"
"In post","2023","Analysis","East Midlands (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","SEO/HEO","HEO","40","40","33690","33730"
"In post","2023","Analysis","East Midlands (England)","SEO/HEO","SEO","40","35","40550","40840"
"In post","2023","Analysis","East of England","AA/AO","AO","15","15","21600","22150"
"In post","2023","Analysis","East of England","EO","EO","60","55","26060","25920"
"In post","2023","Analysis","East of England","G6/G7","G6","20","20","65330","61460"
"In post","2023","Analysis","East of England","G6/G7","G7","65","60","50410","49400"
"In post","2023","Analysis","East of England","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","SEO/HEO","HEO","115","110","31060","30350"
"In post","2023","Analysis","East of England","SEO/HEO","SEO","120","115","38650","37310"
"In post","2023","Analysis","London","AA/AO","AA","25","25","23500","23500"
"In post","2023","Analysis","London","AA/AO","AO","55","55","25120","24520"
"In post","2023","Analysis","London","EO","EO","355","350","29790","29660"
"In post","2023","Analysis","London","G6/G7","G6","520","495","75570","71050"
"In post","2023","Analysis","London","G6/G7","G7","1245","1205","58760","58150"
"In post","2023","Analysis","London","SCS level","SCS level","165","155","91420","83400"
"In post","2023","Analysis","London","SEO/HEO","HEO","1220","1205","36270","35850"
"In post","2023","Analysis","London","SEO/HEO","SEO","835","815","44800","44170"
"In post","2023","Analysis","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North East (England)","AA/AO","AO","20","20","21710","21200"
"In post","2023","Analysis","North East (England)","EO","EO","35","35","26190","25660"
"In post","2023","Analysis","North East (England)","G6/G7","G6","15","15","67180","69940"
"In post","2023","Analysis","North East (England)","G6/G7","G7","75","75","54050","53190"
"In post","2023","Analysis","North East (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North East (England)","SEO/HEO","HEO","115","110","32750","31860"
"In post","2023","Analysis","North East (England)","SEO/HEO","SEO","95","90","40180","39190"
"In post","2023","Analysis","North West (England)","AA/AO","AO","10","10","22240","22520"
"In post","2023","Analysis","North West (England)","EO","EO","65","65","26950","27140"
"In post","2023","Analysis","North West (England)","G6/G7","G6","30","25","68430","69400"
"In post","2023","Analysis","North West (England)","G6/G7","G7","135","130","56330","56870"
"In post","2023","Analysis","North West (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","SEO/HEO","HEO","225","220","33830","34400"
"In post","2023","Analysis","North West (England)","SEO/HEO","SEO","185","180","41440","42140"
"In post","2023","Analysis","Northern Ireland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
