"Status","Year","Function_of_post","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","EO","10","5","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","25","25","56700","55250"
"In post","2023","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","70","70","37020","36380"
"In post","2023","Analysis","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Bedfordshire and Hertfordshire","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","East of England","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Bedfordshire and Hertfordshire","SEO/HEO","15","15","41390","41480"
"In post","2023","Analysis","East of England","East Anglia","AA/AO","15","15","21600","22150"
"In post","2023","Analysis","East of England","East Anglia","EO","60","55","26060","25920"
"In post","2023","Analysis","East of England","East Anglia","G6/G7","80","75","53400","49400"
"In post","2023","Analysis","East of England","East Anglia","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","East Anglia","SEO/HEO","215","205","34270","34000"
"In post","2023","Analysis","East of England","Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Inner London - East","AA/AO","15","15","23960","24520"
"In post","2023","Analysis","London","Inner London - East","EO","100","100","29210","29000"
"In post","2023","Analysis","London","Inner London - East","G6/G7","390","370","64410","61740"
"In post","2023","Analysis","London","Inner London - East","SCS level","40","35","99340","98510"
