"Status","Year","Age","Function_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","East Wales","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","10","10","23320","23340"
"In post","2023","16-19","Analysis","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Hampshire and Isle of Wight","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Inner London - West","London","15","15","28020","28510"
"In post","2023","16-19","Analysis","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Tees Valley and Durham","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","East Wales","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Debt","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Southern Scotland","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Debt","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","West Midlands","Outside London","5","5","[c]","[c]"
